modality,png_ordinal,metadata_window,first_frame_zero_based,stop_frame_exclusive,mae_0_1,pearson_r,archived_mean,regenerated_mean,archived_max,regenerated_max
GEI,1,5,20,61,0.10469590127468109,0.8768121600151062,0.5118539333343506,0.5245273113250732,1.0,1.0
CGI,1,5,20,61,0.15953019261360168,0.7777843475341797,0.5118660926818848,0.5246464610099792,1.0,1.0
FDEI,1,5,20,61,0.23084916174411774,0.8749367594718933,0.22571274638175964,0.4142066240310669,0.5176470875740051,1.0
HEI_comb6,1,5,20,61,0.0871143713593483,0.867376983165741,0.244858056306839,0.2504437267780304,1.0,1.0
GEI,2,6,25,66,0.09970454126596451,0.8792112469673157,0.5102772116661072,0.5272054076194763,1.0,1.0
CGI,2,6,25,66,0.14940620958805084,0.7920604348182678,0.5102987885475159,0.5271404981613159,1.0,1.0
FDEI,2,6,25,66,0.22898393869400024,0.8838762640953064,0.2217607945203781,0.41771379113197327,0.5176470875740051,1.0
HEI_comb6,2,6,25,66,0.08581118285655975,0.8789267539978027,0.24292482435703278,0.2511243224143982,1.0,1.0
GEI,3,7,30,71,0.10151319205760956,0.8725226521492004,0.5136090517044067,0.5289124846458435,1.0,1.0
CGI,3,7,30,71,0.15180933475494385,0.7856969833374023,0.5136269330978394,0.5285918712615967,1.0,1.0
FDEI,3,7,30,71,0.235427588224411,0.8781203627586365,0.22272822260856628,0.41961219906806946,0.5176470875740051,1.0
HEI_comb6,3,7,30,71,0.08415713161230087,0.8829037547111511,0.24610716104507446,0.2511906623840332,1.0,1.0
GEI,4,8,35,76,0.10983503609895706,0.8635092973709106,0.5103810429573059,0.5233203768730164,1.0,1.0
CGI,4,8,35,76,0.14890673756599426,0.788225531578064,0.5104132890701294,0.5230222940444946,1.0,1.0
FDEI,4,8,35,76,0.23393799364566803,0.8800134062767029,0.2199280858039856,0.41636723279953003,0.5254902243614197,1.0
HEI_comb6,4,8,35,76,0.08144433796405792,0.8807700872421265,0.24306316673755646,0.24757537245750427,1.0,1.0
GEI,5,9,40,81,0.11206544190645218,0.8643249273300171,0.5096874833106995,0.5210477709770203,1.0,1.0
CGI,5,9,40,81,0.1489049643278122,0.7878069281578064,0.5097006559371948,0.5206893682479858,1.0,1.0
FDEI,5,9,40,81,0.23431581258773804,0.8773069381713867,0.22148582339286804,0.4170941412448883,0.5215686559677124,1.0
HEI_comb6,5,9,40,81,0.07574331015348434,0.9073569774627686,0.24230261147022247,0.2543991208076477,1.0,1.0
GEI,6,10,45,86,0.10386522859334946,0.8747691512107849,0.5050715804100037,0.5169550776481628,1.0,1.0
CGI,6,10,45,86,0.1456964612007141,0.8014883399009705,0.5051124691963196,0.5166024565696716,1.0,1.0
FDEI,6,10,45,86,0.2270684689283371,0.8750688433647156,0.21848058700561523,0.40631788969039917,0.5176470875740051,1.0
HEI_comb6,6,10,45,86,0.07030850648880005,0.9067804217338562,0.23206408321857452,0.24159114062786102,1.0,1.0
GEI,7,11,50,91,0.10498761385679245,0.8702618479728699,0.5032135844230652,0.5206000804901123,1.0,1.0
CGI,7,11,50,91,0.14544633030891418,0.796840488910675,0.503235936164856,0.5202955007553101,1.0,1.0
FDEI,7,11,50,91,0.22731879353523254,0.8757709264755249,0.21816299855709076,0.4134041965007782,0.5215686559677124,1.0
HEI_comb6,7,11,50,91,0.07203396409749985,0.9061391353607178,0.24090871214866638,0.2486836314201355,1.0,1.0
