modality,png_ordinal,metadata_window,first_frame_zero_based,stop_frame_exclusive,mae_0_1,pearson_r,archived_mean,regenerated_mean,archived_max,regenerated_max
GEI,1,4,15,56,0.11518609523773193,0.8526340126991272,0.5118539333343506,0.528035581111908,1.0,1.0
CGI,1,4,15,56,0.1534123420715332,0.7780340313911438,0.5118660926818848,0.5283764600753784,1.0,1.0
FDEI,1,4,15,56,0.2375364601612091,0.862629771232605,0.22571274638175964,0.42045241594314575,0.5176470875740051,1.0
HEI_comb6,1,4,15,56,0.06417194753885269,0.935188889503479,0.244858056306839,0.2537296712398529,1.0,1.0
GEI,2,5,20,61,0.09950633347034454,0.8777936697006226,0.5102772116661072,0.5245273113250732,1.0,1.0
CGI,2,5,20,61,0.1321885585784912,0.8228600025177002,0.5102987885475159,0.5246464610099792,1.0,1.0
FDEI,2,5,20,61,0.2280476838350296,0.8770238161087036,0.2217607945203781,0.4142066240310669,0.5176470875740051,1.0
HEI_comb6,2,5,20,61,0.0502062663435936,0.9695785641670227,0.24292482435703278,0.2504437267780304,1.0,1.0
GEI,3,6,25,66,0.10236723721027374,0.8723403215408325,0.5136090517044067,0.5272054076194763,1.0,1.0
CGI,3,6,25,66,0.1353941708803177,0.8131365180015564,0.5136269330978394,0.5271404981613159,1.0,1.0
FDEI,3,6,25,66,0.23266690969467163,0.8726578950881958,0.22272822260856628,0.41771379113197327,0.5176470875740051,1.0
HEI_comb6,3,6,25,66,0.05071590840816498,0.9677709341049194,0.24610716104507446,0.2511243224143982,1.0,1.0
GEI,4,7,30,71,0.10801747441291809,0.8633255958557129,0.5103810429573059,0.5289124846458435,1.0,1.0
CGI,4,7,30,71,0.13529886305332184,0.8123274445533752,0.5104132890701294,0.5285918712615967,1.0,1.0
FDEI,4,7,30,71,0.23547476530075073,0.8759772777557373,0.2199280858039856,0.41961219906806946,0.5254902243614197,1.0
HEI_comb6,4,7,30,71,0.051118314266204834,0.9654889106750488,0.24306316673755646,0.2511906623840332,1.0,1.0
GEI,5,8,35,76,0.11085309088230133,0.8618083596229553,0.5096874833106995,0.5233203768730164,1.0,1.0
CGI,5,8,35,76,0.13927721977233887,0.8057037591934204,0.5097006559371948,0.5230222940444946,1.0,1.0
FDEI,5,8,35,76,0.23661525547504425,0.8694875240325928,0.22148582339286804,0.41636723279953003,0.5215686559677124,1.0
HEI_comb6,5,8,35,76,0.046762287616729736,0.9713779091835022,0.24230261147022247,0.24757537245750427,1.0,1.0
GEI,6,9,40,81,0.10300816595554352,0.8718379139900208,0.5050715804100037,0.5210477709770203,1.0,1.0
CGI,6,9,40,81,0.13098980486392975,0.8201128840446472,0.5051124691963196,0.5206893682479858,1.0,1.0
FDEI,6,9,40,81,0.23250193893909454,0.8786708116531372,0.21848058700561523,0.4170941412448883,0.5176470875740051,1.0
HEI_comb6,6,9,40,81,0.06346487253904343,0.9472118020057678,0.23206408321857452,0.2543991208076477,1.0,1.0
GEI,7,10,45,86,0.10305581241846085,0.873576283454895,0.5032135844230652,0.5169550776481628,1.0,1.0
CGI,7,10,45,86,0.13591119647026062,0.8164050579071045,0.503235936164856,0.5166024565696716,1.0,1.0
FDEI,7,10,45,86,0.22725354135036469,0.8698089122772217,0.21816299855709076,0.40631788969039917,0.5215686559677124,1.0
HEI_comb6,7,10,45,86,0.04659868776798248,0.9741572141647339,0.24090871214866638,0.24159114062786102,1.0,1.0
GEI,8,11,50,91,0.1090523973107338,0.8647006750106812,0.5009182095527649,0.5206000804901123,1.0,1.0
CGI,8,11,50,91,0.13761408627033234,0.8100112080574036,0.500941812992096,0.5202955007553101,1.0,1.0
FDEI,8,11,50,91,0.22921641170978546,0.8743865489959717,0.21674476563930511,0.4134041965007782,0.5215686559677124,1.0
HEI_comb6,8,11,50,91,0.05218448489904404,0.9671264290809631,0.23825518786907196,0.2486836314201355,1.0,1.0
GEI,9,12,55,96,0.10582815110683441,0.8742418885231018,0.49632182717323303,0.5170261263847351,1.0,1.0
CGI,9,12,55,96,0.1410457044839859,0.807587206363678,0.4963435232639313,0.5166594386100769,1.0,1.0
FDEI,9,12,55,96,0.2234426885843277,0.8785369396209717,0.21605224907398224,0.40662306547164917,0.5215686559677124,1.0
HEI_comb6,9,12,55,96,0.044508129358291626,0.9763745665550232,0.24018467962741852,0.2439136952161789,1.0,1.0
GEI,10,13,60,101,0.09738797694444656,0.886018693447113,0.4948732852935791,0.529233455657959,1.0,1.0
CGI,10,13,60,101,0.12521003186702728,0.8358765840530396,0.4949023425579071,0.5287566184997559,1.0,1.0
FDEI,10,13,60,101,0.2294406294822693,0.8901048302650452,0.21415174007415771,0.4157578647136688,0.5215686559677124,1.0
HEI_comb6,10,13,60,101,0.0524415485560894,0.9679017066955566,0.23426863551139832,0.24513445794582367,1.0,1.0
GEI,11,14,65,106,0.09636089205741882,0.8894169330596924,0.49181345105171204,0.5230191349983215,1.0,1.0
CGI,11,14,65,106,0.12773370742797852,0.833035945892334,0.49182629585266113,0.5224511623382568,1.0,1.0
FDEI,11,14,65,106,0.22571228444576263,0.8911465406417847,0.21250732243061066,0.41491392254829407,0.5176470875740051,1.0
HEI_comb6,11,14,65,106,0.05320689082145691,0.966503918170929,0.2309996336698532,0.2441680133342743,1.0,1.0
GEI,12,15,70,111,0.1037653386592865,0.8801264762878418,0.4921451807022095,0.5180416107177734,1.0,1.0
CGI,12,15,70,111,0.12669339776039124,0.8356943130493164,0.4921819269657135,0.5175814628601074,1.0,1.0
FDEI,12,15,70,111,0.22017988562583923,0.8918880820274353,0.21052595973014832,0.40540724992752075,0.5176470875740051,1.0
HEI_comb6,12,15,70,111,0.05166243016719818,0.9599819183349609,0.239328533411026,0.23960347473621368,1.0,1.0
GEI,13,16,75,116,0.12016087770462036,0.8469884991645813,0.48762238025665283,0.523273229598999,1.0,1.0
CGI,13,16,75,116,0.14254260063171387,0.8001187443733215,0.4876541197299957,0.5228403806686401,1.0,1.0
FDEI,13,16,75,116,0.23161998391151428,0.855945885181427,0.21154379844665527,0.40997517108917236,0.5215686559677124,1.0
HEI_comb6,13,16,75,116,0.041734177619218826,0.9807450771331787,0.2392360419034958,0.24431824684143066,1.0,1.0
GEI,14,17,80,121,0.10965336114168167,0.8597795963287354,0.4833887815475464,0.516615092754364,1.0,1.0
CGI,14,17,80,121,0.13162650167942047,0.8173121809959412,0.4834269881248474,0.5162386894226074,1.0,1.0
FDEI,14,17,80,121,0.22391876578330994,0.8709886074066162,0.20932988822460175,0.406985878944397,0.529411792755127,1.0
HEI_comb6,14,17,80,121,0.05788963660597801,0.9484426975250244,0.23543712496757507,0.23804230988025665,1.0,1.0
GEI,15,18,85,126,0.10239060968160629,0.8704199194908142,0.4762765169143677,0.512363076210022,1.0,1.0
CGI,15,18,85,126,0.12775345146656036,0.8305012583732605,0.47630974650382996,0.5121096968650818,1.0,1.0
FDEI,15,18,85,126,0.22025218605995178,0.8739982843399048,0.20759817957878113,0.39945825934410095,0.5215686559677124,1.0
HEI_comb6,15,18,85,126,0.050628382712602615,0.9659590721130371,0.2238219529390335,0.2343265265226364,1.0,1.0
GEI,16,19,90,131,0.11401955783367157,0.8475961089134216,0.469987690448761,0.5135882496833801,1.0,1.0
CGI,16,19,90,131,0.14851438999176025,0.7868518829345703,0.4700242280960083,0.5133967399597168,1.0,1.0
FDEI,16,19,90,131,0.22853334248065948,0.851898729801178,0.20636285841464996,0.4054604470729828,0.5215686559677124,1.0
HEI_comb6,16,19,90,131,0.057667799293994904,0.9490712881088257,0.23147360980510712,0.23558364808559418,1.0,1.0
GEI,17,20,95,136,0.12637215852737427,0.8291168212890625,0.4625585377216339,0.5219190120697021,1.0,1.0
CGI,17,20,95,136,0.1507040113210678,0.7843014597892761,0.4625783860683441,0.5217968225479126,1.0,1.0
FDEI,17,20,95,136,0.24046126008033752,0.8515446186065674,0.20318736135959625,0.41768431663513184,0.5215686559677124,1.0
HEI_comb6,17,20,95,136,0.043687012046575546,0.9738286137580872,0.23366647958755493,0.24303752183914185,1.0,1.0
GEI,18,21,100,141,0.12795834243297577,0.8238721489906311,0.4552817642688751,0.5225495100021362,1.0,1.0
CGI,18,21,100,141,0.15726901590824127,0.7708093523979187,0.4553089439868927,0.522275984287262,1.0,1.0
FDEI,18,21,100,141,0.24106507003307343,0.8499677181243896,0.20325171947479248,0.41753533482551575,0.5215686559677124,1.0
HEI_comb6,18,21,100,141,0.04786410182714462,0.9685248136520386,0.23143798112869263,0.24388156831264496,1.0,1.0
GEI,19,22,105,146,0.11639906466007233,0.8450208902359009,0.45561978220939636,0.514544665813446,1.0,1.0
CGI,19,22,105,146,0.14347167313098907,0.7951505780220032,0.45564785599708557,0.5139882564544678,1.0,1.0
FDEI,19,22,105,146,0.2314089834690094,0.8639456629753113,0.20090146362781525,0.40884125232696533,0.5254902243614197,1.0
HEI_comb6,19,22,105,146,0.06488509476184845,0.9292121529579163,0.22769217193126678,0.23578588664531708,1.0,1.0
GEI,20,23,110,151,0.11333563923835754,0.8555809855461121,0.4525907039642334,0.5106523036956787,1.0,1.0
CGI,20,23,110,151,0.1403399258852005,0.8046171069145203,0.45261839032173157,0.5097876787185669,1.0,1.0
FDEI,20,23,110,151,0.23114271461963654,0.8702800273895264,0.19866620004177094,0.4114428162574768,0.5176470875740051,1.0
HEI_comb6,20,23,110,151,0.043811190873384476,0.9756584763526917,0.2241504043340683,0.22728340327739716,1.0,1.0
GEI,21,24,115,156,0.10658291727304459,0.8622247576713562,0.4517945647239685,0.5037862658500671,1.0,1.0
CGI,21,24,115,156,0.12983275949954987,0.817834734916687,0.4518129825592041,0.5030081868171692,1.0,1.0
FDEI,21,24,115,156,0.2238519936800003,0.8755648732185364,0.200443834066391,0.40072697401046753,0.5215686559677124,1.0
HEI_comb6,21,24,115,156,0.044906698167324066,0.9709600210189819,0.22236883640289307,0.22964820265769958,1.0,1.0
GEI,22,25,120,161,0.11120276153087616,0.8627496361732483,0.4493037462234497,0.49718186259269714,1.0,1.0
CGI,22,25,120,161,0.12880638241767883,0.8249194025993347,0.4493231177330017,0.4965866804122925,1.0,1.0
FDEI,22,25,120,161,0.2193443477153778,0.8790415525436401,0.1966124027967453,0.3963821828365326,0.5137255191802979,1.0
HEI_comb6,22,25,120,161,0.04740816727280617,0.9676701426506042,0.2185235619544983,0.2347797453403473,1.0,1.0
GEI,23,26,125,166,0.10374876111745834,0.8764664530754089,0.44752904772758484,0.49217739701271057,1.0,1.0
CGI,23,26,125,166,0.12679465115070343,0.8215745091438293,0.4475458562374115,0.49172165989875793,1.0,1.0
FDEI,23,26,125,166,0.2192891240119934,0.8933821320533752,0.1980985850095749,0.39724597334861755,0.5215686559677124,1.0
HEI_comb6,23,26,125,166,0.05272901430726051,0.9583479762077332,0.2146741896867752,0.23165962100028992,1.0,1.0
GEI,24,27,130,171,0.09445974230766296,0.893549382686615,0.44611525535583496,0.4896405041217804,1.0,1.0
CGI,24,27,130,171,0.11871597915887833,0.8461078405380249,0.44613566994667053,0.4891982674598694,1.0,1.0
FDEI,24,27,130,171,0.21343137323856354,0.9034959673881531,0.1943284124135971,0.3879067599773407,0.5215686559677124,1.0
HEI_comb6,24,27,130,171,0.05330728366971016,0.9523658156394958,0.21024079620838165,0.22481243312358856,1.0,1.0
GEI,25,28,135,176,0.08807676285505295,0.9026785492897034,0.43887242674827576,0.4847445785999298,1.0,1.0
CGI,25,28,135,176,0.12123769521713257,0.8447778820991516,0.43889880180358887,0.48464420437812805,1.0,1.0
FDEI,25,28,135,176,0.20973597466945648,0.902398407459259,0.19243557751178741,0.38144853711128235,0.5215686559677124,1.0
HEI_comb6,25,28,135,176,0.05790562555193901,0.9434912204742432,0.2131224274635315,0.22047263383865356,1.0,1.0
GEI,26,29,140,181,0.09830126911401749,0.8794158697128296,0.4421786665916443,0.4818846881389618,1.0,1.0
CGI,26,29,140,181,0.1308264583349228,0.8222165107727051,0.44221797585487366,0.48199260234832764,1.0,1.0
FDEI,26,29,140,181,0.21425117552280426,0.8834881782531738,0.19482578337192535,0.3823600709438324,0.5215686559677124,1.0
HEI_comb6,26,29,140,181,0.06330989301204681,0.9348224401473999,0.21378731727600098,0.2427583485841751,1.0,1.0
GEI,27,30,145,186,0.10353221744298935,0.8684058785438538,0.43699324131011963,0.48265135288238525,1.0,1.0
CGI,27,30,145,186,0.1375674307346344,0.8050126433372498,0.43702077865600586,0.48281213641166687,1.0,1.0
FDEI,27,30,145,186,0.21991805732250214,0.8762093186378479,0.19150511920452118,0.3866254687309265,0.5254902243614197,1.0
HEI_comb6,27,30,145,186,0.05944570153951645,0.9381366968154907,0.21291452646255493,0.24196329712867737,1.0,1.0
GEI,28,31,150,191,0.1025160551071167,0.8614557385444641,0.43812695145606995,0.48212388157844543,1.0,1.0
CGI,28,31,150,191,0.1345350742340088,0.8068018555641174,0.4381805658340454,0.48218095302581787,1.0,1.0
FDEI,28,31,150,191,0.2224152684211731,0.8614370226860046,0.19137702882289886,0.383958101272583,0.5215686559677124,1.0
HEI_comb6,28,31,150,191,0.06808093190193176,0.9175257682800293,0.21297594904899597,0.24137863516807556,1.0,1.0
GEI,29,32,155,196,0.10471098124980927,0.8584402203559875,0.4411919116973877,0.4785879850387573,1.0,1.0
CGI,29,32,155,196,0.132887601852417,0.8094033002853394,0.44122549891471863,0.47855380177497864,1.0,1.0
FDEI,29,32,155,196,0.2162693738937378,0.8599057197570801,0.19452953338623047,0.3815692067146301,0.5215686559677124,1.0
HEI_comb6,29,32,155,196,0.060178227722644806,0.943145215511322,0.21375146508216858,0.24115347862243652,1.0,1.0
GEI,30,33,160,201,0.11842223256826401,0.8328068256378174,0.4399355351924896,0.48246297240257263,1.0,1.0
CGI,30,33,160,201,0.14579077064990997,0.7823683023452759,0.4399685859680176,0.4822063148021698,1.0,1.0
FDEI,30,33,160,201,0.22596049308776855,0.8345768451690674,0.19230620563030243,0.3901819586753845,0.5215686559677124,1.0
HEI_comb6,30,33,160,201,0.07574131339788437,0.9054498076438904,0.21264533698558807,0.24178701639175415,1.0,1.0
GEI,31,34,165,206,0.12564794719219208,0.8172811269760132,0.4403829872608185,0.4843028485774994,1.0,1.0
CGI,31,34,165,206,0.15498855710029602,0.7633689641952515,0.4404159486293793,0.4839473068714142,1.0,1.0
FDEI,31,34,165,206,0.22622787952423096,0.8118709921836853,0.19653792679309845,0.3831784427165985,0.5176470875740051,1.0
HEI_comb6,31,34,165,206,0.0736275464296341,0.9166229367256165,0.21154646575450897,0.25317177176475525,1.0,1.0
GEI,32,35,170,211,0.11424758285284042,0.8479926586151123,0.4427564740180969,0.478464812040329,1.0,1.0
CGI,32,35,170,211,0.135503888130188,0.8107924461364746,0.44276365637779236,0.4781879782676697,1.0,1.0
