detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
convae,CGI,leg,1,1,582.0,2,1,2,582.0,0.0009392505652565,2
convae,CGI,leg,1,2,403.0,2,1,2,403.0,0.001075978869311,4
convae,CGI,leg,2,1,578.0,1,0,2,578.0,0.0009560234955129,3
convae,CGI,leg,2,2,603.0,1,0,2,603.0,0.0009699059049704,3
convae,CGI,leg,3,1,431.0,1,0,2,431.0,0.0009866575207057,1
convae,CGI,leg,3,2,555.0,2,1,2,555.0,0.0011984560468762,0
convae,CGI,leg,3,3,766.0,2,1,2,766.0,0.0009738337507264,3
convae,CGI,leg,4,1,550.0,1,0,2,550.0,0.0010547961096446,0
convae,CGI,leg,4,2,419.0,1,0,2,419.0,0.0008826781264267,1
convae,CGI,leg,6,1,416.0,1,0,1,416.0,0.0010675333282311,0
convae,CGI,leg,7,1,568.0,1,0,3,568.0,0.0010105129182735,3
convae,CGI,leg,7,2,,1,0,3,unknown,0.0009860304050595,1
convae,CGI,leg,7,3,411.0,2,1,3,411.0,0.0010269215224895,3
convae,CGI,leg,8,1,319.0,1,0,3,319.0,0.0008671561990922,1
convae,CGI,leg,8,2,325.0,1,0,3,325.0,0.0010876959828293,4
convae,CGI,leg,8,3,344.0,2,1,3,344.0,0.0011937931740249,0
convae,CGI,leg,8,4,322.0,2,1,3,322.0,0.0012650719015962,0
convae,CGI,leg,9,1,891.0,1,0,1,891.0,0.0010218613711185,4
convae,CGI,leg,10,1,566.0,1,0,2,566.0,0.0010434596257063,4
convae,CGI,leg,10,2,743.0,2,1,2,743.0,0.0009779942622294,3
convae,CGI,leg,10,3,2928.0,1,0,2,2928.0,0.0008632558477451,2
convae,CGI,leg,11,1,755.0,1,0,3,755.0,0.0009723665858727,4
convae,CGI,leg,11,2,884.0,2,1,3,884.0,0.0013044282704041,4
convae,CGI,leg,11,3,739.0,2,1,3,739.0,0.0012298766218009,4
convae,CGI,leg,11,4,554.0,2,1,3,554.0,0.0010985956091354,1
convae,CGI,leg,11,5,313.0,1,0,3,313.0,0.0010643486340995,0
convae,CGI,leg,11,6,890.0,1,0,3,890.0,0.0009937229915522,0
convae,CGI,leg,11,7,328.0,2,1,3,328.0,0.0011247685984113,4
convae,CGI,leg,11,8,373.0,1,0,3,373.0,0.0010859968341802,3
convae,CGI,leg,12,1,879.0,1,0,2,879.0,0.0009137070241936,2
convae,CGI,leg,12,2,826.0,2,1,2,826.0,0.0011767197987258,1
convae,CGI,leg,13,1,884.0,3,1,1,884.0,0.0011554340106578,4
convae,CGI,leg,14,1,1450.0,2,1,3,1450.0,0.0010968614621864,0
convae,CGI,leg,14,2,865.0,2,1,3,865.0,0.0010256980804519,1
convae,CGI,leg,14,3,339.0,2,1,3,339.0,0.000928568021239,1
convae,CGI,leg,14,4,301.0,1,0,3,301.0,0.0013411407311319,4
convae,CGI,leg,14,5,328.0,2,1,3,328.0,0.0010621753172017,4
convae,CGI,leg,14,6,817.0,1,0,3,817.0,0.0009749460292457,2
convae,CGI,leg,15,1,775.0,2,1,1,775.0,0.0010598260590708,4
convae,CGI,leg,16,1,319.0,1,0,1,319.0,0.0009228230420766,1
