detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
convae,CGI,leg,1,1,582.0,2,1,2,582.0,0.0009392505652565313,2
convae,CGI,leg,1,2,403.0,2,1,2,403.0,0.0010759788693110572,4
convae,CGI,leg,2,1,578.0,1,0,2,578.0,0.0009560234955129906,3
convae,CGI,leg,2,2,603.0,1,0,2,603.0,0.0009699059049704705,3
convae,CGI,leg,3,1,431.0,1,0,2,431.0,0.0009866575207057838,1
convae,CGI,leg,3,2,555.0,2,1,2,555.0,0.001198456046876271,0
convae,CGI,leg,3,3,766.0,2,1,2,766.0,0.0009738337507264481,3
convae,CGI,leg,4,1,550.0,1,0,2,550.0,0.0010547961096446484,0
convae,CGI,leg,4,2,419.0,1,0,2,419.0,0.000882678126426748,1
convae,CGI,leg,6,1,416.0,1,0,1,416.0,0.001067533328231158,0
convae,CGI,leg,7,1,568.0,1,0,3,568.0,0.0010105129182735022,3
convae,CGI,leg,7,2,,1,0,3,unknown,0.0009860304050595947,1
convae,CGI,leg,7,3,411.0,2,1,3,411.0,0.0010269215224895539,3
convae,CGI,leg,8,1,319.0,1,0,3,319.0,0.0008671561990922783,1
convae,CGI,leg,8,2,325.0,1,0,3,325.0,0.0010876959828293007,4
convae,CGI,leg,8,3,344.0,2,1,3,344.0,0.0011937931740249041,0
convae,CGI,leg,8,4,322.0,2,1,3,322.0,0.0012650719015962547,0
convae,CGI,leg,9,1,891.0,1,0,1,891.0,0.0010218613711185753,4
convae,CGI,leg,10,1,566.0,1,0,2,566.0,0.0010434596257063707,4
convae,CGI,leg,10,2,743.0,2,1,2,743.0,0.0009779942622294695,3
convae,CGI,leg,10,3,2928.0,1,0,2,2928.0,0.0008632558477451889,2
convae,CGI,leg,11,1,755.0,1,0,3,755.0,0.0009723665858727208,4
convae,CGI,leg,11,2,884.0,2,1,3,884.0,0.0013044282704041425,4
convae,CGI,leg,11,3,739.0,2,1,3,739.0,0.0012298766218009406,4
convae,CGI,leg,11,4,554.0,2,1,3,554.0,0.0010985956091354502,1
convae,CGI,leg,11,5,313.0,1,0,3,313.0,0.0010643486340995878,0
convae,CGI,leg,11,6,890.0,1,0,3,890.0,0.000993722991552204,0
convae,CGI,leg,11,7,328.0,2,1,3,328.0,0.0011247685984113907,4
convae,CGI,leg,11,8,373.0,1,0,3,373.0,0.0010859968341802332,3
convae,CGI,leg,12,1,879.0,1,0,2,879.0,0.0009137070241936103,2
convae,CGI,leg,12,2,826.0,2,1,2,826.0,0.0011767197987258744,1
convae,CGI,leg,13,1,884.0,3,1,1,884.0,0.00115543401065784,4
convae,CGI,leg,14,1,1450.0,2,1,3,1450.0,0.001096861462186401,0
convae,CGI,leg,14,2,865.0,2,1,3,865.0,0.0010256980804519522,1
convae,CGI,leg,14,3,339.0,2,1,3,339.0,0.0009285680212390919,1
convae,CGI,leg,14,4,301.0,1,0,3,301.0,0.0013411407311319965,4
convae,CGI,leg,14,5,328.0,2,1,3,328.0,0.0010621753172017634,4
convae,CGI,leg,14,6,817.0,1,0,3,817.0,0.0009749460292457626,2
convae,CGI,leg,15,1,775.0,2,1,1,775.0,0.001059826059070857,4
convae,CGI,leg,16,1,319.0,1,0,1,319.0,0.0009228230420766133,1
convae,CGI,leg,17,1,825.0,2,1,1,825.0,0.0008736036097009976,2
convae,CGI,leg,18,1,313.0,1,0,3,313.0,0.001079338292280833,0
convae,CGI,leg,18,2,818.0,2,1,3,818.0,0.0009584014959451135,4
convae,CGI,leg,18,3,894.0,2,1,3,894.0,0.0008986016036942601,3
convae,CGI,leg,18,4,345.0,1,0,3,345.0,0.0009787979028520308,4
convae,CGI,leg,19,1,369.0,2,1,1,369.0,0.001070840287554477,1
convae,CGI,leg,20,1,769.0,2,1,2,769.0,0.0011015248961657995,2
convae,CGI,leg,20,2,997.0,1,0,2,997.0,0.0009370277331937559,1
convae,CGI,leg,21,1,408.0,1,0,3,408.0,0.0009127795664508911,1
convae,CGI,leg,21,2,785.0,2,1,3,785.0,0.0009489980911894236,2
convae,CGI,leg,21,3,2892.0,1,0,3,2892.0,0.001022552577553377,4
convae,CGI,leg,22,1,331.0,1,0,3,331.0,0.0010102297543571927,4
convae,CGI,leg,22,2,743.0,2,1,3,743.0,0.0010130797372533916,3
convae,CGI,leg,22,3,437.0,1,0,3,437.0,0.0009269094674003332,1
convae,CGI,leg,22,4,6003.0,1,0,3,6003.0,0.0011532911781354674,0
convae,CGI,leg,22,5,350.0,2,1,3,350.0,0.0008634182781077407,1
convae,CGI,leg,22,6,858.0,2,1,3,858.0,0.0010820848863873193,0
convae,CGI,leg,23,1,568.0,1,0,2,568.0,0.0010184599799686112,3
convae,CGI,leg,23,2,302.0,1,0,2,302.0,0.0009758469305880782,3
convae,CGI,leg,24,1,566.0,1,0,1,566.0,0.0010061984406396125,4
convae,CGI,leg,27,1,405.0,2,1,3,405.0,0.0009193492901081649,3
convae,CGI,leg,27,2,317.0,2,1,3,317.0,0.0009201478948982965,3
convae,CGI,leg,27,3,8006.0,1,0,3,8006.0,0.0008287672764819229,2
convae,CGI,leg,27,4,2941.0,2,1,3,2941.0,0.0010822254869922558,0
convae,CGI,leg,27,5,774.0,2,1,3,774.0,0.0010224990100444606,0
convae,CGI,leg,27,6,327.0,2,1,3,327.0,0.0010828295356727071,0
convae,CGI,leg,27,7,584.0,2,1,3,584.0,0.0009506043686997145,1
convae,CGI,leg,27,8,550.0,1,0,3,550.0,0.0010594296016885588,0
convae,CGI,leg,27,9,779.0,1,0,3,779.0,0.0009670392565357571,4
convae,CGI,leg,28,1,313.0,1,0,3,313.0,0.0011144444637466223,0
convae,CGI,leg,28,2,826.0,2,1,3,826.0,0.0010364866403896095,1
convae,CGI,leg,28,3,817.0,1,0,3,817.0,0.0009643455144084458,2
convae,CGI,leg,29,1,2952.0,2,1,3,2952.0,0.0009435242649892138,2
convae,CGI,leg,29,2,781.0,2,1,3,781.0,0.0009892316784576645,3
convae,CGI,leg,29,3,369.0,1,0,3,369.0,0.0010176048720798765,1
convae,CGI,leg,34,1,858.0,2,1,2,858.0,0.0011573024320467892,0
convae,CGI,leg,34,2,2932.0,2,1,2,2932.0,0.0008678868838806489,1
convae,CGI,leg,35,1,586.0,1,0,3,586.0,0.0010353921367446098,0
convae,CGI,leg,35,2,317.0,2,1,3,317.0,0.0009280021768063307,3
convae,CGI,leg,35,3,405.0,1,0,3,405.0,0.0009638825934168628,3
convae,CGI,leg,35,4,2892.0,1,0,3,2892.0,0.00099374943678159,4
convae,CGI,leg,35,5,351.0,1,0,3,351.0,0.0009478936684899963,3
convae,CGI,leg,36,1,582.0,2,1,1,582.0,0.0009436112736223329,2
convae,CGI,leg,37,1,739.0,1,0,1,739.0,0.0011057079278139605,4
convae,CGI,leg,39,1,882.0,2,1,2,882.0,0.0009334576538736548,1
convae,CGI,leg,39,2,794.0,2,1,2,794.0,0.0010937905753962696,0
convae,CGI,leg,40,1,876.0,2,1,3,876.0,0.000850295808346828,3
convae,CGI,leg,40,2,331.0,1,0,3,331.0,0.000995876780943945,4
convae,CGI,leg,40,3,805.0,2,1,3,805.0,0.0010034208177015758,0
convae,CGI,leg,40,4,786.0,2,1,3,786.0,0.0010006256256019697,1
convae,CGI,leg,40,5,402.0,1,0,3,402.0,0.0009886799147352577,3
convae,CGI,leg,40,6,742.0,1,0,3,742.0,0.0010699736196425203,0
convae,CGI,leg,41,1,401.0,2,1,3,401.0,0.0010709151240956523,4
convae,CGI,leg,41,2,367.0,1,0,3,367.0,0.0008699495751619795,1
convae,CGI,leg,42,1,889.0,2,1,1,889.0,0.0009454518925243368,2
convae,CGI,leg,50,1,458.0,2,1,1,458.0,0.0009911293648959447,4
convae,CGI,leg,51,1,455.0,1,0,2,455.0,0.0009577544817769127,3
convae,CGI,leg,51,2,387.0,1,0,2,387.0,0.0011240934959220652,0
convae,CGI,leg,52,1,377.0,2,1,1,377.0,0.0008567586314472321,2
convae,CGI,leg,53,1,450.0,1,0,2,450.0,0.0011309748483149128,0
convae,CGI,leg,54,1,462.0,1,0,3,462.0,0.0009996946342764612,1
convae,CGI,leg,54,2,431.0,2,1,3,431.0,0.0008855975453464434,1
convae,CGI,leg,54,3,327.0,2,1,3,327.0,0.0010801050799070962,0
convae,CGI,leg,55,1,443.0,3,1,1,443.0,0.000956238002440524,4
convae,CGI,leg,56,1,459.0,1,0,1,459.0,0.0009048771547585181,2
convae,CGI,leg,57,1,736.0,2,1,1,736.0,0.0009558094148006704,1
convae,CGI,leg,58,1,611.0,1,0,2,611.0,0.0009439009521710908,4
convae,CGI,leg,58,2,579.0,1,0,2,579.0,0.0008720806079162728,2
convae,CGI,leg,59,1,6013.0,1,0,3,6013.0,0.0010341991036612954,0
convae,CGI,leg,59,2,763.0,2,1,3,763.0,0.0009734258388302156,1
convae,CGI,leg,59,3,820.0,1,0,3,820.0,0.0007971562197781167,3
convae,CGI,leg,59,4,8001.0,1,0,3,8001.0,0.001123223518582315,4
convae,CGI,leg,59,5,434.0,2,1,3,434.0,0.0009015646937768906,1
convae,CGI,leg,60,1,586.0,1,0,3,586.0,0.0010689737115937628,0
convae,CGI,leg,60,2,413.0,2,1,3,413.0,0.0008819300826871767,2
convae,CGI,leg,60,3,333.0,2,1,3,333.0,0.0009300114088026541,3
convae,CGI,leg,60,4,886.0,2,1,3,886.0,0.000972594611183111,3
convae,CGI,leg,60,5,407.0,2,1,3,407.0,0.001114029413423477,4
convae,CGI,leg,60,6,380.0,1,0,3,380.0,0.0010892967014418293,0
convae,CGI,leg,60,7,583.0,2,1,3,583.0,0.0009797806448589724,1
convae,CGI,leg,61,1,575.0,1,0,1,575.0,0.0009441702466574497,4
convae,CGI,leg,62,1,419.0,1,0,3,419.0,0.0008527948418358231,1
convae,CGI,leg,62,2,441.0,1,0,3,441.0,0.0010883743442328913,0
convae,CGI,leg,62,3,732.0,2,1,3,732.0,0.0009315450054903825,2
convae,CGI,leg,63,1,867.0,2,1,3,867.0,0.0011118423703703143,0
convae,CGI,leg,63,2,6012.0,1,0,3,6012.0,0.0008996733744251763,3
convae,CGI,leg,63,3,823.0,2,1,3,823.0,0.0008977168485712768,3
convae,CGI,leg,63,4,318.0,1,0,3,318.0,0.0008015398038984385,2
convae,CGI,leg,63,5,2880.0,2,1,3,2880.0,0.0009690595079997653,0
convae,CGI,leg,65,1,2925.0,1,0,2,2925.0,0.0010320217856629329,3
convae,CGI,leg,65,2,311.0,2,1,2,311.0,0.0009137861470662756,4
convae,CGI,leg,66,1,772.0,3,1,3,772.0,0.0011859409666309755,1
convae,CGI,leg,66,2,411.0,1,0,3,411.0,0.001052257050538347,3
convae,CGI,leg,66,3,306.0,2,1,3,306.0,0.0009611054357312815,2
convae,CGI,leg,66,4,330.0,2,1,3,330.0,0.0009127480652517615,3
convae,CGI,leg,67,1,403.0,1,0,2,403.0,0.0009478405638793973,4
convae,CGI,leg,67,2,409.0,1,0,2,409.0,0.000866305357443967,2
convae,CGI,leg,67,3,8007.0,2,1,2,8007.0,0.0009433294652734656,3
convae,CGI,leg,67,4,8003.0,2,1,2,8003.0,0.0008835281062472079,3
convae,CGI,leg,69,1,304.0,2,1,3,304.0,0.0009696118696592748,1
convae,CGI,leg,69,2,422.0,2,1,3,422.0,0.0010871688314687668,4
convae,CGI,leg,70,1,768.0,2,1,1,768.0,0.0011050334287574515,0
