detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
convae,FDEI,leg,1,1,582.0,2,1,2,582.0,0.00015353030329080006,2
convae,FDEI,leg,1,2,403.0,2,1,2,403.0,0.00018168451468937282,4
convae,FDEI,leg,2,1,578.0,1,0,2,578.0,0.0001999240652926696,3
convae,FDEI,leg,2,2,603.0,1,0,2,603.0,0.00020984926661846905,3
convae,FDEI,leg,3,1,431.0,1,0,2,431.0,0.00013125766693249447,1
convae,FDEI,leg,3,2,555.0,2,1,2,555.0,0.00019686261264330432,0
convae,FDEI,leg,3,3,766.0,2,1,2,766.0,0.00017297769415933913,3
convae,FDEI,leg,4,1,550.0,1,0,2,550.0,0.00015395916199896677,0
convae,FDEI,leg,4,2,419.0,1,0,2,419.0,0.00012923999617132955,1
convae,FDEI,leg,6,1,416.0,1,0,1,416.0,0.00015683388846809976,0
convae,FDEI,leg,7,1,568.0,1,0,3,568.0,0.00021204436346492235,3
convae,FDEI,leg,7,2,,1,0,3,unknown,0.0001721285086575706,1
convae,FDEI,leg,7,3,411.0,2,1,3,411.0,0.00019544372023733029,3
convae,FDEI,leg,8,1,319.0,1,0,3,319.0,0.0001239119947058498,1
convae,FDEI,leg,8,2,325.0,1,0,3,325.0,0.00021743391610498568,4
convae,FDEI,leg,8,3,344.0,2,1,3,344.0,0.00020928808226017281,0
convae,FDEI,leg,8,4,322.0,2,1,3,322.0,0.00020353950040535656,0
convae,FDEI,leg,9,1,891.0,1,0,1,891.0,0.00015039561316370964,4
convae,FDEI,leg,10,1,566.0,1,0,2,566.0,0.00018364418065175414,4
convae,FDEI,leg,10,2,743.0,2,1,2,743.0,0.00019371366943232715,3
convae,FDEI,leg,10,3,2928.0,1,0,2,2928.0,0.00015021325479454655,2
convae,FDEI,leg,11,1,755.0,1,0,3,755.0,0.00023326865731749337,4
convae,FDEI,leg,11,2,884.0,2,1,3,884.0,0.0002874231034762819,4
convae,FDEI,leg,11,3,739.0,2,1,3,739.0,0.00022929247315914836,4
convae,FDEI,leg,11,4,554.0,2,1,3,554.0,0.000157677638777928,1
convae,FDEI,leg,11,5,313.0,1,0,3,313.0,0.0001831019326345995,0
convae,FDEI,leg,11,6,890.0,1,0,3,890.0,0.00019203647035111144,0
convae,FDEI,leg,11,7,328.0,2,1,3,328.0,0.0002517124230507761,4
convae,FDEI,leg,11,8,373.0,1,0,3,373.0,0.00024301292212454206,3
convae,FDEI,leg,12,1,879.0,1,0,2,879.0,0.00016398514398369352,2
convae,FDEI,leg,12,2,826.0,2,1,2,826.0,0.00022700477014344264,1
convae,FDEI,leg,13,1,884.0,3,1,1,884.0,0.00023311850105901845,4
convae,FDEI,leg,14,1,1450.0,2,1,3,1450.0,0.0001841609909509619,0
convae,FDEI,leg,14,2,865.0,2,1,3,865.0,0.00017365640022843663,1
convae,FDEI,leg,14,3,339.0,2,1,3,339.0,0.00014811914249245698,1
convae,FDEI,leg,14,4,301.0,1,0,3,301.0,0.0002506237383799585,4
convae,FDEI,leg,14,5,328.0,2,1,3,328.0,0.00019295219774110282,4
convae,FDEI,leg,14,6,817.0,1,0,3,817.0,0.00015652625964920422,2
convae,FDEI,leg,15,1,775.0,2,1,1,775.0,0.00023049822438655324,4
convae,FDEI,leg,16,1,319.0,1,0,1,319.0,0.00013231328167811235,1
convae,FDEI,leg,17,1,825.0,2,1,1,825.0,0.0001340414836401275,2
convae,FDEI,leg,18,1,313.0,1,0,3,313.0,0.0002130693603062238,0
convae,FDEI,leg,18,2,818.0,2,1,3,818.0,0.00019481046974365398,4
convae,FDEI,leg,18,3,894.0,2,1,3,894.0,0.00017931530719333505,3
convae,FDEI,leg,18,4,345.0,1,0,3,345.0,0.0001873756134175762,4
convae,FDEI,leg,19,1,369.0,2,1,1,369.0,0.00015393705356733076,1
convae,FDEI,leg,20,1,769.0,2,1,2,769.0,0.0002058335296515863,2
convae,FDEI,leg,20,2,997.0,1,0,2,997.0,0.00014720179964703076,1
convae,FDEI,leg,21,1,408.0,1,0,3,408.0,0.00016106874946589497,1
convae,FDEI,leg,21,2,785.0,2,1,3,785.0,0.00015000939606579777,2
