detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
convae,GEI,leg,1,1,582.0,2,1,2,582.0,0.00022372709607129524,2
convae,GEI,leg,1,2,403.0,2,1,2,403.0,0.00026048695109216725,4
convae,GEI,leg,2,1,578.0,1,0,2,578.0,0.0002919733621335278,3
convae,GEI,leg,2,2,603.0,1,0,2,603.0,0.00030099425996674904,3
convae,GEI,leg,3,1,431.0,1,0,2,431.0,0.00021921659660890597,1
convae,GEI,leg,3,2,555.0,2,1,2,555.0,0.0003306136011913721,0
convae,GEI,leg,3,3,766.0,2,1,2,766.0,0.0002953523146937153,3
convae,GEI,leg,4,1,550.0,1,0,2,550.0,0.0002474287940481773,0
convae,GEI,leg,4,2,419.0,1,0,2,419.0,0.00018957953486675158,1
convae,GEI,leg,6,1,416.0,1,0,1,416.0,0.00025979003891864395,0
convae,GEI,leg,7,1,568.0,1,0,3,568.0,0.000316515890633727,3
convae,GEI,leg,7,2,,1,0,3,unknown,0.00023559483357800032,1
convae,GEI,leg,7,3,411.0,2,1,3,411.0,0.00030139093266984144,3
convae,GEI,leg,8,1,319.0,1,0,3,319.0,0.00020140978995186742,1
convae,GEI,leg,8,2,325.0,1,0,3,325.0,0.00027414082256710213,4
convae,GEI,leg,8,3,344.0,2,1,3,344.0,0.00031212749672704376,0
convae,GEI,leg,8,4,322.0,2,1,3,322.0,0.00033731558856002437,0
convae,GEI,leg,9,1,891.0,1,0,1,891.0,0.00024395140644628555,4
convae,GEI,leg,10,1,566.0,1,0,2,566.0,0.0002559383038284355,4
convae,GEI,leg,10,2,743.0,2,1,2,743.0,0.00028861478885363153,3
convae,GEI,leg,10,3,2928.0,1,0,2,2928.0,0.0002126095304691528,2
convae,GEI,leg,11,1,755.0,1,0,3,755.0,0.00025244504531444763,4
convae,GEI,leg,11,2,884.0,2,1,3,884.0,0.0003444150570430793,4
convae,GEI,leg,11,3,739.0,2,1,3,739.0,0.0003147257513774093,4
convae,GEI,leg,11,4,554.0,2,1,3,554.0,0.00025743187127753777,1
convae,GEI,leg,11,5,313.0,1,0,3,313.0,0.00026334241323638707,0
convae,GEI,leg,11,6,890.0,1,0,3,890.0,0.00029182205459644164,0
convae,GEI,leg,11,7,328.0,2,1,3,328.0,0.0003061606681861102,4
convae,GEI,leg,11,8,373.0,1,0,3,373.0,0.00035528006176746476,3
convae,GEI,leg,12,1,879.0,1,0,2,879.0,0.0002594950023598762,2
convae,GEI,leg,12,2,826.0,2,1,2,826.0,0.0003128463298101754,1
convae,GEI,leg,13,1,884.0,3,1,1,884.0,0.00029459094571976515,4
convae,GEI,leg,14,1,1450.0,2,1,3,1450.0,0.00029811681063923365,0
convae,GEI,leg,14,2,865.0,2,1,3,865.0,0.00025837783824600696,1
convae,GEI,leg,14,3,339.0,2,1,3,339.0,0.00023275570743458554,1
convae,GEI,leg,14,4,301.0,1,0,3,301.0,0.00034875929387370974,4
convae,GEI,leg,14,5,328.0,2,1,3,328.0,0.00026500852440454145,4
convae,GEI,leg,14,6,817.0,1,0,3,817.0,0.00024366421659090896,2
convae,GEI,leg,15,1,775.0,2,1,1,775.0,0.0002657528602867387,4
