fold,epoch,train_loss,heldout_auroc,detector,modality,crop
0,1,0.044537420283157,0.5139751552795031,convae,HEI,leg
0,2,0.00664773104692502,0.5046583850931677,convae,HEI,leg
0,3,0.0028110502510351435,0.5186335403726708,convae,HEI,leg
0,4,0.0017729105395434361,0.4937888198757764,convae,HEI,leg
0,5,0.001410046262448067,0.515527950310559,convae,HEI,leg
0,6,0.0011532935394801508,0.5170807453416149,convae,HEI,leg
0,7,0.0009775817654693881,0.5062111801242236,convae,HEI,leg
0,8,0.0009080310504348338,0.4984472049689441,convae,HEI,leg
0,9,0.0008555112139601144,0.49068322981366463,convae,HEI,leg
0,10,0.0007536805884408971,0.5077639751552795,convae,HEI,leg
0,11,0.0007010638335377324,0.5015527950310559,convae,HEI,leg
0,12,0.0006575225659475488,0.5046583850931676,convae,HEI,leg
0,13,0.0006446761882938725,0.4937888198757764,convae,HEI,leg
0,14,0.0006000931030448989,0.4891304347826087,convae,HEI,leg
0,15,0.0005720760482082955,0.5139751552795031,convae,HEI,leg
0,16,0.0005612250349549822,0.49844720496894407,convae,HEI,leg
0,17,0.0005612662325991806,0.5403726708074534,convae,HEI,leg
0,18,0.0005460576480897225,0.4922360248447205,convae,HEI,leg
0,19,0.00048509218963447355,0.5031055900621119,convae,HEI,leg
0,20,0.00046859160387728463,0.5,convae,HEI,leg
0,21,0.0004786536534777825,0.4968944099378882,convae,HEI,leg
0,22,0.0004521855853315106,0.5108695652173914,convae,HEI,leg
0,23,0.00047018005496003154,0.5015527950310559,convae,HEI,leg
0,24,0.0004966753829589611,0.5170807453416149,convae,HEI,leg
0,25,0.00041124731426564286,0.5031055900621118,convae,HEI,leg
0,26,0.00040122861436415124,0.5031055900621118,convae,HEI,leg
0,27,0.0004205501590369893,0.5186335403726707,convae,HEI,leg
0,28,0.0003812905133469907,0.4968944099378882,convae,HEI,leg
0,29,0.0003879643797829462,0.5031055900621118,convae,HEI,leg
0,30,0.00037870004595230467,0.5170807453416149,convae,HEI,leg
0,31,0.00038026992462831345,0.5201863354037267,convae,HEI,leg
0,32,0.00035992229957404633,0.49534161490683226,convae,HEI,leg
0,33,0.0003514461564539886,0.5124223602484472,convae,HEI,leg
0,34,0.0003513718294631222,0.5031055900621118,convae,HEI,leg
0,35,0.00034506732250015756,0.515527950310559,convae,HEI,leg
0,36,0.00035294465858832824,0.5217391304347826,convae,HEI,leg
0,37,0.0003372170190940935,0.5170807453416149,convae,HEI,leg
0,38,0.00034618583510611137,0.5139751552795031,convae,HEI,leg
0,39,0.00033985884719787675,0.49844720496894407,convae,HEI,leg
0,40,0.0003429984642015104,0.5046583850931677,convae,HEI,leg
1,1,0.04458192310675565,0.542319749216301,convae,HEI,leg
1,2,0.006666747445691715,0.5423197492163009,convae,HEI,leg
1,3,0.0026896221012511767,0.5376175548589341,convae,HEI,leg
1,4,0.001752746849360906,0.5501567398119123,convae,HEI,leg
1,5,0.001344729799371607,0.5673981191222571,convae,HEI,leg
1,6,0.0011348293563884617,0.5564263322884012,convae,HEI,leg
1,7,0.0009966896155621686,0.561128526645768,convae,HEI,leg
1,8,0.0008983393908223878,0.554858934169279,convae,HEI,leg
1,9,0.0007917206321242047,0.5768025078369906,convae,HEI,leg
1,10,0.0007524048020163341,0.5658307210031348,convae,HEI,leg
1,11,0.0007029062767345566,0.5517241379310345,convae,HEI,leg
1,12,0.000685928908857329,0.5689655172413793,convae,HEI,leg
1,13,0.0006239459991037067,0.5470219435736677,convae,HEI,leg
1,14,0.0005991497371624899,0.5673981191222571,convae,HEI,leg
1,15,0.0005852560984732223,0.5626959247648903,convae,HEI,leg
1,16,0.0005435538644066385,0.5344827586206897,convae,HEI,leg
1,17,0.0005462261906723415,0.5626959247648903,convae,HEI,leg
1,18,0.000496735868571314,0.5564263322884013,convae,HEI,leg
1,19,0.0004955345410821004,0.5501567398119122,convae,HEI,leg
1,20,0.0004927493193614851,0.5595611285266457,convae,HEI,leg
1,21,0.0004990945216090052,0.5689655172413793,convae,HEI,leg
1,22,0.00047045997811278874,0.5752351097178684,convae,HEI,leg
1,23,0.0004525888926787747,0.5626959247648903,convae,HEI,leg
1,24,0.00046109615565956383,0.5579937304075234,convae,HEI,leg
1,25,0.00043401127356938247,0.5626959247648903,convae,HEI,leg
1,26,0.00043430882880919955,0.5595611285266457,convae,HEI,leg
1,27,0.0003992002100736408,0.5658307210031348,convae,HEI,leg
1,28,0.00037429840014593886,0.5752351097178684,convae,HEI,leg
1,29,0.00040988319554949385,0.5705329153605015,convae,HEI,leg
1,30,0.0003948637735873809,0.5752351097178683,convae,HEI,leg
1,31,0.00037452521092767047,0.5721003134796239,convae,HEI,leg
1,32,0.0003509214674954461,0.5752351097178683,convae,HEI,leg
1,33,0.00036630503332215806,0.5783699059561128,convae,HEI,leg
1,34,0.0003644324732180228,0.5611285266457681,convae,HEI,leg
1,35,0.0003722516079547435,0.5768025078369906,convae,HEI,leg
1,36,0.0003456674836408687,0.5862068965517242,convae,HEI,leg
1,37,0.0003085245971401563,0.5721003134796238,convae,HEI,leg
1,38,0.00033400661769695394,0.5579937304075235,convae,HEI,leg
1,39,0.00031761594694774167,0.5846394984326019,convae,HEI,leg
1,40,0.0003215151684796067,0.5736677115987461,convae,HEI,leg
2,1,0.046433748919010705,0.49198717948717946,convae,HEI,leg
2,2,0.007194527648151175,0.4823717948717948,convae,HEI,leg
2,3,0.0030187467238669803,0.5,convae,HEI,leg
2,4,0.0018501592632933863,0.5,convae,HEI,leg
2,5,0.0014378558163946425,0.4935897435897436,convae,HEI,leg
2,6,0.0011721612404551622,0.5,convae,HEI,leg
2,7,0.001024881883109555,0.4935897435897436,convae,HEI,leg
2,8,0.0009293272484989006,0.530448717948718,convae,HEI,leg
2,9,0.0008615062358210109,0.5064102564102565,convae,HEI,leg
2,10,0.0007768548630846821,0.5272435897435898,convae,HEI,leg
2,11,0.0007408161041166556,0.5176282051282052,convae,HEI,leg
2,12,0.0006829036970820812,0.5112179487179487,convae,HEI,leg
2,13,0.0006732621776164828,0.5192307692307693,convae,HEI,leg
2,14,0.0006248428770100334,0.530448717948718,convae,HEI,leg
2,15,0.0006137522207347296,0.5176282051282051,convae,HEI,leg
2,16,0.0005489033188849,0.5160256410256411,convae,HEI,leg
2,17,0.0005492376027215464,0.530448717948718,convae,HEI,leg
2,18,0.000549915168393695,0.5176282051282051,convae,HEI,leg
2,19,0.0005606945467823555,0.5192307692307693,convae,HEI,leg
2,20,0.0004911745489731513,0.5256410256410257,convae,HEI,leg
2,21,0.0004989675930095861,0.5272435897435898,convae,HEI,leg
2,22,0.0004619401008044268,0.5192307692307693,convae,HEI,leg
2,23,0.00044726253267983945,0.5080128205128205,convae,HEI,leg
2,24,0.0004501865021905529,0.5256410256410257,convae,HEI,leg
2,25,0.00042936030741692676,0.5208333333333334,convae,HEI,leg
2,26,0.000422885742411985,0.5208333333333334,convae,HEI,leg
2,27,0.0004135450516585767,0.5288461538461539,convae,HEI,leg
2,28,0.0004309339520569095,0.516025641025641,convae,HEI,leg
2,29,0.0003731015805560911,0.5272435897435898,convae,HEI,leg
2,30,0.00041397090676710996,0.5288461538461539,convae,HEI,leg
2,31,0.00040405107058049316,0.5352564102564102,convae,HEI,leg
2,32,0.00037225211063622197,0.5224358974358975,convae,HEI,leg
2,33,0.0003681819734542413,0.5112179487179488,convae,HEI,leg
2,34,0.00035797770909883666,0.5224358974358976,convae,HEI,leg
2,35,0.0003433642509136871,0.5064102564102564,convae,HEI,leg
2,36,0.00033929484216476503,0.5048076923076923,convae,HEI,leg
2,37,0.00034022943018295555,0.5208333333333334,convae,HEI,leg
2,38,0.00037952132540301965,0.5224358974358975,convae,HEI,leg
2,39,0.0003418072350426157,0.5208333333333333,convae,HEI,leg
2,40,0.00033691347916620464,0.5064102564102564,convae,HEI,leg
3,1,0.044154516698939994,0.37931034482758624,convae,HEI,leg
3,2,0.006626607697677737,0.3727422003284072,convae,HEI,leg
3,3,0.0026862027348172625,0.38259441707717573,convae,HEI,leg
3,4,0.001757865468936663,0.38259441707717573,convae,HEI,leg
3,5,0.0013678808441717546,0.38752052545155996,convae,HEI,leg
3,6,0.0011401246938086776,0.4252873563218391,convae,HEI,leg
3,7,0.0010258382170763832,0.4088669950738916,convae,HEI,leg
3,8,0.0009431663164456369,0.4203612479474549,convae,HEI,leg
3,9,0.0008411078832103908,0.4203612479474549,convae,HEI,leg
3,10,0.0007756645260149249,0.4072249589490969,convae,HEI,leg
3,11,0.0007357621435254474,0.4252873563218391,convae,HEI,leg
3,12,0.0006782507234507492,0.4318555008210181,convae,HEI,leg
3,13,0.0006331027526398699,0.4203612479474549,convae,HEI,leg
3,14,0.0005974394499974195,0.43349753694581283,convae,HEI,leg
3,15,0.0005728824379888209,0.44170771756978655,convae,HEI,leg
3,16,0.0005615814459452664,0.4105090311986864,convae,HEI,leg
3,17,0.0005236196220653561,0.43842364532019706,convae,HEI,leg
3,18,0.0005177660531901202,0.43021346469622335,convae,HEI,leg
3,19,0.0005266675837127045,0.4433497536945813,convae,HEI,leg
3,20,0.0005100412535211817,0.4433497536945813,convae,HEI,leg
3,21,0.0004616345750983163,0.43349753694581283,convae,HEI,leg
3,22,0.0004218658217960934,0.4630541871921182,convae,HEI,leg
3,23,0.0004522112890233825,0.43842364532019706,convae,HEI,leg
3,24,0.00042686193040236014,0.4285714285714286,convae,HEI,leg
3,25,0.0004362035805081106,0.43349753694581283,convae,HEI,leg
3,26,0.0004111578276428645,0.45320197044334976,convae,HEI,leg
3,27,0.0004437114643452215,0.4367816091954023,convae,HEI,leg
3,28,0.00039058205411542763,0.44499178981937604,convae,HEI,leg
3,29,0.0003943441035658271,0.44991789819376027,convae,HEI,leg
3,30,0.0003878880092723971,0.43021346469622335,convae,HEI,leg
3,31,0.0003732491764177384,0.4351395730706076,convae,HEI,leg
3,32,0.0003659406584115479,0.4433497536945813,convae,HEI,leg
3,33,0.0003897487572546132,0.44499178981937604,convae,HEI,leg
3,34,0.0003618936557764296,0.4285714285714286,convae,HEI,leg
3,35,0.00035054247283723044,0.4614121510673235,convae,HEI,leg
3,36,0.0003472452078071632,0.4269293924466338,convae,HEI,leg
3,37,0.00035460023189460947,0.46633825944170776,convae,HEI,leg
3,38,0.0003576178096934565,0.42692939244663386,convae,HEI,leg
3,39,0.0003335166909212025,0.45155993431855507,convae,HEI,leg
3,40,0.000369201503423909,0.44170771756978655,convae,HEI,leg
4,1,0.04685279201782172,0.5324675324675324,convae,HEI,leg
4,2,0.00740345342107761,0.538961038961039,convae,HEI,leg
4,3,0.003135955957615857,0.5487012987012987,convae,HEI,leg
4,4,0.0019231205150011129,0.5503246753246753,convae,HEI,leg
4,5,0.001483948432010065,0.5535714285714286,convae,HEI,leg
4,6,0.0011948685082284532,0.5551948051948052,convae,HEI,leg
4,7,0.001053844071160832,0.560064935064935,convae,HEI,leg
4,8,0.0009188795841803401,0.564935064935065,convae,HEI,leg
4,9,0.0008498050320080681,0.5633116883116883,convae,HEI,leg
4,10,0.0007732727938737586,0.5665584415584415,convae,HEI,leg
4,11,0.0007272897486540454,0.5551948051948052,convae,HEI,leg
4,12,0.0007396174849836347,0.5633116883116883,convae,HEI,leg
4,13,0.000679102947457303,0.5584415584415584,convae,HEI,leg
4,14,0.000643417159954243,0.5616883116883117,convae,HEI,leg
4,15,0.0005923954453654248,0.5633116883116882,convae,HEI,leg
4,16,0.0005776601793170495,0.5665584415584416,convae,HEI,leg
4,17,0.000551318515236357,0.5698051948051948,convae,HEI,leg
4,18,0.0005261526298154319,0.5551948051948051,convae,HEI,leg
4,19,0.0005187536807103664,0.5584415584415584,convae,HEI,leg
4,20,0.0004665906250729789,0.560064935064935,convae,HEI,leg
4,21,0.00047082616816366304,0.5649350649350648,convae,HEI,leg
4,22,0.00046743746364881126,0.5665584415584416,convae,HEI,leg
4,23,0.00044895635396757045,0.551948051948052,convae,HEI,leg
4,24,0.0004352237390300786,0.5665584415584415,convae,HEI,leg
4,25,0.0004512745677643484,0.5616883116883117,convae,HEI,leg
4,26,0.0004200400121519277,0.5665584415584416,convae,HEI,leg
4,27,0.00040791146753076416,0.5551948051948052,convae,HEI,leg
4,28,0.0004072074572292271,0.5584415584415584,convae,HEI,leg
4,29,0.00040770362898526425,0.573051948051948,convae,HEI,leg
4,30,0.0003925485307937143,0.5681818181818182,convae,HEI,leg
4,31,0.00038532474798975703,0.5551948051948052,convae,HEI,leg
4,32,0.00038955003456565016,0.560064935064935,convae,HEI,leg
4,33,0.000342564674374141,0.5681818181818182,convae,HEI,leg
4,34,0.00036215024463001535,0.5584415584415585,convae,HEI,leg
4,35,0.0003747618816552011,0.551948051948052,convae,HEI,leg
4,36,0.000343565177300523,0.5665584415584415,convae,HEI,leg
4,37,0.00035048467421432296,0.5698051948051949,convae,HEI,leg
4,38,0.000328402360704399,0.5616883116883117,convae,HEI,leg
4,39,0.0003290373363139201,0.5503246753246753,convae,HEI,leg
4,40,0.0003307182383368625,0.5357142857142857,convae,HEI,leg
