detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
convae,HEI,leg,1,1,582.0,2,1,2,582.0,0.00030170834820876876,2
convae,HEI,leg,1,2,403.0,2,1,2,403.0,0.00040946103825529175,4
convae,HEI,leg,2,1,578.0,1,0,2,578.0,0.0003005032858942659,3
convae,HEI,leg,2,2,603.0,1,0,2,603.0,0.00031349572831955317,3
convae,HEI,leg,3,1,431.0,1,0,2,431.0,0.00032418988396514306,1
convae,HEI,leg,3,2,555.0,2,1,2,555.0,0.00034119314954590956,0
convae,HEI,leg,3,3,766.0,2,1,2,766.0,0.00027779867081402764,3
convae,HEI,leg,4,1,550.0,1,0,2,550.0,0.00029500815547250497,0
convae,HEI,leg,4,2,419.0,1,0,2,419.0,0.0002866517405401772,1
convae,HEI,leg,6,1,416.0,1,0,1,416.0,0.00028251564903517386,0
convae,HEI,leg,7,1,568.0,1,0,3,568.0,0.00031293781834624786,3
convae,HEI,leg,7,2,,1,0,3,unknown,0.00034808922430750464,1
convae,HEI,leg,7,3,411.0,2,1,3,411.0,0.0002856180220734068,3
convae,HEI,leg,8,1,319.0,1,0,3,319.0,0.0002832178934113472,1
convae,HEI,leg,8,2,325.0,1,0,3,325.0,0.00044485797336550826,4
convae,HEI,leg,8,3,344.0,2,1,3,344.0,0.0003642431602202123,0
convae,HEI,leg,8,4,322.0,2,1,3,322.0,0.00030798090705906763,0
convae,HEI,leg,9,1,891.0,1,0,1,891.0,0.00033156298799440263,4
convae,HEI,leg,10,1,566.0,1,0,2,566.0,0.0003523895376067805,4
convae,HEI,leg,10,2,743.0,2,1,2,743.0,0.00034366259791479423,3
convae,HEI,leg,10,3,2928.0,1,0,2,2928.0,0.0003087974054789988,2
convae,HEI,leg,11,1,755.0,1,0,3,755.0,0.00040823865416568034,4
convae,HEI,leg,11,2,884.0,2,1,3,884.0,0.0004965577483579347,4
convae,HEI,leg,11,3,739.0,2,1,3,739.0,0.0003991744488303084,4
convae,HEI,leg,11,4,554.0,2,1,3,554.0,0.0003765978066478559,1
convae,HEI,leg,11,5,313.0,1,0,3,313.0,0.00035196662414819,0
convae,HEI,leg,11,6,890.0,1,0,3,890.0,0.00034227044120229577,0
convae,HEI,leg,11,7,328.0,2,1,3,328.0,0.0004858031603904005,4
convae,HEI,leg,11,8,373.0,1,0,3,373.0,0.0003734484180864511,3
convae,HEI,leg,12,1,879.0,1,0,2,879.0,0.00035877883190685815,2
convae,HEI,leg,12,2,826.0,2,1,2,826.0,0.0004544661781740918,1
convae,HEI,leg,13,1,884.0,3,1,1,884.0,0.0004516334566944398,4
convae,HEI,leg,14,1,1450.0,2,1,3,1450.0,0.00033055633830372246,0
convae,HEI,leg,14,2,865.0,2,1,3,865.0,0.0003630967778412418,1
convae,HEI,leg,14,3,339.0,2,1,3,339.0,0.0003021803150962417,1
convae,HEI,leg,14,4,301.0,1,0,3,301.0,0.0004840743025521409,4
convae,HEI,leg,14,5,328.0,2,1,3,328.0,0.00040089881959113667,4
convae,HEI,leg,14,6,817.0,1,0,3,817.0,0.00035165595572169236,2
convae,HEI,leg,15,1,775.0,2,1,1,775.0,0.00040986919147575175,4
convae,HEI,leg,16,1,319.0,1,0,1,319.0,0.0003294857857067005,1
convae,HEI,leg,17,1,825.0,2,1,1,825.0,0.00030474503243264434,2
convae,HEI,leg,18,1,313.0,1,0,3,313.0,0.00040338220200143184,0
convae,HEI,leg,18,2,818.0,2,1,3,818.0,0.00038878857246701324,4
