detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
patchcore,CGI,leg,1,1,582.0,2,1,2,582.0,7.4075398445129395,2
patchcore,CGI,leg,1,2,403.0,2,1,2,403.0,7.624508822836527,4
patchcore,CGI,leg,2,1,578.0,1,0,2,578.0,7.177906488760923,3
patchcore,CGI,leg,2,2,603.0,1,0,2,603.0,7.023488890041005,3
patchcore,CGI,leg,3,1,431.0,1,0,2,431.0,7.762019376497011,1
patchcore,CGI,leg,3,2,555.0,2,1,2,555.0,8.137699488047007,0
patchcore,CGI,leg,3,3,766.0,2,1,2,766.0,6.80692559701425,3
patchcore,CGI,leg,4,1,550.0,1,0,2,550.0,6.834045874766814,0
patchcore,CGI,leg,4,2,419.0,1,0,2,419.0,6.746928484011919,1
patchcore,CGI,leg,6,1,416.0,1,0,1,416.0,6.492899094309125,0
patchcore,CGI,leg,7,1,568.0,1,0,3,568.0,6.85153313900562,3
patchcore,CGI,leg,7,2,,1,0,3,unknown,6.87139430752507,1
patchcore,CGI,leg,7,3,411.0,2,1,3,411.0,7.0551872586095055,3
patchcore,CGI,leg,8,1,319.0,1,0,3,319.0,6.618715330958366,1
patchcore,CGI,leg,8,2,325.0,1,0,3,325.0,7.158583987842906,4
patchcore,CGI,leg,8,3,344.0,2,1,3,344.0,7.267693445086479,0
patchcore,CGI,leg,8,4,322.0,2,1,3,322.0,8.02437001687509,0
patchcore,CGI,leg,9,1,891.0,1,0,1,891.0,6.960502414703369,4
patchcore,CGI,leg,10,1,566.0,1,0,2,566.0,6.67812937184384,4
patchcore,CGI,leg,10,2,743.0,2,1,2,743.0,7.213896972377126,3
patchcore,CGI,leg,10,3,2928.0,1,0,2,2928.0,6.637250970049602,2
patchcore,CGI,leg,11,1,755.0,1,0,3,755.0,7.10924612089645,4
patchcore,CGI,leg,11,2,884.0,2,1,3,884.0,7.490853092887185,4
patchcore,CGI,leg,11,3,739.0,2,1,3,739.0,7.565650594234467,4
patchcore,CGI,leg,11,4,554.0,2,1,3,554.0,7.576549012610253,1
patchcore,CGI,leg,11,5,313.0,1,0,3,313.0,6.622186231613159,0
patchcore,CGI,leg,11,6,890.0,1,0,3,890.0,7.22806251371229,0
patchcore,CGI,leg,11,7,328.0,2,1,3,328.0,7.160486211168005,4
patchcore,CGI,leg,11,8,373.0,1,0,3,373.0,7.588463205279726,3
patchcore,CGI,leg,12,1,879.0,1,0,2,879.0,7.279849838327478,2
patchcore,CGI,leg,12,2,826.0,2,1,2,826.0,7.056092023849487,1
patchcore,CGI,leg,13,1,884.0,3,1,1,884.0,7.564146812145527,4
patchcore,CGI,leg,14,1,1450.0,2,1,3,1450.0,7.403948958714803,0
patchcore,CGI,leg,14,2,865.0,2,1,3,865.0,7.262025260925293,1
patchcore,CGI,leg,14,3,339.0,2,1,3,339.0,7.9029704517788355,1
patchcore,CGI,leg,14,4,301.0,1,0,3,301.0,7.370811689983714,4
patchcore,CGI,leg,14,5,328.0,2,1,3,328.0,7.252978365472022,4
patchcore,CGI,leg,14,6,817.0,1,0,3,817.0,7.384135304427728,2
patchcore,CGI,leg,15,1,775.0,2,1,1,775.0,7.232065188257318,4
patchcore,CGI,leg,16,1,319.0,1,0,1,319.0,6.532573001725333,1
patchcore,CGI,leg,17,1,825.0,2,1,1,825.0,6.959762557347616,2
patchcore,CGI,leg,18,1,313.0,1,0,3,313.0,6.939352634625557,0
patchcore,CGI,leg,18,2,818.0,2,1,3,818.0,6.988488954046498,4
patchcore,CGI,leg,18,3,894.0,2,1,3,894.0,7.0174276377703695,3
patchcore,CGI,leg,18,4,345.0,1,0,3,345.0,7.009978686060224,4
patchcore,CGI,leg,19,1,369.0,2,1,1,369.0,7.566504001617432,1
patchcore,CGI,leg,20,1,769.0,2,1,2,769.0,7.808622292109898,2
patchcore,CGI,leg,20,2,997.0,1,0,2,997.0,6.854615711584324,1
patchcore,CGI,leg,21,1,408.0,1,0,3,408.0,7.023057301839192,1
patchcore,CGI,leg,21,2,785.0,2,1,3,785.0,7.385860562324524,2
patchcore,CGI,leg,21,3,2892.0,1,0,3,2892.0,6.661255313504126,4
patchcore,CGI,leg,22,1,331.0,1,0,3,331.0,6.543460845947266,4
patchcore,CGI,leg,22,2,743.0,2,1,3,743.0,7.631925937456963,3
patchcore,CGI,leg,22,3,437.0,1,0,3,437.0,6.670010866120804,1
patchcore,CGI,leg,22,4,6003.0,1,0,3,6003.0,6.813159579322452,0
patchcore,CGI,leg,22,5,350.0,2,1,3,350.0,6.813009114101015,1
patchcore,CGI,leg,22,6,858.0,2,1,3,858.0,6.844302191453822,0
patchcore,CGI,leg,23,1,568.0,1,0,2,568.0,7.043460536003113,3
patchcore,CGI,leg,23,2,302.0,1,0,2,302.0,7.168316933843824,3
patchcore,CGI,leg,24,1,566.0,1,0,1,566.0,6.5583873060014515,4
patchcore,CGI,leg,27,1,405.0,2,1,3,405.0,7.24825581526145,3
patchcore,CGI,leg,27,2,317.0,2,1,3,317.0,6.566099609647479,3
patchcore,CGI,leg,27,3,8006.0,1,0,3,8006.0,6.757780161770907,2
patchcore,CGI,leg,27,4,2941.0,2,1,3,2941.0,6.795622194514555,0
patchcore,CGI,leg,27,5,774.0,2,1,3,774.0,6.596332105000814,0
patchcore,CGI,leg,27,6,327.0,2,1,3,327.0,6.833315127236503,0
patchcore,CGI,leg,27,7,584.0,2,1,3,584.0,7.345662784576416,1
patchcore,CGI,leg,27,8,550.0,1,0,3,550.0,6.820936012268066,0
patchcore,CGI,leg,27,9,779.0,1,0,3,779.0,6.741943762852595,4
patchcore,CGI,leg,28,1,313.0,1,0,3,313.0,6.720840787887573,0
patchcore,CGI,leg,28,2,826.0,2,1,3,826.0,7.331208995410374,1
patchcore,CGI,leg,28,3,817.0,1,0,3,817.0,7.316800321851458,2
patchcore,CGI,leg,29,1,2952.0,2,1,3,2952.0,6.737419181399876,2
patchcore,CGI,leg,29,2,781.0,2,1,3,781.0,8.214795739310128,3
patchcore,CGI,leg,29,3,369.0,1,0,3,369.0,6.9301813046137495,1
patchcore,CGI,leg,34,1,858.0,2,1,2,858.0,7.701031393475002,0
patchcore,CGI,leg,34,2,2932.0,2,1,2,2932.0,6.8785202126753955,1
patchcore,CGI,leg,35,1,586.0,1,0,3,586.0,6.672417047547131,0
patchcore,CGI,leg,35,2,317.0,2,1,3,317.0,6.713543563418918,3
patchcore,CGI,leg,35,3,405.0,1,0,3,405.0,7.461897221478549,3
patchcore,CGI,leg,35,4,2892.0,1,0,3,2892.0,6.728035926818848,4
patchcore,CGI,leg,35,5,351.0,1,0,3,351.0,6.726116442680359,3
patchcore,CGI,leg,36,1,582.0,2,1,1,582.0,7.470954385297052,2
patchcore,CGI,leg,37,1,739.0,1,0,1,739.0,6.993246687783135,4
patchcore,CGI,leg,39,1,882.0,2,1,2,882.0,6.701051305322086,1
patchcore,CGI,leg,39,2,794.0,2,1,2,794.0,7.177007123827934,0
patchcore,CGI,leg,40,1,876.0,2,1,3,876.0,6.83174517689919,3
patchcore,CGI,leg,40,2,331.0,1,0,3,331.0,7.00594391822815,4
patchcore,CGI,leg,40,3,805.0,2,1,3,805.0,7.219344567029904,0
patchcore,CGI,leg,40,4,786.0,2,1,3,786.0,6.995377087593079,1
patchcore,CGI,leg,40,5,402.0,1,0,3,402.0,7.145271384716034,3
patchcore,CGI,leg,40,6,742.0,1,0,3,742.0,7.000051912508513,0
patchcore,CGI,leg,41,1,401.0,2,1,3,401.0,6.801180093184762,4
patchcore,CGI,leg,41,2,367.0,1,0,3,367.0,6.806171660520593,1
patchcore,CGI,leg,42,1,889.0,2,1,1,889.0,7.373093803723653,2
patchcore,CGI,leg,50,1,458.0,2,1,1,458.0,7.51460501882765,4
patchcore,CGI,leg,51,1,455.0,1,0,2,455.0,6.917473432494373,3
patchcore,CGI,leg,51,2,387.0,1,0,2,387.0,7.035538083628604,0
patchcore,CGI,leg,52,1,377.0,2,1,1,377.0,6.980346604397423,2
patchcore,CGI,leg,53,1,450.0,1,0,2,450.0,6.974829037984212,0
patchcore,CGI,leg,54,1,462.0,1,0,3,462.0,7.052889648748904,1
patchcore,CGI,leg,54,2,431.0,2,1,3,431.0,6.699847190938097,1
patchcore,CGI,leg,54,3,327.0,2,1,3,327.0,7.039408789740668,0
patchcore,CGI,leg,55,1,443.0,3,1,1,443.0,6.699388138083524,4
patchcore,CGI,leg,56,1,459.0,1,0,1,459.0,6.9826462210678475,2
patchcore,CGI,leg,57,1,736.0,2,1,1,736.0,6.949072530534532,1
patchcore,CGI,leg,58,1,611.0,1,0,2,611.0,6.72133621715364,4
patchcore,CGI,leg,58,2,579.0,1,0,2,579.0,6.962330795469738,2
patchcore,CGI,leg,59,1,6013.0,1,0,3,6013.0,6.885479874081081,0
patchcore,CGI,leg,59,2,763.0,2,1,3,763.0,7.293578216007778,1
patchcore,CGI,leg,59,3,820.0,1,0,3,820.0,6.448293507099152,3
patchcore,CGI,leg,59,4,8001.0,1,0,3,8001.0,6.946069901639765,4
patchcore,CGI,leg,59,5,434.0,2,1,3,434.0,6.601705930449746,1
patchcore,CGI,leg,60,1,586.0,1,0,3,586.0,6.608994647076256,0
patchcore,CGI,leg,60,2,413.0,2,1,3,413.0,7.25065895318985,2
patchcore,CGI,leg,60,3,333.0,2,1,3,333.0,7.055782631465367,3
patchcore,CGI,leg,60,4,886.0,2,1,3,886.0,9.318537493009824,3
patchcore,CGI,leg,60,5,407.0,2,1,3,407.0,7.1385955688280935,4
patchcore,CGI,leg,60,6,380.0,1,0,3,380.0,7.705630688440232,0
patchcore,CGI,leg,60,7,583.0,2,1,3,583.0,7.890583050556672,1
patchcore,CGI,leg,61,1,575.0,1,0,1,575.0,6.609150719642639,4
patchcore,CGI,leg,62,1,419.0,1,0,3,419.0,6.623575771556181,1
patchcore,CGI,leg,62,2,441.0,1,0,3,441.0,7.083287906646729,0
patchcore,CGI,leg,62,3,732.0,2,1,3,732.0,6.856581780645582,2
patchcore,CGI,leg,63,1,867.0,2,1,3,867.0,7.5234700952257425,0
