detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
patchcore,CGI_percow,leg,1,1,582.0,2,1,2,582.0,-1.0,2
patchcore,CGI_percow,leg,1,2,403.0,2,1,2,403.0,1.0,4
patchcore,CGI_percow,leg,2,1,578.0,1,0,2,578.0,7.177906488761,3
patchcore,CGI_percow,leg,2,2,603.0,1,0,2,603.0,7.023488890041,3
patchcore,CGI_percow,leg,3,1,431.0,1,0,2,431.0,1.0,1
patchcore,CGI_percow,leg,3,2,555.0,2,1,2,555.0,8.137699488047,0
patchcore,CGI_percow,leg,3,3,766.0,2,1,2,766.0,6.806925597014,3
patchcore,CGI_percow,leg,4,1,550.0,1,0,2,550.0,1.0,0
patchcore,CGI_percow,leg,4,2,419.0,1,0,2,419.0,-0.301508769985,1
patchcore,CGI_percow,leg,6,1,416.0,1,0,1,416.0,6.492899094309,0
patchcore,CGI_percow,leg,7,1,568.0,1,0,3,568.0,-1.0,3
patchcore,CGI_percow,leg,7,2,,1,0,3,unknown,6.871394307525,1
patchcore,CGI_percow,leg,7,3,411.0,2,1,3,411.0,-1.009200905847,3
patchcore,CGI_percow,leg,8,1,319.0,1,0,3,319.0,1.0,1
patchcore,CGI_percow,leg,8,2,325.0,1,0,3,325.0,7.158583987843,4
patchcore,CGI_percow,leg,8,3,344.0,2,1,3,344.0,7.267693445086,0
patchcore,CGI_percow,leg,8,4,322.0,2,1,3,322.0,8.024370016875,0
patchcore,CGI_percow,leg,9,1,891.0,1,0,1,891.0,6.960502414703,4
patchcore,CGI_percow,leg,10,1,566.0,1,0,2,566.0,1.0,4
patchcore,CGI_percow,leg,10,2,743.0,2,1,2,743.0,-1.0,3
patchcore,CGI_percow,leg,10,3,2928.0,1,0,2,2928.0,6.63725097005,2
patchcore,CGI_percow,leg,11,1,755.0,1,0,3,755.0,7.109246120896,4
patchcore,CGI_percow,leg,11,2,884.0,2,1,3,884.0,-1.0,4
patchcore,CGI_percow,leg,11,3,739.0,2,1,3,739.0,0.628990877744,4
patchcore,CGI_percow,leg,11,4,554.0,2,1,3,554.0,7.57654901261,1
patchcore,CGI_percow,leg,11,5,313.0,1,0,3,313.0,-1.045864028341,0
patchcore,CGI_percow,leg,11,6,890.0,1,0,3,890.0,7.228062513712,0
patchcore,CGI_percow,leg,11,7,328.0,2,1,3,328.0,0.322932099628,4
patchcore,CGI_percow,leg,11,8,373.0,1,0,3,373.0,7.58846320528,3
patchcore,CGI_percow,leg,12,1,879.0,1,0,2,879.0,7.279849838327,2
patchcore,CGI_percow,leg,12,2,826.0,2,1,2,826.0,-1.0,1
patchcore,CGI_percow,leg,13,1,884.0,3,1,1,884.0,1.0,4
patchcore,CGI_percow,leg,14,1,1450.0,2,1,3,1450.0,7.403948958715,0
patchcore,CGI_percow,leg,14,2,865.0,2,1,3,865.0,7.262025260925,1
patchcore,CGI_percow,leg,14,3,339.0,2,1,3,339.0,7.902970451779,1
patchcore,CGI_percow,leg,14,4,301.0,1,0,3,301.0,7.370811689984,4
patchcore,CGI_percow,leg,14,5,328.0,2,1,3,328.0,1.03092069293,4
patchcore,CGI_percow,leg,14,6,817.0,1,0,3,817.0,1.0,2
patchcore,CGI_percow,leg,15,1,775.0,2,1,1,775.0,1.0,4
patchcore,CGI_percow,leg,16,1,319.0,1,0,1,319.0,-1.0,1
patchcore,CGI_percow,leg,17,1,825.0,2,1,1,825.0,6.959762557348,2
patchcore,CGI_percow,leg,18,1,313.0,1,0,3,313.0,1.347326534814,0
patchcore,CGI_percow,leg,18,2,818.0,2,1,3,818.0,6.988488954046,4
patchcore,CGI_percow,leg,18,3,894.0,2,1,3,894.0,7.01742763777,3
patchcore,CGI_percow,leg,18,4,345.0,1,0,3,345.0,7.00997868606,4
patchcore,CGI_percow,leg,19,1,369.0,2,1,1,369.0,1.0,1
patchcore,CGI_percow,leg,20,1,769.0,2,1,2,769.0,7.80862229211,2
patchcore,CGI_percow,leg,20,2,997.0,1,0,2,997.0,6.854615711584,1
patchcore,CGI_percow,leg,21,1,408.0,1,0,3,408.0,7.023057301839,1
patchcore,CGI_percow,leg,21,2,785.0,2,1,3,785.0,7.385860562325,2
patchcore,CGI_percow,leg,21,3,2892.0,1,0,3,2892.0,-1.0,4
patchcore,CGI_percow,leg,22,1,331.0,1,0,3,331.0,-1.0,4
patchcore,CGI_percow,leg,22,2,743.0,2,1,3,743.0,1.0,3
patchcore,CGI_percow,leg,22,3,437.0,1,0,3,437.0,6.670010866121,1
patchcore,CGI_percow,leg,22,4,6003.0,1,0,3,6003.0,6.813159579322,0
patchcore,CGI_percow,leg,22,5,350.0,2,1,3,350.0,0.038681228194,1
patchcore,CGI_percow,leg,22,6,858.0,2,1,3,858.0,-1.0,0
patchcore,CGI_percow,leg,23,1,568.0,1,0,2,568.0,1.0,3
patchcore,CGI_percow,leg,23,2,302.0,1,0,2,302.0,7.168316933844,3
patchcore,CGI_percow,leg,24,1,566.0,1,0,1,566.0,-1.0,4
patchcore,CGI_percow,leg,27,1,405.0,2,1,3,405.0,-1.0,3
patchcore,CGI_percow,leg,27,2,317.0,2,1,3,317.0,-1.0,3
patchcore,CGI_percow,leg,27,3,8006.0,1,0,3,8006.0,6.757780161771,2
patchcore,CGI_percow,leg,27,4,2941.0,2,1,3,2941.0,6.795622194515,0
patchcore,CGI_percow,leg,27,5,774.0,2,1,3,774.0,6.596332105001,0
patchcore,CGI_percow,leg,27,6,327.0,2,1,3,327.0,-1.0,0
patchcore,CGI_percow,leg,27,7,584.0,2,1,3,584.0,7.345662784576,1
patchcore,CGI_percow,leg,27,8,550.0,1,0,3,550.0,-1.0,0
patchcore,CGI_percow,leg,27,9,779.0,1,0,3,779.0,6.741943762853,4
patchcore,CGI_percow,leg,28,1,313.0,1,0,3,313.0,-0.301462506472,0
patchcore,CGI_percow,leg,28,2,826.0,2,1,3,826.0,1.0,1
patchcore,CGI_percow,leg,28,3,817.0,1,0,3,817.0,-1.0,2
patchcore,CGI_percow,leg,29,1,2952.0,2,1,3,2952.0,1.0,2
patchcore,CGI_percow,leg,29,2,781.0,2,1,3,781.0,8.21479573931,3
patchcore,CGI_percow,leg,29,3,369.0,1,0,3,369.0,-1.0,1
patchcore,CGI_percow,leg,34,1,858.0,2,1,2,858.0,1.0,0
patchcore,CGI_percow,leg,34,2,2932.0,2,1,2,2932.0,6.878520212675,1
patchcore,CGI_percow,leg,35,1,586.0,1,0,3,586.0,-0.582736106261,0
