detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
patchcore,FDEI,full,1,1,582.0,2,1,2,582.0,5.42573336551064,2
patchcore,FDEI,full,1,2,403.0,2,1,2,403.0,5.301268193779922,4
patchcore,FDEI,full,2,1,578.0,1,0,2,578.0,5.2827498607146435,3
patchcore,FDEI,full,2,2,603.0,1,0,2,603.0,5.372076684778387,3
patchcore,FDEI,full,3,1,431.0,1,0,2,431.0,5.529409511669262,1
patchcore,FDEI,full,3,2,555.0,2,1,2,555.0,5.2540072750400855,0
patchcore,FDEI,full,3,3,766.0,2,1,2,766.0,5.3917161623636884,3
patchcore,FDEI,full,4,1,550.0,1,0,2,550.0,5.282012572655311,0
patchcore,FDEI,full,4,2,419.0,1,0,2,419.0,5.405502563867813,1
patchcore,FDEI,full,6,1,416.0,1,0,1,416.0,5.077012232371739,0
patchcore,FDEI,full,7,1,568.0,1,0,3,568.0,5.458754265562017,3
patchcore,FDEI,full,7,2,,1,0,3,unknown,5.535082949532403,1
patchcore,FDEI,full,7,3,411.0,2,1,3,411.0,5.573696923810382,3
patchcore,FDEI,full,8,1,319.0,1,0,3,319.0,5.402234375476837,1
patchcore,FDEI,full,8,2,325.0,1,0,3,325.0,5.53999780886101,4
patchcore,FDEI,full,8,3,344.0,2,1,3,344.0,5.329517334699631,0
patchcore,FDEI,full,8,4,322.0,2,1,3,322.0,5.660154042420564,0
patchcore,FDEI,full,9,1,891.0,1,0,1,891.0,5.624386672973633,4
patchcore,FDEI,full,10,1,566.0,1,0,2,566.0,5.183091690665798,4
patchcore,FDEI,full,10,2,743.0,2,1,2,743.0,5.358655092192859,3
patchcore,FDEI,full,10,3,2928.0,1,0,2,2928.0,5.21831507799102,2
patchcore,FDEI,full,11,1,755.0,1,0,3,755.0,5.694061556527781,4
patchcore,FDEI,full,11,2,884.0,2,1,3,884.0,5.3980772278525615,4
patchcore,FDEI,full,11,3,739.0,2,1,3,739.0,5.668723213672638,4
patchcore,FDEI,full,11,4,554.0,2,1,3,554.0,5.634847874337054,1
patchcore,FDEI,full,11,5,313.0,1,0,3,313.0,5.200142393112182,0
patchcore,FDEI,full,11,6,890.0,1,0,3,890.0,5.74431275032662,0
patchcore,FDEI,full,11,7,328.0,2,1,3,328.0,5.903025789463774,4
patchcore,FDEI,full,11,8,373.0,1,0,3,373.0,5.325244889114842,3
patchcore,FDEI,full,12,1,879.0,1,0,2,879.0,5.773528063738787,2
patchcore,FDEI,full,12,2,826.0,2,1,2,826.0,5.536307513713837,1
patchcore,FDEI,full,13,1,884.0,3,1,1,884.0,5.457350192925869,4
patchcore,FDEI,full,14,1,1450.0,2,1,3,1450.0,5.3106176376342775,0
patchcore,FDEI,full,14,2,865.0,2,1,3,865.0,5.582989226447212,1
patchcore,FDEI,full,14,3,339.0,2,1,3,339.0,5.629223611619738,1
patchcore,FDEI,full,14,4,301.0,1,0,3,301.0,5.598848082802513,4
patchcore,FDEI,full,14,5,328.0,2,1,3,328.0,5.688004138621878,4
patchcore,FDEI,full,14,6,817.0,1,0,3,817.0,5.933135300147824,2
patchcore,FDEI,full,15,1,775.0,2,1,1,775.0,5.5941047793940495,4
patchcore,FDEI,full,16,1,319.0,1,0,1,319.0,5.478381344250271,1
patchcore,FDEI,full,17,1,825.0,2,1,1,825.0,5.443048842748007,2
patchcore,FDEI,full,18,1,313.0,1,0,3,313.0,5.440969247084397,0
patchcore,FDEI,full,18,2,818.0,2,1,3,818.0,5.726783203042072,4
patchcore,FDEI,full,18,3,894.0,2,1,3,894.0,5.561155783163534,3
patchcore,FDEI,full,18,4,345.0,1,0,3,345.0,5.650245649474008,4
patchcore,FDEI,full,19,1,369.0,2,1,1,369.0,5.837709290640695,1
patchcore,FDEI,full,20,1,769.0,2,1,2,769.0,5.527506499063401,2
patchcore,FDEI,full,20,2,997.0,1,0,2,997.0,5.593963657937398,1
patchcore,FDEI,full,21,1,408.0,1,0,3,408.0,5.414562413186738,1
patchcore,FDEI,full,21,2,785.0,2,1,3,785.0,5.76125805079937,2
patchcore,FDEI,full,21,3,2892.0,1,0,3,2892.0,5.637072578553231,4
patchcore,FDEI,full,22,1,331.0,1,0,3,331.0,5.350297402112912,4
patchcore,FDEI,full,22,2,743.0,2,1,3,743.0,5.680611268067971,3
patchcore,FDEI,full,22,3,437.0,1,0,3,437.0,5.485368850619294,1
patchcore,FDEI,full,22,4,6003.0,1,0,3,6003.0,5.340482904797509,0
patchcore,FDEI,full,22,5,350.0,2,1,3,350.0,5.110822874924232,1
