detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
patchcore,FDEI,leg,1,1,582.0,2,1,2,582.0,5.52933659051594,2
patchcore,FDEI,leg,1,2,403.0,2,1,2,403.0,5.589696767853527,4
patchcore,FDEI,leg,2,1,578.0,1,0,2,578.0,5.48191831050775,3
patchcore,FDEI,leg,2,2,603.0,1,0,2,603.0,5.31583233313127,3
patchcore,FDEI,leg,3,1,431.0,1,0,2,431.0,5.4615167153848185,1
patchcore,FDEI,leg,3,2,555.0,2,1,2,555.0,5.9122721053458545,0
patchcore,FDEI,leg,3,3,766.0,2,1,2,766.0,5.400160595222756,3
patchcore,FDEI,leg,4,1,550.0,1,0,2,550.0,5.208393023564265,0
patchcore,FDEI,leg,4,2,419.0,1,0,2,419.0,5.2791871168674565,1
patchcore,FDEI,leg,6,1,416.0,1,0,1,416.0,5.230712924684797,0
patchcore,FDEI,leg,7,1,568.0,1,0,3,568.0,5.373171299061877,3
patchcore,FDEI,leg,7,2,,1,0,3,unknown,5.5048300248605235,1
patchcore,FDEI,leg,7,3,411.0,2,1,3,411.0,5.431580831838208,3
patchcore,FDEI,leg,8,1,319.0,1,0,3,319.0,5.341551065444946,1
patchcore,FDEI,leg,8,2,325.0,1,0,3,325.0,5.357969919840495,4
patchcore,FDEI,leg,8,3,344.0,2,1,3,344.0,5.510444924235344,0
patchcore,FDEI,leg,8,4,322.0,2,1,3,322.0,6.049127260843913,0
patchcore,FDEI,leg,9,1,891.0,1,0,1,891.0,5.386557731628418,4
patchcore,FDEI,leg,10,1,566.0,1,0,2,566.0,5.171883595617194,4
patchcore,FDEI,leg,10,2,743.0,2,1,2,743.0,5.458177403705876,3
patchcore,FDEI,leg,10,3,2928.0,1,0,2,2928.0,5.2683226189962244,2
patchcore,FDEI,leg,11,1,755.0,1,0,3,755.0,5.4717648195665936,4
patchcore,FDEI,leg,11,2,884.0,2,1,3,884.0,5.781802090731534,4
patchcore,FDEI,leg,11,3,739.0,2,1,3,739.0,5.554521310329437,4
patchcore,FDEI,leg,11,4,554.0,2,1,3,554.0,5.451809365698632,1
patchcore,FDEI,leg,11,5,313.0,1,0,3,313.0,5.1570405006408695,0
patchcore,FDEI,leg,11,6,890.0,1,0,3,890.0,5.436987284067515,0
patchcore,FDEI,leg,11,7,328.0,2,1,3,328.0,5.531620979309082,4
patchcore,FDEI,leg,11,8,373.0,1,0,3,373.0,5.4387262951244,3
patchcore,FDEI,leg,12,1,879.0,1,0,2,879.0,5.61355761245445,2
patchcore,FDEI,leg,12,2,826.0,2,1,2,826.0,5.584687640269597,1
patchcore,FDEI,leg,13,1,884.0,3,1,1,884.0,5.687236064519638,4
patchcore,FDEI,leg,14,1,1450.0,2,1,3,1450.0,5.571661202112834,0
patchcore,FDEI,leg,14,2,865.0,2,1,3,865.0,5.637326706780327,1
patchcore,FDEI,leg,14,3,339.0,2,1,3,339.0,5.605953682793511,1
patchcore,FDEI,leg,14,4,301.0,1,0,3,301.0,5.616528901186856,4
patchcore,FDEI,leg,14,5,328.0,2,1,3,328.0,5.48856930022544,4
patchcore,FDEI,leg,14,6,817.0,1,0,3,817.0,5.647296021624309,2
patchcore,FDEI,leg,15,1,775.0,2,1,1,775.0,5.706755650670905,4
patchcore,FDEI,leg,16,1,319.0,1,0,1,319.0,5.496139628546579,1
patchcore,FDEI,leg,17,1,825.0,2,1,1,825.0,5.402904637654623,2
patchcore,FDEI,leg,18,1,313.0,1,0,3,313.0,5.480438611446282,0
patchcore,FDEI,leg,18,2,818.0,2,1,3,818.0,5.298462743344515,4
patchcore,FDEI,leg,18,3,894.0,2,1,3,894.0,5.454551374590075,3
patchcore,FDEI,leg,18,4,345.0,1,0,3,345.0,5.576727509498596,4
patchcore,FDEI,leg,19,1,369.0,2,1,1,369.0,5.7924453326634,1
patchcore,FDEI,leg,20,1,769.0,2,1,2,769.0,5.8498089881170365,2
patchcore,FDEI,leg,20,2,997.0,1,0,2,997.0,5.535240673437351,1
patchcore,FDEI,leg,21,1,408.0,1,0,3,408.0,5.631361238884203,1
patchcore,FDEI,leg,21,2,785.0,2,1,3,785.0,5.775959134101868,2
patchcore,FDEI,leg,21,3,2892.0,1,0,3,2892.0,5.413341168434389,4
patchcore,FDEI,leg,22,1,331.0,1,0,3,331.0,5.424936050023788,4
patchcore,FDEI,leg,22,2,743.0,2,1,3,743.0,5.331801646795029,3
patchcore,FDEI,leg,22,3,437.0,1,0,3,437.0,5.123688087906948,1
patchcore,FDEI,leg,22,4,6003.0,1,0,3,6003.0,5.521943444297428,0
patchcore,FDEI,leg,22,5,350.0,2,1,3,350.0,5.417575704640355,1
patchcore,FDEI,leg,22,6,858.0,2,1,3,858.0,5.434855026357314,0
patchcore,FDEI,leg,23,1,568.0,1,0,2,568.0,5.342474889755249,3
patchcore,FDEI,leg,23,2,302.0,1,0,2,302.0,5.809839513566759,3
