detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
patchcore,GEI_CGI_FDEI,leg,1,1,582.0,2,1,2,582.0,12.280058760392038,2
patchcore,GEI_CGI_FDEI,leg,1,2,403.0,2,1,2,403.0,12.584092465842643,4
patchcore,GEI_CGI_FDEI,leg,2,1,578.0,1,0,2,578.0,12.356102283184345,3
patchcore,GEI_CGI_FDEI,leg,2,2,603.0,1,0,2,603.0,11.790530269796198,3
patchcore,GEI_CGI_FDEI,leg,3,1,431.0,1,0,2,431.0,12.892657383068189,1
patchcore,GEI_CGI_FDEI,leg,3,2,555.0,2,1,2,555.0,13.299253566845044,0
patchcore,GEI_CGI_FDEI,leg,3,3,766.0,2,1,2,766.0,11.921880828009712,3
patchcore,GEI_CGI_FDEI,leg,4,1,550.0,1,0,2,550.0,11.317078027969751,0
patchcore,GEI_CGI_FDEI,leg,4,2,419.0,1,0,2,419.0,11.499741725432568,1
patchcore,GEI_CGI_FDEI,leg,6,1,416.0,1,0,1,416.0,11.260696956089564,0
patchcore,GEI_CGI_FDEI,leg,7,1,568.0,1,0,3,568.0,11.750143619293862,3
patchcore,GEI_CGI_FDEI,leg,7,2,,1,0,3,unknown,11.993403929251212,1
patchcore,GEI_CGI_FDEI,leg,7,3,411.0,2,1,3,411.0,12.154158281725506,3
patchcore,GEI_CGI_FDEI,leg,8,1,319.0,1,0,3,319.0,11.39001253247261,1
patchcore,GEI_CGI_FDEI,leg,8,2,325.0,1,0,3,325.0,12.102970643477006,4
patchcore,GEI_CGI_FDEI,leg,8,3,344.0,2,1,3,344.0,12.09717682003975,0
patchcore,GEI_CGI_FDEI,leg,8,4,322.0,2,1,3,322.0,13.395864345409253,0
patchcore,GEI_CGI_FDEI,leg,9,1,891.0,1,0,1,891.0,11.720951118469237,4
patchcore,GEI_CGI_FDEI,leg,10,1,566.0,1,0,2,566.0,11.247944957331606,4
patchcore,GEI_CGI_FDEI,leg,10,2,743.0,2,1,2,743.0,12.12468403141673,3
patchcore,GEI_CGI_FDEI,leg,10,3,2928.0,1,0,2,2928.0,11.347590586034263,2
patchcore,GEI_CGI_FDEI,leg,11,1,755.0,1,0,3,755.0,12.255851058072823,4
patchcore,GEI_CGI_FDEI,leg,11,2,884.0,2,1,3,884.0,12.572040709582241,4
patchcore,GEI_CGI_FDEI,leg,11,3,739.0,2,1,3,739.0,12.605044317245483,4
patchcore,GEI_CGI_FDEI,leg,11,4,554.0,2,1,3,554.0,12.524054770774029,1
patchcore,GEI_CGI_FDEI,leg,11,5,313.0,1,0,3,313.0,11.208372917175293,0
patchcore,GEI_CGI_FDEI,leg,11,6,890.0,1,0,3,890.0,11.956856701825116,0
patchcore,GEI_CGI_FDEI,leg,11,7,328.0,2,1,3,328.0,12.14796313833683,4
patchcore,GEI_CGI_FDEI,leg,11,8,373.0,1,0,3,373.0,12.628648035454027,3
patchcore,GEI_CGI_FDEI,leg,12,1,879.0,1,0,2,879.0,12.535132814336706,2
patchcore,GEI_CGI_FDEI,leg,12,2,826.0,2,1,2,826.0,12.067284981409708,1
patchcore,GEI_CGI_FDEI,leg,13,1,884.0,3,1,1,884.0,12.609682352114946,4
patchcore,GEI_CGI_FDEI,leg,14,1,1450.0,2,1,3,1450.0,12.215585740407308,0
patchcore,GEI_CGI_FDEI,leg,14,2,865.0,2,1,3,865.0,12.290213033888076,1
patchcore,GEI_CGI_FDEI,leg,14,3,339.0,2,1,3,339.0,12.926427099439833,1
