detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
patchcore,GEI,full,1,1,582.0,2,1,2,582.0,5.460918715125636,2
patchcore,GEI,full,1,2,403.0,2,1,2,403.0,5.475762134645043,4
patchcore,GEI,full,2,1,578.0,1,0,2,578.0,5.473522687569643,3
patchcore,GEI,full,2,2,603.0,1,0,2,603.0,5.479445099830627,3
patchcore,GEI,full,3,1,431.0,1,0,2,431.0,5.6441359391083585,1
patchcore,GEI,full,3,2,555.0,2,1,2,555.0,5.275141561353529,0
patchcore,GEI,full,3,3,766.0,2,1,2,766.0,5.471832663924606,3
patchcore,GEI,full,4,1,550.0,1,0,2,550.0,5.234387642297989,0
patchcore,GEI,full,4,2,419.0,1,0,2,419.0,5.323096654353997,1
patchcore,GEI,full,6,1,416.0,1,0,1,416.0,4.943140489714486,0
patchcore,GEI,full,7,1,568.0,1,0,3,568.0,5.761855825464776,3
patchcore,GEI,full,7,2,,1,0,3,unknown,5.901936716503567,1
patchcore,GEI,full,7,3,411.0,2,1,3,411.0,5.788126535193864,3
patchcore,GEI,full,8,1,319.0,1,0,3,319.0,5.628288775682449,1
patchcore,GEI,full,8,2,325.0,1,0,3,325.0,5.835218834154533,4
patchcore,GEI,full,8,3,344.0,2,1,3,344.0,5.390594705939293,0
patchcore,GEI,full,8,4,322.0,2,1,3,322.0,5.571914743494104,0
patchcore,GEI,full,9,1,891.0,1,0,1,891.0,5.584344539642334,4
patchcore,GEI,full,10,1,566.0,1,0,2,566.0,5.194216615275333,4
patchcore,GEI,full,10,2,743.0,2,1,2,743.0,5.376096992957883,3
patchcore,GEI,full,10,3,2928.0,1,0,2,2928.0,5.519607753288455,2
patchcore,GEI,full,11,1,755.0,1,0,3,755.0,5.722788256268169,4
patchcore,GEI,full,11,2,884.0,2,1,3,884.0,5.50230318849737,4
patchcore,GEI,full,11,3,739.0,2,1,3,739.0,5.833587288856506,4
