detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
patchcore,GEI,leg,1,1,582.0,2,1,2,582.0,5.515065657465081,2
patchcore,GEI,leg,1,2,403.0,2,1,2,403.0,6.339847029709235,4
patchcore,GEI,leg,2,1,578.0,1,0,2,578.0,5.593686201633552,3
patchcore,GEI,leg,2,2,603.0,1,0,2,603.0,5.526339433409951,3
patchcore,GEI,leg,3,1,431.0,1,0,2,431.0,5.854223637967496,1
patchcore,GEI,leg,3,2,555.0,2,1,2,555.0,6.178419512671393,0
patchcore,GEI,leg,3,3,766.0,2,1,2,766.0,5.194589491243716,3
patchcore,GEI,leg,4,1,550.0,1,0,2,550.0,5.164161657675718,0
patchcore,GEI,leg,4,2,419.0,1,0,2,419.0,5.155308234385955,1
patchcore,GEI,leg,6,1,416.0,1,0,1,416.0,5.216960532324655,0
patchcore,GEI,leg,7,1,568.0,1,0,3,568.0,5.473132823375946,3
patchcore,GEI,leg,7,2,,1,0,3,unknown,5.652506492756031,1
patchcore,GEI,leg,7,3,411.0,2,1,3,411.0,5.627136108487151,3
patchcore,GEI,leg,8,1,319.0,1,0,3,319.0,5.397758096456528,1
patchcore,GEI,leg,8,2,325.0,1,0,3,325.0,5.650274594624837,4
patchcore,GEI,leg,8,3,344.0,2,1,3,344.0,5.545947998762131,0
patchcore,GEI,leg,8,4,322.0,2,1,3,322.0,5.854096236052336,0
patchcore,GEI,leg,9,1,891.0,1,0,1,891.0,5.3675762557983395,4
patchcore,GEI,leg,10,1,566.0,1,0,2,566.0,5.0359595574830704,4
patchcore,GEI,leg,10,2,743.0,2,1,2,743.0,5.513804063564393,3
patchcore,GEI,leg,10,3,2928.0,1,0,2,2928.0,5.305839550204393,2
patchcore,GEI,leg,11,1,755.0,1,0,3,755.0,5.812553793884987,4
patchcore,GEI,leg,11,2,884.0,2,1,3,884.0,6.034763823856007,4
patchcore,GEI,leg,11,3,739.0,2,1,3,739.0,5.932563602924347,4
patchcore,GEI,leg,11,4,554.0,2,1,3,554.0,5.9226771415548125,1
patchcore,GEI,leg,11,5,313.0,1,0,3,313.0,5.281811466217041,0
patchcore,GEI,leg,11,6,890.0,1,0,3,890.0,5.65163821143073,0
patchcore,GEI,leg,11,7,328.0,2,1,3,328.0,5.827350971546579,4
patchcore,GEI,leg,11,8,373.0,1,0,3,373.0,5.916965166727702,3
patchcore,GEI,leg,12,1,879.0,1,0,2,879.0,5.961251771008527,2
