detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
patchcore,HEI_comb1,leg,1,1,582.0,2,1,2,582.0,5.690889308327122,2
patchcore,HEI_comb1,leg,1,2,403.0,2,1,2,403.0,5.890722542274289,4
patchcore,HEI_comb1,leg,2,1,578.0,1,0,2,578.0,5.8611100514729815,3
patchcore,HEI_comb1,leg,2,2,603.0,1,0,2,603.0,5.697537151249972,3
patchcore,HEI_comb1,leg,3,1,431.0,1,0,2,431.0,5.8818083067198055,1
patchcore,HEI_comb1,leg,3,2,555.0,2,1,2,555.0,5.930718138411239,0
patchcore,HEI_comb1,leg,3,3,766.0,2,1,2,766.0,6.110479019306324,3
patchcore,HEI_comb1,leg,4,1,550.0,1,0,2,550.0,5.525163650512695,0
patchcore,HEI_comb1,leg,4,2,419.0,1,0,2,419.0,5.634316737835224,1
patchcore,HEI_comb1,leg,6,1,416.0,1,0,1,416.0,5.802151271275112,0
patchcore,HEI_comb1,leg,7,1,568.0,1,0,3,568.0,6.036080532885612,3
patchcore,HEI_comb1,leg,7,2,,1,0,3,unknown,6.1061430330629705,1
patchcore,HEI_comb1,leg,7,3,411.0,2,1,3,411.0,5.66885106508122,3
patchcore,HEI_comb1,leg,8,1,319.0,1,0,3,319.0,5.894344657659531,1
patchcore,HEI_comb1,leg,8,2,325.0,1,0,3,325.0,6.22547655394583,4
patchcore,HEI_comb1,leg,8,3,344.0,2,1,3,344.0,6.36729571223259,0
patchcore,HEI_comb1,leg,8,4,322.0,2,1,3,322.0,5.870803727044,0
patchcore,HEI_comb1,leg,9,1,891.0,1,0,1,891.0,6.323780727386475,4
patchcore,HEI_comb1,leg,10,1,566.0,1,0,2,566.0,5.761326513792339,4
patchcore,HEI_comb1,leg,10,2,743.0,2,1,2,743.0,6.029344163289884,3
patchcore,HEI_comb1,leg,10,3,2928.0,1,0,2,2928.0,5.82590574171485,2
patchcore,HEI_comb1,leg,11,1,755.0,1,0,3,755.0,6.00735079964926,4
patchcore,HEI_comb1,leg,11,2,884.0,2,1,3,884.0,6.29441254789179,4
patchcore,HEI_comb1,leg,11,3,739.0,2,1,3,739.0,5.983344626426697,4
patchcore,HEI_comb1,leg,11,4,554.0,2,1,3,554.0,5.873741312229887,1
patchcore,HEI_comb1,leg,11,5,313.0,1,0,3,313.0,5.677553329467774,0
patchcore,HEI_comb1,leg,11,6,890.0,1,0,3,890.0,6.453639185106432,0
patchcore,HEI_comb1,leg,11,7,328.0,2,1,3,328.0,6.837165233936716,4
patchcore,HEI_comb1,leg,11,8,373.0,1,0,3,373.0,6.144483638532234,3
patchcore,HEI_comb1,leg,12,1,879.0,1,0,2,879.0,6.588036722607082,2
patchcore,HEI_comb1,leg,12,2,826.0,2,1,2,826.0,6.337702761093776,1
patchcore,HEI_comb1,leg,13,1,884.0,3,1,1,884.0,6.374834317427415,4
patchcore,HEI_comb1,leg,14,1,1450.0,2,1,3,1450.0,6.2920432408650715,0
patchcore,HEI_comb1,leg,14,2,865.0,2,1,3,865.0,5.957092560662163,1
patchcore,HEI_comb1,leg,14,3,339.0,2,1,3,339.0,6.7211771117316355,1
patchcore,HEI_comb1,leg,14,4,301.0,1,0,3,301.0,6.395671746947548,4
patchcore,HEI_comb1,leg,14,5,328.0,2,1,3,328.0,6.25706791370473,4
patchcore,HEI_comb1,leg,14,6,817.0,1,0,3,817.0,6.405763381864967,2
