detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
patchcore,HEI,full,1,1,582.0,2,1,2,582.0,5.505365697961104,2
patchcore,HEI,full,1,2,403.0,2,1,2,403.0,5.832724385145234,4
patchcore,HEI,full,2,1,578.0,1,0,2,578.0,5.671364013965313,3
patchcore,HEI,full,2,2,603.0,1,0,2,603.0,5.600066455927762,3
patchcore,HEI,full,3,1,431.0,1,0,2,431.0,5.716636129327722,1
patchcore,HEI,full,3,2,555.0,2,1,2,555.0,5.645730637215279,0
patchcore,HEI,full,3,3,766.0,2,1,2,766.0,5.959733804066976,3
patchcore,HEI,full,4,1,550.0,1,0,2,550.0,5.420477182437212,0
patchcore,HEI,full,4,2,419.0,1,0,2,419.0,5.460249472887088,1
patchcore,HEI,full,6,1,416.0,1,0,1,416.0,5.498060669217791,0
patchcore,HEI,full,7,1,568.0,1,0,3,568.0,5.789675245893762,3
patchcore,HEI,full,7,2,,1,0,3,unknown,6.0392003147690385,1
patchcore,HEI,full,7,3,411.0,2,1,3,411.0,5.734958681949349,3
patchcore,HEI,full,8,1,319.0,1,0,3,319.0,5.577305123209953,1
patchcore,HEI,full,8,2,325.0,1,0,3,325.0,6.090822075352524,4
patchcore,HEI,full,8,3,344.0,2,1,3,344.0,5.837761729955673,0
patchcore,HEI,full,8,4,322.0,2,1,3,322.0,5.913181393234818,0
patchcore,HEI,full,9,1,891.0,1,0,1,891.0,5.990460300445557,4
patchcore,HEI,full,10,1,566.0,1,0,2,566.0,5.596673513713636,4
patchcore,HEI,full,10,2,743.0,2,1,2,743.0,5.613715427677806,3
patchcore,HEI,full,10,3,2928.0,1,0,2,2928.0,5.579212270131925,2
patchcore,HEI,full,11,1,755.0,1,0,3,755.0,5.9302800976952845,4
patchcore,HEI,full,11,2,884.0,2,1,3,884.0,5.910722830078819,4
patchcore,HEI,full,11,3,739.0,2,1,3,739.0,5.986114454269409,4
patchcore,HEI,full,11,4,554.0,2,1,3,554.0,5.877889775215311,1
patchcore,HEI,full,11,5,313.0,1,0,3,313.0,5.598595113754272,0
patchcore,HEI,full,11,6,890.0,1,0,3,890.0,5.84863348264952,0
patchcore,HEI,full,11,7,328.0,2,1,3,328.0,6.224358223854227,4
patchcore,HEI,full,11,8,373.0,1,0,3,373.0,5.668952898545698,3
