detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
patchcore,HEI,leg,1,1,582.0,2,1,2,582.0,5.584569253419575,2
patchcore,HEI,leg,1,2,403.0,2,1,2,403.0,5.768024746964618,4
patchcore,HEI,leg,2,1,578.0,1,0,2,578.0,5.750716368357341,3
patchcore,HEI,leg,2,2,603.0,1,0,2,603.0,5.689681009812788,3
patchcore,HEI,leg,3,1,431.0,1,0,2,431.0,5.731715021906672,1
patchcore,HEI,leg,3,2,555.0,2,1,2,555.0,5.746208654867636,0
patchcore,HEI,leg,3,3,766.0,2,1,2,766.0,5.959600395626492,3
patchcore,HEI,leg,4,1,550.0,1,0,2,550.0,5.401839623084435,0
patchcore,HEI,leg,4,2,419.0,1,0,2,419.0,5.474243604219877,1
patchcore,HEI,leg,6,1,416.0,1,0,1,416.0,5.696224229676383,0
patchcore,HEI,leg,7,1,568.0,1,0,3,568.0,5.956362856195328,3
patchcore,HEI,leg,7,2,,1,0,3,unknown,6.055907523190534,1
patchcore,HEI,leg,7,3,411.0,2,1,3,411.0,5.55508934065353,3
patchcore,HEI,leg,8,1,319.0,1,0,3,319.0,5.787441775202751,1
patchcore,HEI,leg,8,2,325.0,1,0,3,325.0,6.2658309792027325,4
patchcore,HEI,leg,8,3,344.0,2,1,3,344.0,6.139982759952545,0
patchcore,HEI,leg,8,4,322.0,2,1,3,322.0,5.698996738151267,0
patchcore,HEI,leg,9,1,891.0,1,0,1,891.0,6.110878791809082,4
patchcore,HEI,leg,10,1,566.0,1,0,2,566.0,5.714443156593724,4
patchcore,HEI,leg,10,2,743.0,2,1,2,743.0,5.947750975446003,3
patchcore,HEI,leg,10,3,2928.0,1,0,2,2928.0,5.681820869445801,2
patchcore,HEI,leg,11,1,755.0,1,0,3,755.0,5.8506331111109535,4
patchcore,HEI,leg,11,2,884.0,2,1,3,884.0,6.206579002467069,4
patchcore,HEI,leg,11,3,739.0,2,1,3,739.0,5.800583863258362,4
patchcore,HEI,leg,11,4,554.0,2,1,3,554.0,5.747260671980838,1
patchcore,HEI,leg,11,5,313.0,1,0,3,313.0,5.528391819000245,0
