detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
stfpm,CGI,leg,1,1,582.0,2,1,2,582.0,0.3878578127999055,2
stfpm,CGI,leg,1,2,403.0,2,1,2,403.0,0.3869917174664939,4
stfpm,CGI,leg,2,1,578.0,1,0,2,578.0,0.4007323506550911,3
stfpm,CGI,leg,2,2,603.0,1,0,2,603.0,0.3892574662511999,3
stfpm,CGI,leg,3,1,431.0,1,0,2,431.0,0.3999673683901091,1
stfpm,CGI,leg,3,2,555.0,2,1,2,555.0,0.3824479998768987,0
stfpm,CGI,leg,3,3,766.0,2,1,2,766.0,0.43886247829154684,3
stfpm,CGI,leg,4,1,550.0,1,0,2,550.0,0.3563502843563373,0
stfpm,CGI,leg,4,2,419.0,1,0,2,419.0,0.3826428208595667,1
stfpm,CGI,leg,6,1,416.0,1,0,1,416.0,0.4050368879522596,0
stfpm,CGI,leg,7,1,568.0,1,0,3,568.0,0.4138788162393773,3
stfpm,CGI,leg,7,2,,1,0,3,unknown,0.4002629220485687,1
stfpm,CGI,leg,7,3,411.0,2,1,3,411.0,0.40495597484499907,3
stfpm,CGI,leg,8,1,319.0,1,0,3,319.0,0.38849965296685696,1
stfpm,CGI,leg,8,2,325.0,1,0,3,325.0,0.428222555102724,4
stfpm,CGI,leg,8,3,344.0,2,1,3,344.0,0.40725048538297415,0
stfpm,CGI,leg,8,4,322.0,2,1,3,322.0,0.43308783460546424,0
stfpm,CGI,leg,9,1,891.0,1,0,1,891.0,0.4196208894252777,4
stfpm,CGI,leg,10,1,566.0,1,0,2,566.0,0.3894730727923544,4
stfpm,CGI,leg,10,2,743.0,2,1,2,743.0,0.40728799889727335,3
stfpm,CGI,leg,10,3,2928.0,1,0,2,2928.0,0.3642441797547224,2
stfpm,CGI,leg,11,1,755.0,1,0,3,755.0,0.39258253297140433,4
stfpm,CGI,leg,11,2,884.0,2,1,3,884.0,0.4111121892929077,4
stfpm,CGI,leg,11,3,739.0,2,1,3,739.0,0.42929730713367464,4
stfpm,CGI,leg,11,4,554.0,2,1,3,554.0,0.41095345134430744,1
stfpm,CGI,leg,11,5,313.0,1,0,3,313.0,0.3582563585042953,0
stfpm,CGI,leg,11,6,890.0,1,0,3,890.0,0.377613636287483,0
stfpm,CGI,leg,11,7,328.0,2,1,3,328.0,0.3989413520123096,4
stfpm,CGI,leg,11,8,373.0,1,0,3,373.0,0.3998525711623105,3
stfpm,CGI,leg,12,1,879.0,1,0,2,879.0,0.38112948558948656,2
stfpm,CGI,leg,12,2,826.0,2,1,2,826.0,0.4309516617407401,1
stfpm,CGI,leg,13,1,884.0,3,1,1,884.0,0.4036437311233618,4
stfpm,CGI,leg,14,1,1450.0,2,1,3,1450.0,0.43115711708863574,0
stfpm,CGI,leg,14,2,865.0,2,1,3,865.0,0.4037533766693539,1
stfpm,CGI,leg,14,3,339.0,2,1,3,339.0,0.4213784144984351,1
stfpm,CGI,leg,14,4,301.0,1,0,3,301.0,0.436482081359083,4
stfpm,CGI,leg,14,5,328.0,2,1,3,328.0,0.40620683989626294,4
stfpm,CGI,leg,14,6,817.0,1,0,3,817.0,0.4051421778958018,2
stfpm,CGI,leg,15,1,775.0,2,1,1,775.0,0.4221873369656111,4
stfpm,CGI,leg,16,1,319.0,1,0,1,319.0,0.40237061040742056,1
stfpm,CGI,leg,17,1,825.0,2,1,1,825.0,0.41143432855606077,2
stfpm,CGI,leg,18,1,313.0,1,0,3,313.0,0.3814133971165388,0
stfpm,CGI,leg,18,2,818.0,2,1,3,818.0,0.37657578807810077,4
stfpm,CGI,leg,18,3,894.0,2,1,3,894.0,0.40051679192362605,3
stfpm,CGI,leg,18,4,345.0,1,0,3,345.0,0.43126814173800604,4
stfpm,CGI,leg,19,1,369.0,2,1,1,369.0,0.42558965257235937,1
stfpm,CGI,leg,20,1,769.0,2,1,2,769.0,0.4074545531045823,2
stfpm,CGI,leg,20,2,997.0,1,0,2,997.0,0.3932080036256371,1
stfpm,CGI,leg,21,1,408.0,1,0,3,408.0,0.3976418773333232,1
stfpm,CGI,leg,21,2,785.0,2,1,3,785.0,0.424373053945601,2
stfpm,CGI,leg,21,3,2892.0,1,0,3,2892.0,0.401751967207078,4
stfpm,CGI,leg,22,1,331.0,1,0,3,331.0,0.38154349418786854,4
stfpm,CGI,leg,22,2,743.0,2,1,3,743.0,0.40050703057876,3
stfpm,CGI,leg,22,3,437.0,1,0,3,437.0,0.36740626360094825,1
stfpm,CGI,leg,22,4,6003.0,1,0,3,6003.0,0.3902596015305746,0
stfpm,CGI,leg,22,5,350.0,2,1,3,350.0,0.37449382091390676,1
stfpm,CGI,leg,22,6,858.0,2,1,3,858.0,0.3880900565315695,0
stfpm,CGI,leg,23,1,568.0,1,0,2,568.0,0.3869082346558571,3
stfpm,CGI,leg,23,2,302.0,1,0,2,302.0,0.4180097488893403,3
stfpm,CGI,leg,24,1,566.0,1,0,1,566.0,0.3870256228579415,4
stfpm,CGI,leg,27,1,405.0,2,1,3,405.0,0.39252593119939166,3
stfpm,CGI,leg,27,2,317.0,2,1,3,317.0,0.4079180657863617,3
stfpm,CGI,leg,27,3,8006.0,1,0,3,8006.0,0.39681185736800684,2
stfpm,CGI,leg,27,4,2941.0,2,1,3,2941.0,0.38441622958463784,0
stfpm,CGI,leg,27,5,774.0,2,1,3,774.0,0.39076988101005555,0
stfpm,CGI,leg,27,6,327.0,2,1,3,327.0,0.383136465719768,0
stfpm,CGI,leg,27,7,584.0,2,1,3,584.0,0.3871279627084732,1
stfpm,CGI,leg,27,8,550.0,1,0,3,550.0,0.37469996412595113,0
stfpm,CGI,leg,27,9,779.0,1,0,3,779.0,0.40353453617829543,4
stfpm,CGI,leg,28,1,313.0,1,0,3,313.0,0.4202264308929443,0
stfpm,CGI,leg,28,2,826.0,2,1,3,826.0,0.4535807796886989,1
stfpm,CGI,leg,28,3,817.0,1,0,3,817.0,0.4486491946237428,2
stfpm,CGI,leg,29,1,2952.0,2,1,3,2952.0,0.4213818245463901,2
stfpm,CGI,leg,29,2,781.0,2,1,3,781.0,0.44266345500946047,3
stfpm,CGI,leg,29,3,369.0,1,0,3,369.0,0.4347435095243984,1
stfpm,CGI,leg,34,1,858.0,2,1,2,858.0,0.426745656463835,0
stfpm,CGI,leg,34,2,2932.0,2,1,2,2932.0,0.4028535500953072,1
stfpm,CGI,leg,35,1,586.0,1,0,3,586.0,0.38276606580106226,0
stfpm,CGI,leg,35,2,317.0,2,1,3,317.0,0.40044656462139555,3
stfpm,CGI,leg,35,3,405.0,1,0,3,405.0,0.4229698377576741,3
stfpm,CGI,leg,35,4,2892.0,1,0,3,2892.0,0.4154332903928535,4
stfpm,CGI,leg,35,5,351.0,1,0,3,351.0,0.3937572859227657,3
stfpm,CGI,leg,36,1,582.0,2,1,1,582.0,0.41433977772449626,2
stfpm,CGI,leg,37,1,739.0,1,0,1,739.0,0.4280978325340483,4
stfpm,CGI,leg,39,1,882.0,2,1,2,882.0,0.4092318354284062,1
stfpm,CGI,leg,39,2,794.0,2,1,2,794.0,0.426835342310369,0
stfpm,CGI,leg,40,1,876.0,2,1,3,876.0,0.3965487978896316,3
stfpm,CGI,leg,40,2,331.0,1,0,3,331.0,0.40258866906166074,4
stfpm,CGI,leg,40,3,805.0,2,1,3,805.0,0.3844620050528111,0
stfpm,CGI,leg,40,4,786.0,2,1,3,786.0,0.4415998548269272,1
stfpm,CGI,leg,40,5,402.0,1,0,3,402.0,0.45382766574621203,3
stfpm,CGI,leg,40,6,742.0,1,0,3,742.0,0.39635361103635086,0
stfpm,CGI,leg,41,1,401.0,2,1,3,401.0,0.3853283835494,4
stfpm,CGI,leg,41,2,367.0,1,0,3,367.0,0.37121883521274646,1
stfpm,CGI,leg,42,1,889.0,2,1,1,889.0,0.4445100997885068,2
stfpm,CGI,leg,50,1,458.0,2,1,1,458.0,0.3869665753510263,4
stfpm,CGI,leg,51,1,455.0,1,0,2,455.0,0.4009110193427016,3
stfpm,CGI,leg,51,2,387.0,1,0,2,387.0,0.38754134899691534,0
stfpm,CGI,leg,52,1,377.0,2,1,1,377.0,0.37635453672785507,2
stfpm,CGI,leg,53,1,450.0,1,0,2,450.0,0.38717729846636456,0
stfpm,CGI,leg,54,1,462.0,1,0,3,462.0,0.39402682075695117,1
stfpm,CGI,leg,54,2,431.0,2,1,3,431.0,0.3689038468168137,1
stfpm,CGI,leg,54,3,327.0,2,1,3,327.0,0.3769702328575982,0
stfpm,CGI,leg,55,1,443.0,3,1,1,443.0,0.3715479422447293,4
stfpm,CGI,leg,56,1,459.0,1,0,1,459.0,0.36756977293549514,2
stfpm,CGI,leg,57,1,736.0,2,1,1,736.0,0.38614188962512547,1
stfpm,CGI,leg,58,1,611.0,1,0,2,611.0,0.3719546766508193,4
stfpm,CGI,leg,58,2,579.0,1,0,2,579.0,0.3622188710031055,2
stfpm,CGI,leg,59,1,6013.0,1,0,3,6013.0,0.373309279150433,0
stfpm,CGI,leg,59,2,763.0,2,1,3,763.0,0.45699305619512287,1
stfpm,CGI,leg,59,3,820.0,1,0,3,820.0,0.3877800166606903,3
stfpm,CGI,leg,59,4,8001.0,1,0,3,8001.0,0.4353223260153424,4
stfpm,CGI,leg,59,5,434.0,2,1,3,434.0,0.3880525122989308,1
stfpm,CGI,leg,60,1,586.0,1,0,3,586.0,0.3769781315012982,0
stfpm,CGI,leg,60,2,413.0,2,1,3,413.0,0.3795261047780514,2
stfpm,CGI,leg,60,3,333.0,2,1,3,333.0,0.39958285348755973,3
stfpm,CGI,leg,60,4,886.0,2,1,3,886.0,0.4116362913234814,3
stfpm,CGI,leg,60,5,407.0,2,1,3,407.0,0.40717476759201443,4
stfpm,CGI,leg,60,6,380.0,1,0,3,380.0,0.376063034647987,0
stfpm,CGI,leg,60,7,583.0,2,1,3,583.0,0.3988402776229076,1
stfpm,CGI,leg,61,1,575.0,1,0,1,575.0,0.37421595081686976,4
stfpm,CGI,leg,62,1,419.0,1,0,3,419.0,0.3915000741972643,1
stfpm,CGI,leg,62,2,441.0,1,0,3,441.0,0.38842790126800536,0
stfpm,CGI,leg,62,3,732.0,2,1,3,732.0,0.37609199103381896,2
stfpm,CGI,leg,63,1,867.0,2,1,3,867.0,0.378093143304189,0
stfpm,CGI,leg,63,2,6012.0,1,0,3,6012.0,0.36982851581914084,3
stfpm,CGI,leg,63,3,823.0,2,1,3,823.0,0.3990141288800673,3
stfpm,CGI,leg,63,4,318.0,1,0,3,318.0,0.3724549100842587,2
stfpm,CGI,leg,63,5,2880.0,2,1,3,2880.0,0.37530507461020823,0
stfpm,CGI,leg,65,1,2925.0,1,0,2,2925.0,0.40886423804543237,3
stfpm,CGI,leg,65,2,311.0,2,1,2,311.0,0.38521492667496204,4
stfpm,CGI,leg,66,1,772.0,3,1,3,772.0,0.4357877764850855,1
stfpm,CGI,leg,66,2,411.0,1,0,3,411.0,0.3986004335539682,3
stfpm,CGI,leg,66,3,306.0,2,1,3,306.0,0.39963644821392863,2
stfpm,CGI,leg,66,4,330.0,2,1,3,330.0,0.3868026198484959,3
stfpm,CGI,leg,67,1,403.0,1,0,2,403.0,0.38378306282194036,4
stfpm,CGI,leg,67,2,409.0,1,0,2,409.0,0.3729455605858848,2
stfpm,CGI,leg,67,3,8007.0,2,1,2,8007.0,0.4029570544088209,3
stfpm,CGI,leg,67,4,8003.0,2,1,2,8003.0,0.39227527379989624,3
stfpm,CGI,leg,69,1,304.0,2,1,3,304.0,0.42287230014801025,1
stfpm,CGI,leg,69,2,422.0,2,1,3,422.0,0.41464372641510433,4
stfpm,CGI,leg,70,1,768.0,2,1,1,768.0,0.42923233409722644,0
stfpm,CGI,leg,71,1,1500.0,1,0,3,1500.0,0.3706524774432182,1
