detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
stfpm,FDEI,leg,1,1,582.0,2,1,2,582.0,0.43084592097683955,2
stfpm,FDEI,leg,1,2,403.0,2,1,2,403.0,0.4493900530221986,4
stfpm,FDEI,leg,2,1,578.0,1,0,2,578.0,0.4591732621192932,3
stfpm,FDEI,leg,2,2,603.0,1,0,2,603.0,0.4448273100636222,3
stfpm,FDEI,leg,3,1,431.0,1,0,2,431.0,0.45649262135093277,1
stfpm,FDEI,leg,3,2,555.0,2,1,2,555.0,0.42050830174136805,0
stfpm,FDEI,leg,3,3,766.0,2,1,2,766.0,0.4818752551520312,3
stfpm,FDEI,leg,4,1,550.0,1,0,2,550.0,0.3997815335408235,0
stfpm,FDEI,leg,4,2,419.0,1,0,2,419.0,0.44194516845238513,1
stfpm,FDEI,leg,6,1,416.0,1,0,1,416.0,0.43777256246123997,0
stfpm,FDEI,leg,7,1,568.0,1,0,3,568.0,0.46921754454044584,3
stfpm,FDEI,leg,7,2,,1,0,3,unknown,0.4507386838948285,1
stfpm,FDEI,leg,7,3,411.0,2,1,3,411.0,0.4669574817945791,3
stfpm,FDEI,leg,8,1,319.0,1,0,3,319.0,0.44050761219114065,1
stfpm,FDEI,leg,8,2,325.0,1,0,3,325.0,0.4816477479356708,4
stfpm,FDEI,leg,8,3,344.0,2,1,3,344.0,0.4477122463285923,0
stfpm,FDEI,leg,8,4,322.0,2,1,3,322.0,0.4674239887131585,0
stfpm,FDEI,leg,9,1,891.0,1,0,1,891.0,0.4636181318759918,4
stfpm,FDEI,leg,10,1,566.0,1,0,2,566.0,0.44407713726947184,4
stfpm,FDEI,leg,10,2,743.0,2,1,2,743.0,0.46244133463719994,3
stfpm,FDEI,leg,10,3,2928.0,1,0,2,2928.0,0.4163321736382275,2
stfpm,FDEI,leg,11,1,755.0,1,0,3,755.0,0.4376188994840134,4
stfpm,FDEI,leg,11,2,884.0,2,1,3,884.0,0.48739588396115735,4
stfpm,FDEI,leg,11,3,739.0,2,1,3,739.0,0.49316353872418406,4
stfpm,FDEI,leg,11,4,554.0,2,1,3,554.0,0.474138450749377,1
stfpm,FDEI,leg,11,5,313.0,1,0,3,313.0,0.40804074704647064,0
stfpm,FDEI,leg,11,6,890.0,1,0,3,890.0,0.4123908498802701,0
stfpm,FDEI,leg,11,7,328.0,2,1,3,328.0,0.4543306104680325,4
stfpm,FDEI,leg,11,8,373.0,1,0,3,373.0,0.4807670893091144,3
stfpm,FDEI,leg,12,1,879.0,1,0,2,879.0,0.42990340954727596,2
stfpm,FDEI,leg,12,2,826.0,2,1,2,826.0,0.5115847668300072,1
stfpm,FDEI,leg,13,1,884.0,3,1,1,884.0,0.46700577628918183,4
stfpm,FDEI,leg,14,1,1450.0,2,1,3,1450.0,0.4667905936638514,0
stfpm,FDEI,leg,14,2,865.0,2,1,3,865.0,0.4757801049285465,1
stfpm,FDEI,leg,14,3,339.0,2,1,3,339.0,0.46806345913145275,1
stfpm,FDEI,leg,14,4,301.0,1,0,3,301.0,0.4976883767680688,4
stfpm,FDEI,leg,14,5,328.0,2,1,3,328.0,0.46281221952844176,4
stfpm,FDEI,leg,14,6,817.0,1,0,3,817.0,0.45756618932979864,2
stfpm,FDEI,leg,15,1,775.0,2,1,1,775.0,0.4759832385339235,4
stfpm,FDEI,leg,16,1,319.0,1,0,1,319.0,0.46343444819961277,1
stfpm,FDEI,leg,17,1,825.0,2,1,1,825.0,0.4548668434222539,2
stfpm,FDEI,leg,18,1,313.0,1,0,3,313.0,0.43633643862528676,0
stfpm,FDEI,leg,18,2,818.0,2,1,3,818.0,0.43314895487349964,4
stfpm,FDEI,leg,18,3,894.0,2,1,3,894.0,0.4521169251686818,3
stfpm,FDEI,leg,18,4,345.0,1,0,3,345.0,0.4672015075172697,4
stfpm,FDEI,leg,19,1,369.0,2,1,1,369.0,0.496000897032874,1
