detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
stfpm,GEI,leg,1,1,582.0,2,1,2,582.0,0.38580467277451563,2
stfpm,GEI,leg,1,2,403.0,2,1,2,403.0,0.3882841547814811,4
stfpm,GEI,leg,2,1,578.0,1,0,2,578.0,0.38394796007718796,3
stfpm,GEI,leg,2,2,603.0,1,0,2,603.0,0.37723145159808075,3
stfpm,GEI,leg,3,1,431.0,1,0,2,431.0,0.38544191621445323,1
stfpm,GEI,leg,3,2,555.0,2,1,2,555.0,0.36468572552139694,0
stfpm,GEI,leg,3,3,766.0,2,1,2,766.0,0.4126761058966319,3
stfpm,GEI,leg,4,1,550.0,1,0,2,550.0,0.34861305585274327,0
stfpm,GEI,leg,4,2,419.0,1,0,2,419.0,0.3691879801261119,1
stfpm,GEI,leg,6,1,416.0,1,0,1,416.0,0.3894013155783926,0
stfpm,GEI,leg,7,1,568.0,1,0,3,568.0,0.40315445179634907,3
stfpm,GEI,leg,7,2,,1,0,3,unknown,0.39491371203351905,1
stfpm,GEI,leg,7,3,411.0,2,1,3,411.0,0.3954668821290482,3
stfpm,GEI,leg,8,1,319.0,1,0,3,319.0,0.3710658419877291,1
stfpm,GEI,leg,8,2,325.0,1,0,3,325.0,0.41568151567921496,4
stfpm,GEI,leg,8,3,344.0,2,1,3,344.0,0.38899920135736465,0
stfpm,GEI,leg,8,4,322.0,2,1,3,322.0,0.41050377929652176,0
stfpm,GEI,leg,9,1,891.0,1,0,1,891.0,0.39121063113212584,4
stfpm,GEI,leg,10,1,566.0,1,0,2,566.0,0.3810384273529053,4
stfpm,GEI,leg,10,2,743.0,2,1,2,743.0,0.3918956539979795,3
stfpm,GEI,leg,10,3,2928.0,1,0,2,2928.0,0.3626198848573173,2
stfpm,GEI,leg,11,1,755.0,1,0,3,755.0,0.3825168699719185,4
stfpm,GEI,leg,11,2,884.0,2,1,3,884.0,0.4052971066399054,4
stfpm,GEI,leg,11,3,739.0,2,1,3,739.0,0.42027252689003947,4
stfpm,GEI,leg,11,4,554.0,2,1,3,554.0,0.4038631858977866,1
stfpm,GEI,leg,11,5,313.0,1,0,3,313.0,0.351639364361763,0
stfpm,GEI,leg,11,6,890.0,1,0,3,890.0,0.3730214552299396,0
stfpm,GEI,leg,11,7,328.0,2,1,3,328.0,0.3915222616905862,4
stfpm,GEI,leg,11,8,373.0,1,0,3,373.0,0.39090173081918195,3
stfpm,GEI,leg,12,1,879.0,1,0,2,879.0,0.3859694842939024,2
stfpm,GEI,leg,12,2,826.0,2,1,2,826.0,0.4237050401667754,1
stfpm,GEI,leg,13,1,884.0,3,1,1,884.0,0.3926151540034857,4
stfpm,GEI,leg,14,1,1450.0,2,1,3,1450.0,0.4243836134672165,0
stfpm,GEI,leg,14,2,865.0,2,1,3,865.0,0.3954989552497864,1
stfpm,GEI,leg,14,3,339.0,2,1,3,339.0,0.42152364518907337,1
stfpm,GEI,leg,14,4,301.0,1,0,3,301.0,0.4326171367005868,4
stfpm,GEI,leg,14,5,328.0,2,1,3,328.0,0.40287245524690507,4
stfpm,GEI,leg,14,6,817.0,1,0,3,817.0,0.39663944738667184,2
stfpm,GEI,leg,15,1,775.0,2,1,1,775.0,0.40649960542979996,4
stfpm,GEI,leg,16,1,319.0,1,0,1,319.0,0.3825186075908797,1
stfpm,GEI,leg,17,1,825.0,2,1,1,825.0,0.3994997501373291,2
stfpm,GEI,leg,18,1,313.0,1,0,3,313.0,0.37870137584515107,0
stfpm,GEI,leg,18,2,818.0,2,1,3,818.0,0.3668322517820027,4
stfpm,GEI,leg,18,3,894.0,2,1,3,894.0,0.38047205676903595,3
stfpm,GEI,leg,18,4,345.0,1,0,3,345.0,0.4070420659014157,4
stfpm,GEI,leg,19,1,369.0,2,1,1,369.0,0.41291011912482123,1
stfpm,GEI,leg,20,1,769.0,2,1,2,769.0,0.39947138513837543,2
stfpm,GEI,leg,20,2,997.0,1,0,2,997.0,0.3855334752943458,1
stfpm,GEI,leg,21,1,408.0,1,0,3,408.0,0.3820657693978512,1
stfpm,GEI,leg,21,2,785.0,2,1,3,785.0,0.4111105026677251,2
stfpm,GEI,leg,21,3,2892.0,1,0,3,2892.0,0.386286775912008,4
stfpm,GEI,leg,22,1,331.0,1,0,3,331.0,0.36777880100103527,4
stfpm,GEI,leg,22,2,743.0,2,1,3,743.0,0.385532992772567,3
stfpm,GEI,leg,22,3,437.0,1,0,3,437.0,0.36217727841332903,1
stfpm,GEI,leg,22,4,6003.0,1,0,3,6003.0,0.37624418096882956,0
stfpm,GEI,leg,22,5,350.0,2,1,3,350.0,0.34857869045487766,1
stfpm,GEI,leg,22,6,858.0,2,1,3,858.0,0.3755767187651466,0
stfpm,GEI,leg,23,1,568.0,1,0,2,568.0,0.3745736666023731,3
stfpm,GEI,leg,23,2,302.0,1,0,2,302.0,0.40492983079618877,3
stfpm,GEI,leg,24,1,566.0,1,0,1,566.0,0.3819172042939398,4
stfpm,GEI,leg,27,1,405.0,2,1,3,405.0,0.3789444932570824,3
stfpm,GEI,leg,27,2,317.0,2,1,3,317.0,0.38262181729078293,3
stfpm,GEI,leg,27,3,8006.0,1,0,3,8006.0,0.38567279505007196,2
stfpm,GEI,leg,27,4,2941.0,2,1,3,2941.0,0.37139616994296804,0
stfpm,GEI,leg,27,5,774.0,2,1,3,774.0,0.37199811240037284,0
