fold,epoch,train_loss,heldout_auroc,detector,modality,crop
0,1,0.01947535994641455,0.5900621118012421,stfpm,HEI,leg
0,2,0.009261143818577119,0.6086956521739131,stfpm,HEI,leg
0,3,0.007243327963326028,0.6133540372670808,stfpm,HEI,leg
0,4,0.0063700604249011614,0.6273291925465838,stfpm,HEI,leg
0,5,0.006033150982485623,0.6319875776397516,stfpm,HEI,leg
0,6,0.0056315134129857405,0.6444099378881988,stfpm,HEI,leg
0,7,0.005339308197340149,0.6366459627329193,stfpm,HEI,leg
0,8,0.005189211474476824,0.6521739130434783,stfpm,HEI,leg
0,9,0.005074441462283115,0.6428571428571428,stfpm,HEI,leg
0,10,0.004836465157638567,0.6490683229813665,stfpm,HEI,leg
0,11,0.004749982352304265,0.6568322981366459,stfpm,HEI,leg
0,12,0.0046227034707197285,0.6661490683229814,stfpm,HEI,leg
0,13,0.004509836576243341,0.6723602484472049,stfpm,HEI,leg
0,14,0.004387125424535915,0.6630434782608696,stfpm,HEI,leg
0,15,0.004343469808558224,0.6599378881987578,stfpm,HEI,leg
0,16,0.004336003199981588,0.65527950310559,stfpm,HEI,leg
0,17,0.00416859784391399,0.6614906832298137,stfpm,HEI,leg
0,18,0.004277251894063453,0.6583850931677019,stfpm,HEI,leg
0,19,0.004162013782667396,0.6599378881987579,stfpm,HEI,leg
0,20,0.004016660314188847,0.6661490683229814,stfpm,HEI,leg
0,21,0.003946876057237854,0.670807453416149,stfpm,HEI,leg
0,22,0.00392474474407583,0.6661490683229814,stfpm,HEI,leg
0,23,0.0038949064215133378,0.6723602484472049,stfpm,HEI,leg
0,24,0.0044351702124824565,0.6677018633540373,stfpm,HEI,leg
0,25,0.004182917956459141,0.6630434782608696,stfpm,HEI,leg
0,26,0.0038810140211976494,0.6583850931677019,stfpm,HEI,leg
0,27,0.0038705481627635853,0.6645962732919255,stfpm,HEI,leg
0,28,0.0037929521517774353,0.6645962732919254,stfpm,HEI,leg
0,29,0.003987475957398956,0.6630434782608695,stfpm,HEI,leg
0,30,0.0038968753103526725,0.6677018633540374,stfpm,HEI,leg
0,31,0.003747913278721114,0.6630434782608695,stfpm,HEI,leg
0,32,0.0037138305832906493,0.6692546583850931,stfpm,HEI,leg
0,33,0.0037836663454766366,0.6661490683229814,stfpm,HEI,leg
0,34,0.0037379593463962805,0.6568322981366459,stfpm,HEI,leg
