detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
stfpm,HEI,leg,1,1,582.0,2,1,2,582.0,0.3411711940639897,2
stfpm,HEI,leg,1,2,403.0,2,1,2,403.0,0.34537583153422285,4
stfpm,HEI,leg,2,1,578.0,1,0,2,578.0,0.3386961458585201,3
stfpm,HEI,leg,2,2,603.0,1,0,2,603.0,0.3357281949032437,3
stfpm,HEI,leg,3,1,431.0,1,0,2,431.0,0.34546568425926,1
stfpm,HEI,leg,3,2,555.0,2,1,2,555.0,0.3390566166993734,0
stfpm,HEI,leg,3,3,766.0,2,1,2,766.0,0.3652085275561721,3
stfpm,HEI,leg,4,1,550.0,1,0,2,550.0,0.3296754199724931,0
stfpm,HEI,leg,4,2,419.0,1,0,2,419.0,0.345133975530282,1
stfpm,HEI,leg,6,1,416.0,1,0,1,416.0,0.3421397805213928,0
stfpm,HEI,leg,7,1,568.0,1,0,3,568.0,0.34292229566168275,3
stfpm,HEI,leg,7,2,,1,0,3,unknown,0.34643330176671344,1
stfpm,HEI,leg,7,3,411.0,2,1,3,411.0,0.33551344483397727,3
stfpm,HEI,leg,8,1,319.0,1,0,3,319.0,0.33872907888144255,1
stfpm,HEI,leg,8,2,325.0,1,0,3,325.0,0.3748308338902213,4
stfpm,HEI,leg,8,3,344.0,2,1,3,344.0,0.3737685987725854,0
stfpm,HEI,leg,8,4,322.0,2,1,3,322.0,0.3715768677216989,0
stfpm,HEI,leg,9,1,891.0,1,0,1,891.0,0.3613241302967072,4
stfpm,HEI,leg,10,1,566.0,1,0,2,566.0,0.3372426903561542,4
stfpm,HEI,leg,10,2,743.0,2,1,2,743.0,0.349987754734551,3
stfpm,HEI,leg,10,3,2928.0,1,0,2,2928.0,0.33400019203744286,2
stfpm,HEI,leg,11,1,755.0,1,0,3,755.0,0.3429238789303358,4
stfpm,HEI,leg,11,2,884.0,2,1,3,884.0,0.3906147209080783,4
stfpm,HEI,leg,11,3,739.0,2,1,3,739.0,0.368467428535223,4
stfpm,HEI,leg,11,4,554.0,2,1,3,554.0,0.35968303743829116,1
stfpm,HEI,leg,11,5,313.0,1,0,3,313.0,0.33826817214488986,0
stfpm,HEI,leg,11,6,890.0,1,0,3,890.0,0.34733524838009394,0
stfpm,HEI,leg,11,7,328.0,2,1,3,328.0,0.36618232092958813,4
stfpm,HEI,leg,11,8,373.0,1,0,3,373.0,0.3532886369661851,3
stfpm,HEI,leg,12,1,879.0,1,0,2,879.0,0.34675617074524917,2
stfpm,HEI,leg,12,2,826.0,2,1,2,826.0,0.40496128983795643,1
stfpm,HEI,leg,13,1,884.0,3,1,1,884.0,0.3717234127032451,4
stfpm,HEI,leg,14,1,1450.0,2,1,3,1450.0,0.3604435364405314,0
stfpm,HEI,leg,14,2,865.0,2,1,3,865.0,0.3546805818875631,1
stfpm,HEI,leg,14,3,339.0,2,1,3,339.0,0.3785421722465091,1
stfpm,HEI,leg,14,4,301.0,1,0,3,301.0,0.3977012715556405,4
stfpm,HEI,leg,14,5,328.0,2,1,3,328.0,0.3702176555674127,4
stfpm,HEI,leg,14,6,817.0,1,0,3,817.0,0.36893232784620145,2
stfpm,HEI,leg,15,1,775.0,2,1,1,775.0,0.3506786015472914,4
stfpm,HEI,leg,16,1,319.0,1,0,1,319.0,0.3591074560369764,1
stfpm,HEI,leg,17,1,825.0,2,1,1,825.0,0.34789519011974335,2
stfpm,HEI,leg,18,1,313.0,1,0,3,313.0,0.36668108518307024,0
stfpm,HEI,leg,18,2,818.0,2,1,3,818.0,0.35213995562947314,4
stfpm,HEI,leg,18,3,894.0,2,1,3,894.0,0.35410945641027913,3
stfpm,HEI,leg,18,4,345.0,1,0,3,345.0,0.36921923075403484,4
stfpm,HEI,leg,19,1,369.0,2,1,1,369.0,0.3827777947698321,1
stfpm,HEI,leg,20,1,769.0,2,1,2,769.0,0.38151224028496517,2
stfpm,HEI,leg,20,2,997.0,1,0,2,997.0,0.34965144570280865,1
stfpm,HEI,leg,21,1,408.0,1,0,3,408.0,0.34913866718610126,1
stfpm,HEI,leg,21,2,785.0,2,1,3,785.0,0.36892093252390623,2
stfpm,HEI,leg,21,3,2892.0,1,0,3,2892.0,0.3541900525169988,4
stfpm,HEI,leg,22,1,331.0,1,0,3,331.0,0.3441866032588176,4
stfpm,HEI,leg,22,2,743.0,2,1,3,743.0,0.34066541683979523,3
stfpm,HEI,leg,22,3,437.0,1,0,3,437.0,0.35433181843092276,1
stfpm,HEI,leg,22,4,6003.0,1,0,3,6003.0,0.36078705035504843,0
stfpm,HEI,leg,22,5,350.0,2,1,3,350.0,0.3554985122434024,1
stfpm,HEI,leg,22,6,858.0,2,1,3,858.0,0.34873725736842437,0
stfpm,HEI,leg,23,1,568.0,1,0,2,568.0,0.3536662369966507,3
stfpm,HEI,leg,23,2,302.0,1,0,2,302.0,0.37147796154022217,3
stfpm,HEI,leg,24,1,566.0,1,0,1,566.0,0.346029582950804,4
stfpm,HEI,leg,27,1,405.0,2,1,3,405.0,0.35343795250623655,3
stfpm,HEI,leg,27,2,317.0,2,1,3,317.0,0.34509463608264923,3
stfpm,HEI,leg,27,3,8006.0,1,0,3,8006.0,0.33668377543940686,2
stfpm,HEI,leg,27,4,2941.0,2,1,3,2941.0,0.3701694932054071,0
stfpm,HEI,leg,27,5,774.0,2,1,3,774.0,0.35990740954875944,0
stfpm,HEI,leg,27,6,327.0,2,1,3,327.0,0.3396303730351584,0
stfpm,HEI,leg,27,7,584.0,2,1,3,584.0,0.3505101650953293,1
stfpm,HEI,leg,27,8,550.0,1,0,3,550.0,0.344121053814888,0
stfpm,HEI,leg,27,9,779.0,1,0,3,779.0,0.35108742117881775,4
stfpm,HEI,leg,28,1,313.0,1,0,3,313.0,0.3579886277516683,0
stfpm,HEI,leg,28,2,826.0,2,1,3,826.0,0.3859631099871227,1
stfpm,HEI,leg,28,3,817.0,1,0,3,817.0,0.38315756406102863,2
