detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
subspace,CGI,full,1,1,582.0,2,1,2,582.0,0.0014300406910479069,2
subspace,CGI,full,1,2,403.0,2,1,2,403.0,0.002100457437336445,4
subspace,CGI,full,2,1,578.0,1,0,2,578.0,0.001443610992282629,3
subspace,CGI,full,2,2,603.0,1,0,2,603.0,0.001981190638616681,3
subspace,CGI,full,3,1,431.0,1,0,2,431.0,0.001173574710264802,1
subspace,CGI,full,3,2,555.0,2,1,2,555.0,0.0021857270039618015,0
subspace,CGI,full,3,3,766.0,2,1,2,766.0,0.0015116315335035324,3
subspace,CGI,full,4,1,550.0,1,0,2,550.0,0.0017666228814050555,0
subspace,CGI,full,4,2,419.0,1,0,2,419.0,0.0015765686985105276,1
subspace,CGI,full,6,1,416.0,1,0,1,416.0,0.00298922136425972,0
subspace,CGI,full,7,1,568.0,1,0,3,568.0,0.0014147456968203187,3
subspace,CGI,full,7,2,,1,0,3,unknown,0.0023231403902173042,1
subspace,CGI,full,7,3,411.0,2,1,3,411.0,0.0011331718415021896,3
subspace,CGI,full,8,1,319.0,1,0,3,319.0,0.001733634970150888,1
subspace,CGI,full,8,2,325.0,1,0,3,325.0,0.0013197753578424454,4
subspace,CGI,full,8,3,344.0,2,1,3,344.0,0.0015386074082925916,0
subspace,CGI,full,8,4,322.0,2,1,3,322.0,0.003835296258330345,0
subspace,CGI,full,9,1,891.0,1,0,1,891.0,0.001481562852859497,4
subspace,CGI,full,10,1,566.0,1,0,2,566.0,0.0017778583569452167,4
subspace,CGI,full,10,2,743.0,2,1,2,743.0,0.0017890483140945435,3
subspace,CGI,full,10,3,2928.0,1,0,2,2928.0,0.0011781045468524098,2
subspace,CGI,full,11,1,755.0,1,0,3,755.0,0.0026342321652919054,4
subspace,CGI,full,11,2,884.0,2,1,3,884.0,0.00303387688472867,4
subspace,CGI,full,11,3,739.0,2,1,3,739.0,0.0022021194454282522,4
subspace,CGI,full,11,4,554.0,2,1,3,554.0,0.0016493722796440125,1
subspace,CGI,full,11,5,313.0,1,0,3,313.0,0.0011757474858313799,0
subspace,CGI,full,11,6,890.0,1,0,3,890.0,0.0030330501031130552,0
subspace,CGI,full,11,7,328.0,2,1,3,328.0,0.002180160488933325,4
subspace,CGI,full,11,8,373.0,1,0,3,373.0,0.001876837806776166,3
subspace,CGI,full,12,1,879.0,1,0,2,879.0,0.002625530119985342,2
subspace,CGI,full,12,2,826.0,2,1,2,826.0,0.0043860673904418945,1
subspace,CGI,full,13,1,884.0,3,1,1,884.0,0.0019304852467030287,4
subspace,CGI,full,14,1,1450.0,2,1,3,1450.0,0.0022537480108439922,0
subspace,CGI,full,14,2,865.0,2,1,3,865.0,0.003605707548558712,1
subspace,CGI,full,14,3,339.0,2,1,3,339.0,0.005636082962155342,1
subspace,CGI,full,14,4,301.0,1,0,3,301.0,0.0023974846117198467,4
subspace,CGI,full,14,5,328.0,2,1,3,328.0,0.0018585498910397291,4
subspace,CGI,full,14,6,817.0,1,0,3,817.0,0.0016313560772687197,2
subspace,CGI,full,15,1,775.0,2,1,1,775.0,0.0026201889850199223,4
subspace,CGI,full,16,1,319.0,1,0,1,319.0,0.0014726845547556877,1
subspace,CGI,full,17,1,825.0,2,1,1,825.0,0.0019013844430446625,2
subspace,CGI,full,18,1,313.0,1,0,3,313.0,0.0020737173035740852,0
subspace,CGI,full,18,2,818.0,2,1,3,818.0,0.0017197781708091497,4
subspace,CGI,full,18,3,894.0,2,1,3,894.0,0.0010681309504434466,3
subspace,CGI,full,18,4,345.0,1,0,3,345.0,0.003697638399899006,4
subspace,CGI,full,19,1,369.0,2,1,1,369.0,0.0019934778101742268,1
subspace,CGI,full,20,1,769.0,2,1,2,769.0,0.0034622978419065475,2
subspace,CGI,full,20,2,997.0,1,0,2,997.0,0.0018183051142841578,1
subspace,CGI,full,21,1,408.0,1,0,3,408.0,0.001522163162007928,1
subspace,CGI,full,21,2,785.0,2,1,3,785.0,0.0018843101570382714,2
subspace,CGI,full,21,3,2892.0,1,0,3,2892.0,0.0011908409651368856,4
subspace,CGI,full,22,1,331.0,1,0,3,331.0,0.0011741362977772951,4
subspace,CGI,full,22,2,743.0,2,1,3,743.0,0.0016749142669141293,3
subspace,CGI,full,22,3,437.0,1,0,3,437.0,0.0015075899427756667,1
subspace,CGI,full,22,4,6003.0,1,0,3,6003.0,0.0012830487685278058,0
subspace,CGI,full,22,5,350.0,2,1,3,350.0,0.0025174152106046677,1
subspace,CGI,full,22,6,858.0,2,1,3,858.0,0.001414611702784896,0
subspace,CGI,full,23,1,568.0,1,0,2,568.0,0.001844865153543651,3
subspace,CGI,full,23,2,302.0,1,0,2,302.0,0.0028845493216067553,3
subspace,CGI,full,24,1,566.0,1,0,1,566.0,0.0020244112238287926,4
subspace,CGI,full,27,1,405.0,2,1,3,405.0,0.0023700331803411245,3
subspace,CGI,full,27,2,317.0,2,1,3,317.0,0.0014896616339683533,3
subspace,CGI,full,27,3,8006.0,1,0,3,8006.0,0.002100250218063593,2
subspace,CGI,full,27,4,2941.0,2,1,3,2941.0,0.0017960676923394203,0
subspace,CGI,full,27,5,774.0,2,1,3,774.0,0.0021479143761098385,0
subspace,CGI,full,27,6,327.0,2,1,3,327.0,0.0017286078073084354,0
subspace,CGI,full,27,7,584.0,2,1,3,584.0,0.002909356029704213,1
subspace,CGI,full,27,8,550.0,1,0,3,550.0,0.0017045525601133704,0
subspace,CGI,full,27,9,779.0,1,0,3,779.0,0.001658099703490734,4
subspace,CGI,full,28,1,313.0,1,0,3,313.0,0.0014223690377548337,0
subspace,CGI,full,28,2,826.0,2,1,3,826.0,0.002157065784558654,1
subspace,CGI,full,28,3,817.0,1,0,3,817.0,0.001976271625608206,2
subspace,CGI,full,29,1,2952.0,2,1,3,2952.0,0.002775861881673336,2
subspace,CGI,full,29,2,781.0,2,1,3,781.0,0.002204578835517168,3
subspace,CGI,full,29,3,369.0,1,0,3,369.0,0.001751890406012535,1
subspace,CGI,full,34,1,858.0,2,1,2,858.0,0.0018628663383424282,0
subspace,CGI,full,34,2,2932.0,2,1,2,2932.0,0.001266320701688528,1
subspace,CGI,full,35,1,586.0,1,0,3,586.0,0.001533733680844307,0
subspace,CGI,full,35,2,317.0,2,1,3,317.0,0.0017004873370751739,3
subspace,CGI,full,35,3,405.0,1,0,3,405.0,0.0023680708836764097,3
subspace,CGI,full,35,4,2892.0,1,0,3,2892.0,0.0011862167157232761,4
subspace,CGI,full,35,5,351.0,1,0,3,351.0,0.001157308928668499,3
subspace,CGI,full,36,1,582.0,2,1,1,582.0,0.0018739369697868824,2
subspace,CGI,full,37,1,739.0,1,0,1,739.0,0.001317707123234868,4
subspace,CGI,full,39,1,882.0,2,1,2,882.0,0.001835298491641879,1
subspace,CGI,full,39,2,794.0,2,1,2,794.0,0.0018890530336648226,0
subspace,CGI,full,40,1,876.0,2,1,3,876.0,0.001379896537400782,3
subspace,CGI,full,40,2,331.0,1,0,3,331.0,0.0015654395101591945,4
subspace,CGI,full,40,3,805.0,2,1,3,805.0,0.0023247338831424713,0
subspace,CGI,full,40,4,786.0,2,1,3,786.0,0.003527992870658636,1
subspace,CGI,full,40,5,402.0,1,0,3,402.0,0.0018337755464017391,3
subspace,CGI,full,40,6,742.0,1,0,3,742.0,0.0012195606250315905,0
subspace,CGI,full,41,1,401.0,2,1,3,401.0,0.0012201342033222318,4
subspace,CGI,full,41,2,367.0,1,0,3,367.0,0.001411506556905806,1
subspace,CGI,full,42,1,889.0,2,1,1,889.0,0.0021374300122261047,2
subspace,CGI,full,50,1,458.0,2,1,1,458.0,0.0013372496468946338,4
subspace,CGI,full,51,1,455.0,1,0,2,455.0,0.001756775309331715,3
subspace,CGI,full,51,2,387.0,1,0,2,387.0,0.0013994681648910046,0
subspace,CGI,full,52,1,377.0,2,1,1,377.0,0.0013827672228217125,2
subspace,CGI,full,53,1,450.0,1,0,2,450.0,0.0013092525769025087,0
subspace,CGI,full,54,1,462.0,1,0,3,462.0,0.0016816604183986783,1
subspace,CGI,full,54,2,431.0,2,1,3,431.0,0.0014837454073131084,1
subspace,CGI,full,54,3,327.0,2,1,3,327.0,0.0016623743576928973,0
subspace,CGI,full,55,1,443.0,3,1,1,443.0,0.001609020633623004,4
subspace,CGI,full,56,1,459.0,1,0,1,459.0,0.001548388390801847,2
subspace,CGI,full,57,1,736.0,2,1,1,736.0,0.0012687476119026542,1
subspace,CGI,full,58,1,611.0,1,0,2,611.0,0.0012369032483547926,4
subspace,CGI,full,58,2,579.0,1,0,2,579.0,0.0013144215336069465,2
subspace,CGI,full,59,1,6013.0,1,0,3,6013.0,0.0016668748576194048,0
subspace,CGI,full,59,2,763.0,2,1,3,763.0,0.006933617405593395,1
subspace,CGI,full,59,3,820.0,1,0,3,820.0,0.003919514827430248,3
subspace,CGI,full,59,4,8001.0,1,0,3,8001.0,0.001419670064933598,4
subspace,CGI,full,59,5,434.0,2,1,3,434.0,0.0009983478812500834,1
subspace,CGI,full,60,1,586.0,1,0,3,586.0,0.0013153291074559093,0
subspace,CGI,full,60,2,413.0,2,1,3,413.0,0.0012353784404695034,2
subspace,CGI,full,60,3,333.0,2,1,3,333.0,0.0017903221305459738,3
subspace,CGI,full,60,4,886.0,2,1,3,886.0,0.0022676875814795494,3
subspace,CGI,full,60,5,407.0,2,1,3,407.0,0.001305172685533762,4
subspace,CGI,full,60,6,380.0,1,0,3,380.0,0.0015331786125898361,0
subspace,CGI,full,60,7,583.0,2,1,3,583.0,0.001858169911429286,1
subspace,CGI,full,61,1,575.0,1,0,1,575.0,0.0014836000045761466,4
subspace,CGI,full,62,1,419.0,1,0,3,419.0,0.0015868344344198704,1
subspace,CGI,full,62,2,441.0,1,0,3,441.0,0.0015964941121637821,0
subspace,CGI,full,62,3,732.0,2,1,3,732.0,0.001326509634964168,2
subspace,CGI,full,63,1,867.0,2,1,3,867.0,0.002169077517464757,0
subspace,CGI,full,63,2,6012.0,1,0,3,6012.0,0.000810415658634156,3
subspace,CGI,full,63,3,823.0,2,1,3,823.0,0.0021512568928301334,3
subspace,CGI,full,63,4,318.0,1,0,3,318.0,0.0016051807906478643,2
subspace,CGI,full,63,5,2880.0,2,1,3,2880.0,0.0010607857257127762,0
subspace,CGI,full,65,1,2925.0,1,0,2,2925.0,0.0013785065384581685,3
subspace,CGI,full,65,2,311.0,2,1,2,311.0,0.0010420556645840406,4
subspace,CGI,full,66,1,772.0,3,1,3,772.0,0.005766722373664379,1
subspace,CGI,full,66,2,411.0,1,0,3,411.0,0.0011983991134911776,3
subspace,CGI,full,66,3,306.0,2,1,3,306.0,0.002694555791094899,2
subspace,CGI,full,66,4,330.0,2,1,3,330.0,0.0014007964637130499,3
subspace,CGI,full,67,1,403.0,1,0,2,403.0,0.0013783175963908434,4
subspace,CGI,full,67,2,409.0,1,0,2,409.0,0.0042494675144553185,2
subspace,CGI,full,67,3,8007.0,2,1,2,8007.0,0.0015520475571975112,3
subspace,CGI,full,67,4,8003.0,2,1,2,8003.0,0.0016021569026634097,3
subspace,CGI,full,69,1,304.0,2,1,3,304.0,0.0029687383212149143,1
subspace,CGI,full,69,2,422.0,2,1,3,422.0,0.0016484258230775595,4
subspace,CGI,full,70,1,768.0,2,1,1,768.0,0.0018892725929617882,0
subspace,CGI,full,71,1,1500.0,1,0,3,1500.0,0.0010746782645583153,1
subspace,CGI,full,71,2,305.0,2,1,3,305.0,0.001426088623702526,0
subspace,CGI,full,71,3,418.0,2,1,3,418.0,0.0017889711307361722,0
subspace,CGI,full,71,4,744.0,2,1,3,744.0,0.0011458740336820483,2
subspace,CGI,full,71,5,883.0,1,0,3,883.0,0.0011276516597718,2
subspace,CGI,full,71,6,375.0,1,0,3,375.0,0.0012513755355030298,0
subspace,CGI,full,71,7,543.0,2,1,3,543.0,0.0018721731612458825,3
subspace,CGI,full,72,1,352.0,2,1,1,352.0,0.0014906618744134903,3
subspace,CGI,full,73,1,426.0,2,1,2,426.0,0.0017119375988841057,2
subspace,CGI,full,73,2,423.0,1,0,2,423.0,0.0012646667892113328,3
