detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
subspace,CGI,leg,1,1,582.0,2,1,2,582.0,0.0006519249873235822,2
subspace,CGI,leg,1,2,403.0,2,1,2,403.0,0.0008833386236801744,4
subspace,CGI,leg,2,1,578.0,1,0,2,578.0,0.0006667886045761406,3
subspace,CGI,leg,2,2,603.0,1,0,2,603.0,0.001038640271872282,3
subspace,CGI,leg,3,1,431.0,1,0,2,431.0,0.0007241571438498795,1
subspace,CGI,leg,3,2,555.0,2,1,2,555.0,0.0011474033817648888,0
subspace,CGI,leg,3,3,766.0,2,1,2,766.0,0.0009335463983006775,3
subspace,CGI,leg,4,1,550.0,1,0,2,550.0,0.0006591248093172908,0
subspace,CGI,leg,4,2,419.0,1,0,2,419.0,0.0005108308978378773,1
subspace,CGI,leg,6,1,416.0,1,0,1,416.0,0.0007951009320095181,0
subspace,CGI,leg,7,1,568.0,1,0,3,568.0,0.000926092267036438,3
subspace,CGI,leg,7,2,,1,0,3,unknown,0.0011228935327380896,1
subspace,CGI,leg,7,3,411.0,2,1,3,411.0,0.0007229213370010257,3
subspace,CGI,leg,8,1,319.0,1,0,3,319.0,0.000705431797541678,1
subspace,CGI,leg,8,2,325.0,1,0,3,325.0,0.0009224949171766639,4
subspace,CGI,leg,8,3,344.0,2,1,3,344.0,0.0014479728415608406,0
subspace,CGI,leg,8,4,322.0,2,1,3,322.0,0.0016802572645246983,0
subspace,CGI,leg,9,1,891.0,1,0,1,891.0,0.0006031263037584722,4
subspace,CGI,leg,10,1,566.0,1,0,2,566.0,0.0008187862113118172,4
subspace,CGI,leg,10,2,743.0,2,1,2,743.0,0.0007873129798099399,3
subspace,CGI,leg,10,3,2928.0,1,0,2,2928.0,0.0005374936736188829,2
subspace,CGI,leg,11,1,755.0,1,0,3,755.0,0.0010322323068976402,4
subspace,CGI,leg,11,2,884.0,2,1,3,884.0,0.0022097176406532526,4
subspace,CGI,leg,11,3,739.0,2,1,3,739.0,0.001537041855044663,4
subspace,CGI,leg,11,4,554.0,2,1,3,554.0,0.0008524552686139941,1
subspace,CGI,leg,11,5,313.0,1,0,3,313.0,0.0004504422831814736,0
subspace,CGI,leg,11,6,890.0,1,0,3,890.0,0.0023023048415780067,0
subspace,CGI,leg,11,7,328.0,2,1,3,328.0,0.0016028156969696283,4
subspace,CGI,leg,11,8,373.0,1,0,3,373.0,0.001605385448783636,3
subspace,CGI,leg,12,1,879.0,1,0,2,879.0,0.0012713777832686901,2
subspace,CGI,leg,12,2,826.0,2,1,2,826.0,0.003815155476331711,1
subspace,CGI,leg,13,1,884.0,3,1,1,884.0,0.0007796690333634615,4
subspace,CGI,leg,14,1,1450.0,2,1,3,1450.0,0.0014159990241751075,0
subspace,CGI,leg,14,2,865.0,2,1,3,865.0,0.001152331242337823,1
subspace,CGI,leg,14,3,339.0,2,1,3,339.0,0.002078286837786436,1
subspace,CGI,leg,14,4,301.0,1,0,3,301.0,0.0016363563481718302,4
subspace,CGI,leg,14,5,328.0,2,1,3,328.0,0.0007911791908554733,4
subspace,CGI,leg,14,6,817.0,1,0,3,817.0,0.0009776605293154716,2
subspace,CGI,leg,15,1,775.0,2,1,1,775.0,0.0011135683162137866,4
subspace,CGI,leg,16,1,319.0,1,0,1,319.0,0.0007407834054902196,1
subspace,CGI,leg,17,1,825.0,2,1,1,825.0,0.0008054001373238862,2
subspace,CGI,leg,18,1,313.0,1,0,3,313.0,0.0009039990836754441,0
subspace,CGI,leg,18,2,818.0,2,1,3,818.0,0.0008099415572360158,4
subspace,CGI,leg,18,3,894.0,2,1,3,894.0,0.0007601183606311679,3
subspace,CGI,leg,18,4,345.0,1,0,3,345.0,0.0010570036247372627,4
subspace,CGI,leg,19,1,369.0,2,1,1,369.0,0.001227542757987976,1
subspace,CGI,leg,20,1,769.0,2,1,2,769.0,0.002010917756706476,2
subspace,CGI,leg,20,2,997.0,1,0,2,997.0,0.0008287091040983796,1
subspace,CGI,leg,21,1,408.0,1,0,3,408.0,0.0010633066995069385,1
subspace,CGI,leg,21,2,785.0,2,1,3,785.0,0.0009757662191987038,2
subspace,CGI,leg,21,3,2892.0,1,0,3,2892.0,0.0005685938522219658,4
subspace,CGI,leg,22,1,331.0,1,0,3,331.0,0.0007975224289111793,4
subspace,CGI,leg,22,2,743.0,2,1,3,743.0,0.0010022816713899374,3
subspace,CGI,leg,22,3,437.0,1,0,3,437.0,0.0006974246352910995,1
subspace,CGI,leg,22,4,6003.0,1,0,3,6003.0,0.0008328077383339405,0
subspace,CGI,leg,22,5,350.0,2,1,3,350.0,0.0008981293067336082,1
subspace,CGI,leg,22,6,858.0,2,1,3,858.0,0.000621346291154623,0
subspace,CGI,leg,23,1,568.0,1,0,2,568.0,0.0008303834474645555,3
subspace,CGI,leg,23,2,302.0,1,0,2,302.0,0.0013701331336051226,3
subspace,CGI,leg,24,1,566.0,1,0,1,566.0,0.0005279224133118987,4
subspace,CGI,leg,27,1,405.0,2,1,3,405.0,0.0011823069071397185,3
subspace,CGI,leg,27,2,317.0,2,1,3,317.0,0.0006521454779431224,3
subspace,CGI,leg,27,3,8006.0,1,0,3,8006.0,0.0009562928462401032,2
subspace,CGI,leg,27,4,2941.0,2,1,3,2941.0,0.001119096064940095,0
subspace,CGI,leg,27,5,774.0,2,1,3,774.0,0.0007960002403706312,0
subspace,CGI,leg,27,6,327.0,2,1,3,327.0,0.0006776188965886831,0
subspace,CGI,leg,27,7,584.0,2,1,3,584.0,0.0016663698479533195,1
subspace,CGI,leg,27,8,550.0,1,0,3,550.0,0.0005809544818475842,0
subspace,CGI,leg,27,9,779.0,1,0,3,779.0,0.000600263592787087,4
subspace,CGI,leg,28,1,313.0,1,0,3,313.0,0.000721788383089006,0
subspace,CGI,leg,28,2,826.0,2,1,3,826.0,0.0009628855623304844,1
subspace,CGI,leg,28,3,817.0,1,0,3,817.0,0.0011481603141874075,2
subspace,CGI,leg,29,1,2952.0,2,1,3,2952.0,0.0011750470148399472,2
subspace,CGI,leg,29,2,781.0,2,1,3,781.0,0.0013074802700430155,3
subspace,CGI,leg,29,3,369.0,1,0,3,369.0,0.0010036316234618425,1
subspace,CGI,leg,34,1,858.0,2,1,2,858.0,0.0009165598312392831,0
subspace,CGI,leg,34,2,2932.0,2,1,2,2932.0,0.0005567310145124793,1
subspace,CGI,leg,35,1,586.0,1,0,3,586.0,0.0005578792770393193,0
subspace,CGI,leg,35,2,317.0,2,1,3,317.0,0.0005401080125011504,3
subspace,CGI,leg,35,3,405.0,1,0,3,405.0,0.0008951388881541789,3
subspace,CGI,leg,35,4,2892.0,1,0,3,2892.0,0.00063687888905406,4
subspace,CGI,leg,35,5,351.0,1,0,3,351.0,0.0007372145773842931,3
subspace,CGI,leg,36,1,582.0,2,1,1,582.0,0.0006725373677909374,2
subspace,CGI,leg,37,1,739.0,1,0,1,739.0,0.0006045730551704764,4
subspace,CGI,leg,39,1,882.0,2,1,2,882.0,0.0007993035251274705,1
subspace,CGI,leg,39,2,794.0,2,1,2,794.0,0.0008227482903748751,0
subspace,CGI,leg,40,1,876.0,2,1,3,876.0,0.0007316285045817494,3
subspace,CGI,leg,40,2,331.0,1,0,3,331.0,0.0005109271733090281,4
subspace,CGI,leg,40,3,805.0,2,1,3,805.0,0.0012536896392703056,0
subspace,CGI,leg,40,4,786.0,2,1,3,786.0,0.002388680586591363,1
subspace,CGI,leg,40,5,402.0,1,0,3,402.0,0.0010923959780484438,3
subspace,CGI,leg,40,6,742.0,1,0,3,742.0,0.0006719258963130414,0
