detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
subspace,FDEI,full,1,1,582.0,2,1,2,582.0,0.00034927212982438505,2
subspace,FDEI,full,1,2,403.0,2,1,2,403.0,0.00042937262332998216,4
subspace,FDEI,full,2,1,578.0,1,0,2,578.0,0.000332482042722404,3
subspace,FDEI,full,2,2,603.0,1,0,2,603.0,0.0004252814978826791,3
subspace,FDEI,full,3,1,431.0,1,0,2,431.0,0.000234441933571361,1
subspace,FDEI,full,3,2,555.0,2,1,2,555.0,0.0004925118992105126,0
subspace,FDEI,full,3,3,766.0,2,1,2,766.0,0.00032184741576202214,3
subspace,FDEI,full,4,1,550.0,1,0,2,550.0,0.0003849843633361161,0
subspace,FDEI,full,4,2,419.0,1,0,2,419.0,0.0003167989198118448,1
subspace,FDEI,full,6,1,416.0,1,0,1,416.0,0.0008368669077754021,0
subspace,FDEI,full,7,1,568.0,1,0,3,568.0,0.00028769351774826646,3
subspace,FDEI,full,7,2,,1,0,3,unknown,0.0004814055282622576,1
subspace,FDEI,full,7,3,411.0,2,1,3,411.0,0.00021404490689747036,3
subspace,FDEI,full,8,1,319.0,1,0,3,319.0,0.0003386292955838144,1
subspace,FDEI,full,8,2,325.0,1,0,3,325.0,0.00028126605320721865,4
subspace,FDEI,full,8,3,344.0,2,1,3,344.0,0.00032984744757413864,0
subspace,FDEI,full,8,4,322.0,2,1,3,322.0,0.0008260253234766424,0
subspace,FDEI,full,9,1,891.0,1,0,1,891.0,0.00037917355075478554,4
subspace,FDEI,full,10,1,566.0,1,0,2,566.0,0.00040487400838173926,4
subspace,FDEI,full,10,2,743.0,2,1,2,743.0,0.0004247317847330123,3
subspace,FDEI,full,10,3,2928.0,1,0,2,2928.0,0.00026024586986750364,2
subspace,FDEI,full,11,1,755.0,1,0,3,755.0,0.0006494823028333485,4
subspace,FDEI,full,11,2,884.0,2,1,3,884.0,0.0007188990712165833,4
subspace,FDEI,full,11,3,739.0,2,1,3,739.0,0.0005203878972679377,4
subspace,FDEI,full,11,4,554.0,2,1,3,554.0,0.00035352358827367425,1
subspace,FDEI,full,11,5,313.0,1,0,3,313.0,0.00022200870444066823,0
subspace,FDEI,full,11,6,890.0,1,0,3,890.0,0.0005874552298337221,0
subspace,FDEI,full,11,7,328.0,2,1,3,328.0,0.00039984501199796796,4
subspace,FDEI,full,11,8,373.0,1,0,3,373.0,0.00036292331060394645,3
subspace,FDEI,full,12,1,879.0,1,0,2,879.0,0.0006528555531986058,2
subspace,FDEI,full,12,2,826.0,2,1,2,826.0,0.0010152175091207027,1
subspace,FDEI,full,13,1,884.0,3,1,1,884.0,0.0004272422520443797,4
subspace,FDEI,full,14,1,1450.0,2,1,3,1450.0,0.0005029139574617147,0
subspace,FDEI,full,14,2,865.0,2,1,3,865.0,0.000778981251642108,1
subspace,FDEI,full,14,3,339.0,2,1,3,339.0,0.0013867588713765144,1
subspace,FDEI,full,14,4,301.0,1,0,3,301.0,0.0005289922701194882,4
subspace,FDEI,full,14,5,328.0,2,1,3,328.0,0.00037741154665127397,4
subspace,FDEI,full,14,6,817.0,1,0,3,817.0,0.0003337714006192982,2
subspace,FDEI,full,15,1,775.0,2,1,1,775.0,0.0007005018414929509,4
subspace,FDEI,full,16,1,319.0,1,0,1,319.0,0.00032429888960905373,1
subspace,FDEI,full,17,1,825.0,2,1,1,825.0,0.00037344504380598664,2
subspace,FDEI,full,18,1,313.0,1,0,3,313.0,0.0004235446103848517,0
subspace,FDEI,full,18,2,818.0,2,1,3,818.0,0.0003574831935111433,4
