detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
subspace,FDEI,leg,1,1,582.0,2,1,2,582.0,0.0001500960352132097,2
subspace,FDEI,leg,1,2,403.0,2,1,2,403.0,0.00013248818868305534,4
subspace,FDEI,leg,2,1,578.0,1,0,2,578.0,0.0001145183268818073,3
subspace,FDEI,leg,2,2,603.0,1,0,2,603.0,0.0001869185216492042,3
subspace,FDEI,leg,3,1,431.0,1,0,2,431.0,0.00010153714538319036,1
subspace,FDEI,leg,3,2,555.0,2,1,2,555.0,0.00019207892182748765,0
subspace,FDEI,leg,3,3,766.0,2,1,2,766.0,0.00015371342306025326,3
subspace,FDEI,leg,4,1,550.0,1,0,2,550.0,0.00013350251538213342,0
subspace,FDEI,leg,4,2,419.0,1,0,2,419.0,9.382265125168487e-05,1
subspace,FDEI,leg,6,1,416.0,1,0,1,416.0,0.0001473577576689422,0
subspace,FDEI,leg,7,1,568.0,1,0,3,568.0,0.00017379845667164773,3
subspace,FDEI,leg,7,2,,1,0,3,unknown,0.0002043169952230528,1
subspace,FDEI,leg,7,3,411.0,2,1,3,411.0,0.00012492123642005026,3
subspace,FDEI,leg,8,1,319.0,1,0,3,319.0,0.00010504927195142955,1
subspace,FDEI,leg,8,2,325.0,1,0,3,325.0,0.00013308424968272448,4
subspace,FDEI,leg,8,3,344.0,2,1,3,344.0,0.00019188641454093158,0
subspace,FDEI,leg,8,4,322.0,2,1,3,322.0,0.0003277692594565451,0
subspace,FDEI,leg,9,1,891.0,1,0,1,891.0,0.00013951797154732049,4
subspace,FDEI,leg,10,1,566.0,1,0,2,566.0,0.00013569036673288792,4
subspace,FDEI,leg,10,2,743.0,2,1,2,743.0,0.00017532998754177243,3
subspace,FDEI,leg,10,3,2928.0,1,0,2,2928.0,0.0001064735115505755,2
subspace,FDEI,leg,11,1,755.0,1,0,3,755.0,0.0002203030016971752,4
subspace,FDEI,leg,11,2,884.0,2,1,3,884.0,0.00045416492503136396,4
subspace,FDEI,leg,11,3,739.0,2,1,3,739.0,0.00024100198061205447,4
subspace,FDEI,leg,11,4,554.0,2,1,3,554.0,0.00013651774497702718,1
subspace,FDEI,leg,11,5,313.0,1,0,3,313.0,9.505921480013058e-05,0
subspace,FDEI,leg,11,6,890.0,1,0,3,890.0,0.00035115680657327175,0
subspace,FDEI,leg,11,7,328.0,2,1,3,328.0,0.00018302937678527087,4
subspace,FDEI,leg,11,8,373.0,1,0,3,373.0,0.00022028044622857124,3
subspace,FDEI,leg,12,1,879.0,1,0,2,879.0,0.00020066110300831497,2
subspace,FDEI,leg,12,2,826.0,2,1,2,826.0,0.0008425592677667737,1
subspace,FDEI,leg,13,1,884.0,3,1,1,884.0,0.00015416659880429506,4
subspace,FDEI,leg,14,1,1450.0,2,1,3,1450.0,0.0002015673671849072,0
subspace,FDEI,leg,14,2,865.0,2,1,3,865.0,0.00019828940276056528,1
subspace,FDEI,leg,14,3,339.0,2,1,3,339.0,0.0003779514809139073,1
subspace,FDEI,leg,14,4,301.0,1,0,3,301.0,0.00031091595883481205,4
subspace,FDEI,leg,14,5,328.0,2,1,3,328.0,0.00011035348870791495,4
subspace,FDEI,leg,14,6,817.0,1,0,3,817.0,0.00015805449220351875,2
subspace,FDEI,leg,15,1,775.0,2,1,1,775.0,0.0001652494102017954,4
subspace,FDEI,leg,16,1,319.0,1,0,1,319.0,0.00016494837473146617,1
subspace,FDEI,leg,17,1,825.0,2,1,1,825.0,0.00011424285912653431,2
subspace,FDEI,leg,18,1,313.0,1,0,3,313.0,0.00013238999235909432,0
subspace,FDEI,leg,18,2,818.0,2,1,3,818.0,0.0001452082651667297,4
subspace,FDEI,leg,18,3,894.0,2,1,3,894.0,0.0001224174484377727,3
subspace,FDEI,leg,18,4,345.0,1,0,3,345.0,0.00017649945220910013,4
subspace,FDEI,leg,19,1,369.0,2,1,1,369.0,0.00024277064949274063,1
subspace,FDEI,leg,20,1,769.0,2,1,2,769.0,0.0005489344475790858,2
subspace,FDEI,leg,20,2,997.0,1,0,2,997.0,0.00014783328515477479,1
subspace,FDEI,leg,21,1,408.0,1,0,3,408.0,0.00023259158479049802,1
subspace,FDEI,leg,21,2,785.0,2,1,3,785.0,0.0001805763313313946,2
subspace,FDEI,leg,21,3,2892.0,1,0,3,2892.0,0.00010694330558180809,4
subspace,FDEI,leg,22,1,331.0,1,0,3,331.0,0.00012312582111917436,4
subspace,FDEI,leg,22,2,743.0,2,1,3,743.0,0.00019725703168660402,3
subspace,FDEI,leg,22,3,437.0,1,0,3,437.0,0.00012131717812735587,1
subspace,FDEI,leg,22,4,6003.0,1,0,3,6003.0,0.00012826031888835132,0
subspace,FDEI,leg,22,5,350.0,2,1,3,350.0,0.0002514344814699143,1
subspace,FDEI,leg,22,6,858.0,2,1,3,858.0,0.0001276343100471422,0
subspace,FDEI,leg,23,1,568.0,1,0,2,568.0,0.00012595814769156277,3
subspace,FDEI,leg,23,2,302.0,1,0,2,302.0,0.0002971796493511647,3
subspace,FDEI,leg,24,1,566.0,1,0,1,566.0,9.29788948269561e-05,4
subspace,FDEI,leg,27,1,405.0,2,1,3,405.0,0.0001920377544593066,3
subspace,FDEI,leg,27,2,317.0,2,1,3,317.0,0.00013744374155066907,3
subspace,FDEI,leg,27,3,8006.0,1,0,3,8006.0,0.0001793979899957776,2
subspace,FDEI,leg,27,4,2941.0,2,1,3,2941.0,0.00017494542407803237,0
subspace,FDEI,leg,27,5,774.0,2,1,3,774.0,0.000173622029251419,0
subspace,FDEI,leg,27,6,327.0,2,1,3,327.0,0.0001460139756090939,0
subspace,FDEI,leg,27,7,584.0,2,1,3,584.0,0.0003172776778228581,1
subspace,FDEI,leg,27,8,550.0,1,0,3,550.0,0.00011765754607040435,0
subspace,FDEI,leg,27,9,779.0,1,0,3,779.0,0.00015124418132472783,4
subspace,FDEI,leg,28,1,313.0,1,0,3,313.0,0.00013074705202598125,0
subspace,FDEI,leg,28,2,826.0,2,1,3,826.0,0.0001640229020267725,1
subspace,FDEI,leg,28,3,817.0,1,0,3,817.0,0.0002142796292901039,2
subspace,FDEI,leg,29,1,2952.0,2,1,3,2952.0,0.0001246069004992023,2
subspace,FDEI,leg,29,2,781.0,2,1,3,781.0,0.00023934082128107548,3
subspace,FDEI,leg,29,3,369.0,1,0,3,369.0,0.00015559952589683235,1
subspace,FDEI,leg,34,1,858.0,2,1,2,858.0,0.00013259939441923052,0
subspace,FDEI,leg,34,2,2932.0,2,1,2,2932.0,0.00010687335452530533,1
subspace,FDEI,leg,35,1,586.0,1,0,3,586.0,9.29295492824167e-05,0
subspace,FDEI,leg,35,2,317.0,2,1,3,317.0,0.0001051960134645924,3
subspace,FDEI,leg,35,3,405.0,1,0,3,405.0,0.00017347352695651352,3
subspace,FDEI,leg,35,4,2892.0,1,0,3,2892.0,0.00011473092308733612,4
subspace,FDEI,leg,35,5,351.0,1,0,3,351.0,0.00010749934881459922,3
subspace,FDEI,leg,36,1,582.0,2,1,1,582.0,0.00012176825839560479,2
subspace,FDEI,leg,37,1,739.0,1,0,1,739.0,0.00011827980051748455,4
subspace,FDEI,leg,39,1,882.0,2,1,2,882.0,0.0001484332315158099,1
subspace,FDEI,leg,39,2,794.0,2,1,2,794.0,0.0001288229541387409,0
subspace,FDEI,leg,40,1,876.0,2,1,3,876.0,9.925563063006848e-05,3
subspace,FDEI,leg,40,2,331.0,1,0,3,331.0,0.00010409967217128724,4
subspace,FDEI,leg,40,3,805.0,2,1,3,805.0,0.00014878026559017599,0
subspace,FDEI,leg,40,4,786.0,2,1,3,786.0,0.00038295506965368986,1
subspace,FDEI,leg,40,5,402.0,1,0,3,402.0,0.00016803092148620635,3
subspace,FDEI,leg,40,6,742.0,1,0,3,742.0,0.00012611736019607633,0
subspace,FDEI,leg,41,1,401.0,2,1,3,401.0,0.00010538828792050481,4
subspace,FDEI,leg,41,2,367.0,1,0,3,367.0,0.0001487727859057486,1
subspace,FDEI,leg,42,1,889.0,2,1,1,889.0,0.00016592521569691598,2
subspace,FDEI,leg,50,1,458.0,2,1,1,458.0,0.00012544903438538313,4
subspace,FDEI,leg,51,1,455.0,1,0,2,455.0,9.310072346124798e-05,3
subspace,FDEI,leg,51,2,387.0,1,0,2,387.0,0.0001201494742417708,0
subspace,FDEI,leg,52,1,377.0,2,1,1,377.0,0.00011162048031110317,2
subspace,FDEI,leg,53,1,450.0,1,0,2,450.0,0.00013256720558274537,0
subspace,FDEI,leg,54,1,462.0,1,0,3,462.0,0.00012045326002407819,1
subspace,FDEI,leg,54,2,431.0,2,1,3,431.0,9.640067582949996e-05,1
subspace,FDEI,leg,54,3,327.0,2,1,3,327.0,0.0001700357679510489,0
subspace,FDEI,leg,55,1,443.0,3,1,1,443.0,0.00010391706018708646,4
subspace,FDEI,leg,56,1,459.0,1,0,1,459.0,0.0001012770808301866,2
subspace,FDEI,leg,57,1,736.0,2,1,1,736.0,0.0001242671860381961,1
subspace,FDEI,leg,58,1,611.0,1,0,2,611.0,9.421039430890232e-05,4
subspace,FDEI,leg,58,2,579.0,1,0,2,579.0,9.549123933538795e-05,2
subspace,FDEI,leg,59,1,6013.0,1,0,3,6013.0,0.00011548166366992518,0
subspace,FDEI,leg,59,2,763.0,2,1,3,763.0,0.0003824845771305263,1
subspace,FDEI,leg,59,3,820.0,1,0,3,820.0,0.0001593254564795643,3
subspace,FDEI,leg,59,4,8001.0,1,0,3,8001.0,0.00014941347762942314,4
subspace,FDEI,leg,59,5,434.0,2,1,3,434.0,9.624267113395035e-05,1
subspace,FDEI,leg,60,1,586.0,1,0,3,586.0,0.0001133176265284419,0
subspace,FDEI,leg,60,2,413.0,2,1,3,413.0,0.00015497255662921816,2
subspace,FDEI,leg,60,3,333.0,2,1,3,333.0,0.00016300093557219952,3
subspace,FDEI,leg,60,4,886.0,2,1,3,886.0,0.0001973197649931535,3
subspace,FDEI,leg,60,5,407.0,2,1,3,407.0,0.00015685451216995716,4
subspace,FDEI,leg,60,6,380.0,1,0,3,380.0,0.00015237103798426688,0
