detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
subspace,GEI_CGI_FDEI,leg,1,1,582.0,2,1,2,582.0,0.0005395353073254228,2
subspace,GEI_CGI_FDEI,leg,1,2,403.0,2,1,2,403.0,0.0007264888263307512,4
subspace,GEI_CGI_FDEI,leg,2,1,578.0,1,0,2,578.0,0.0005184728070162237,3
subspace,GEI_CGI_FDEI,leg,2,2,603.0,1,0,2,603.0,0.0008242464973591268,3
subspace,GEI_CGI_FDEI,leg,3,1,431.0,1,0,2,431.0,0.0005900591495446861,1
subspace,GEI_CGI_FDEI,leg,3,2,555.0,2,1,2,555.0,0.0009310833411291242,0
subspace,GEI_CGI_FDEI,leg,3,3,766.0,2,1,2,766.0,0.0007875636802054942,3
subspace,GEI_CGI_FDEI,leg,4,1,550.0,1,0,2,550.0,0.0005454791826196015,0
subspace,GEI_CGI_FDEI,leg,4,2,419.0,1,0,2,419.0,0.0004154076159466058,1
subspace,GEI_CGI_FDEI,leg,6,1,416.0,1,0,1,416.0,0.0006389365298673511,0
subspace,GEI_CGI_FDEI,leg,7,1,568.0,1,0,3,568.0,0.0007522848900407553,3
subspace,GEI_CGI_FDEI,leg,7,2,,1,0,3,unknown,0.0009358897805213928,1
subspace,GEI_CGI_FDEI,leg,7,3,411.0,2,1,3,411.0,0.0006131004774942994,3
subspace,GEI_CGI_FDEI,leg,8,1,319.0,1,0,3,319.0,0.0005577107076533139,1
subspace,GEI_CGI_FDEI,leg,8,2,325.0,1,0,3,325.0,0.0007411427213810384,4
subspace,GEI_CGI_FDEI,leg,8,3,344.0,2,1,3,344.0,0.0010852653067559004,0
subspace,GEI_CGI_FDEI,leg,8,4,322.0,2,1,3,322.0,0.0013729017227888107,0
subspace,GEI_CGI_FDEI,leg,9,1,891.0,1,0,1,891.0,0.0005034247296862304,4
subspace,GEI_CGI_FDEI,leg,10,1,566.0,1,0,2,566.0,0.0006534855347126722,4
subspace,GEI_CGI_FDEI,leg,10,2,743.0,2,1,2,743.0,0.000648966059088707,3
subspace,GEI_CGI_FDEI,leg,10,3,2928.0,1,0,2,2928.0,0.0004237499670125544,2
subspace,GEI_CGI_FDEI,leg,11,1,755.0,1,0,3,755.0,0.0008482608245685697,4
subspace,GEI_CGI_FDEI,leg,11,2,884.0,2,1,3,884.0,0.001801094738766551,4
subspace,GEI_CGI_FDEI,leg,11,3,739.0,2,1,3,739.0,0.0012007744517177343,4
subspace,GEI_CGI_FDEI,leg,11,4,554.0,2,1,3,554.0,0.0006885674665682018,1
subspace,GEI_CGI_FDEI,leg,11,5,313.0,1,0,3,313.0,0.00037572893779724836,0
