detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
subspace,GEI,full,1,1,582.0,2,1,2,582.0,0.0013190475292503834,2
subspace,GEI,full,1,2,403.0,2,1,2,403.0,0.0021256126929074526,4
subspace,GEI,full,2,1,578.0,1,0,2,578.0,0.0012696906924247742,3
subspace,GEI,full,2,2,603.0,1,0,2,603.0,0.0017948911990970373,3
subspace,GEI,full,3,1,431.0,1,0,2,431.0,0.0010508716804906726,1
subspace,GEI,full,3,2,555.0,2,1,2,555.0,0.002103064674884081,0
subspace,GEI,full,3,3,766.0,2,1,2,766.0,0.0013673510402441025,3
subspace,GEI,full,4,1,550.0,1,0,2,550.0,0.0016891096020117402,0
subspace,GEI,full,4,2,419.0,1,0,2,419.0,0.0014316689921543002,1
subspace,GEI,full,6,1,416.0,1,0,1,416.0,0.0028233618941158056,0
subspace,GEI,full,7,1,568.0,1,0,3,568.0,0.001304354052990675,3
subspace,GEI,full,7,2,,1,0,3,unknown,0.0022049369290471077,1
subspace,GEI,full,7,3,411.0,2,1,3,411.0,0.0010671616764739156,3
subspace,GEI,full,8,1,319.0,1,0,3,319.0,0.001468838658183813,1
subspace,GEI,full,8,2,325.0,1,0,3,325.0,0.001211583730764687,4
subspace,GEI,full,8,3,344.0,2,1,3,344.0,0.0010676037054508924,0
subspace,GEI,full,8,4,322.0,2,1,3,322.0,0.0036608942318707705,0
subspace,GEI,full,9,1,891.0,1,0,1,891.0,0.001315942034125328,4
subspace,GEI,full,10,1,566.0,1,0,2,566.0,0.0016643889248371124,4
subspace,GEI,full,10,2,743.0,2,1,2,743.0,0.0016870168037712574,3
subspace,GEI,full,10,3,2928.0,1,0,2,2928.0,0.0010583456605672836,2
subspace,GEI,full,11,1,755.0,1,0,3,755.0,0.0024681794457137585,4
subspace,GEI,full,11,2,884.0,2,1,3,884.0,0.0028459939640015364,4
subspace,GEI,full,11,3,739.0,2,1,3,739.0,0.0019716389942914248,4
subspace,GEI,full,11,4,554.0,2,1,3,554.0,0.0014866638230159879,1
subspace,GEI,full,11,5,313.0,1,0,3,313.0,0.0010976637713611126,0
subspace,GEI,full,11,6,890.0,1,0,3,890.0,0.002493509091436863,0
subspace,GEI,full,11,7,328.0,2,1,3,328.0,0.0016762444283813238,4
subspace,GEI,full,11,8,373.0,1,0,3,373.0,0.0014007322024554014,3
subspace,GEI,full,12,1,879.0,1,0,2,879.0,0.0024212533608078957,2
subspace,GEI,full,12,2,826.0,2,1,2,826.0,0.004233857151120901,1
subspace,GEI,full,13,1,884.0,3,1,1,884.0,0.001880250871181488,4
subspace,GEI,full,14,1,1450.0,2,1,3,1450.0,0.002016701502725482,0
subspace,GEI,full,14,2,865.0,2,1,3,865.0,0.0034607858397066593,1
subspace,GEI,full,14,3,339.0,2,1,3,339.0,0.005520191043615341,1
subspace,GEI,full,14,4,301.0,1,0,3,301.0,0.002256590873003006,4
subspace,GEI,full,14,5,328.0,2,1,3,328.0,0.0017503134440630674,4
subspace,GEI,full,14,6,817.0,1,0,3,817.0,0.001443903660401702,2
subspace,GEI,full,15,1,775.0,2,1,1,775.0,0.0024862608406692743,4
subspace,GEI,full,16,1,319.0,1,0,1,319.0,0.0013229523319751024,1
subspace,GEI,full,17,1,825.0,2,1,1,825.0,0.0018192840507254004,2
subspace,GEI,full,18,1,313.0,1,0,3,313.0,0.0018082079477608204,0
subspace,GEI,full,18,2,818.0,2,1,3,818.0,0.001585642108693719,4
subspace,GEI,full,18,3,894.0,2,1,3,894.0,0.0009328749729320407,3
subspace,GEI,full,18,4,345.0,1,0,3,345.0,0.003550766734406352,4
subspace,GEI,full,19,1,369.0,2,1,1,369.0,0.0018599381437525153,1
subspace,GEI,full,20,1,769.0,2,1,2,769.0,0.003295358968898654,2
subspace,GEI,full,20,2,997.0,1,0,2,997.0,0.0017192855011671782,1
