detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
subspace,GEI,leg,1,1,582.0,2,1,2,582.0,0.0005715787992812693,2
subspace,GEI,leg,1,2,403.0,2,1,2,403.0,0.0007468029507435858,4
subspace,GEI,leg,2,1,578.0,1,0,2,578.0,0.0004618180973920971,3
subspace,GEI,leg,2,2,603.0,1,0,2,603.0,0.0007503534434363246,3
subspace,GEI,leg,3,1,431.0,1,0,2,431.0,0.0005849286681041121,1
subspace,GEI,leg,3,2,555.0,2,1,2,555.0,0.0009562566410750151,0
subspace,GEI,leg,3,3,766.0,2,1,2,766.0,0.0007768674404360354,3
subspace,GEI,leg,4,1,550.0,1,0,2,550.0,0.0005696830339729786,0
subspace,GEI,leg,4,2,419.0,1,0,2,419.0,0.00042053955257870257,1
subspace,GEI,leg,6,1,416.0,1,0,1,416.0,0.0005609653308056295,0
subspace,GEI,leg,7,1,568.0,1,0,3,568.0,0.000760100781917572,3
subspace,GEI,leg,7,2,,1,0,3,unknown,0.0010394072160124779,1
subspace,GEI,leg,7,3,411.0,2,1,3,411.0,0.0006926899659447372,3
subspace,GEI,leg,8,1,319.0,1,0,3,319.0,0.0004859947366639972,1
subspace,GEI,leg,8,2,325.0,1,0,3,325.0,0.0007479996420443058,4
subspace,GEI,leg,8,3,344.0,2,1,3,344.0,0.0006550617981702089,0
subspace,GEI,leg,8,4,322.0,2,1,3,322.0,0.0014269058592617512,0
subspace,GEI,leg,9,1,891.0,1,0,1,891.0,0.00048272692947648466,4
subspace,GEI,leg,10,1,566.0,1,0,2,566.0,0.0006257538916543126,4
subspace,GEI,leg,10,2,743.0,2,1,2,743.0,0.0006712371250614524,3
subspace,GEI,leg,10,3,2928.0,1,0,2,2928.0,0.0003672806778922677,2
subspace,GEI,leg,11,1,755.0,1,0,3,755.0,0.0008579575805924833,4
subspace,GEI,leg,11,2,884.0,2,1,3,884.0,0.0018285023979842663,4
subspace,GEI,leg,11,3,739.0,2,1,3,739.0,0.001050404505804181,4
subspace,GEI,leg,11,4,554.0,2,1,3,554.0,0.0007040331838652492,1
subspace,GEI,leg,11,5,313.0,1,0,3,313.0,0.0003981837071478367,0
subspace,GEI,leg,11,6,890.0,1,0,3,890.0,0.0014882415998727083,0
subspace,GEI,leg,11,7,328.0,2,1,3,328.0,0.001074083847925067,4
subspace,GEI,leg,11,8,373.0,1,0,3,373.0,0.001038272399455309,3
subspace,GEI,leg,12,1,879.0,1,0,2,879.0,0.0010107324924319983,2
subspace,GEI,leg,12,2,826.0,2,1,2,826.0,0.0036324290558695793,1
subspace,GEI,leg,13,1,884.0,3,1,1,884.0,0.0006188174011185765,4
subspace,GEI,leg,14,1,1450.0,2,1,3,1450.0,0.0010669947369024158,0
subspace,GEI,leg,14,2,865.0,2,1,3,865.0,0.0009850526694208384,1
subspace,GEI,leg,14,3,339.0,2,1,3,339.0,0.0018470287322998047,1
subspace,GEI,leg,14,4,301.0,1,0,3,301.0,0.0013083800440654159,4
subspace,GEI,leg,14,5,328.0,2,1,3,328.0,0.0006739609525538981,4
