detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
subspace,HEI,full,1,1,582.0,2,1,2,582.0,0.0001642721617827192,2
subspace,HEI,full,1,2,403.0,2,1,2,403.0,0.0002659638994373381,4
subspace,HEI,full,2,1,578.0,1,0,2,578.0,0.00023291818797588348,3
subspace,HEI,full,2,2,603.0,1,0,2,603.0,0.0003439484862610698,3
subspace,HEI,full,3,1,431.0,1,0,2,431.0,0.00020080790272913873,1
subspace,HEI,full,3,2,555.0,2,1,2,555.0,0.00019713860820047557,0
subspace,HEI,full,3,3,766.0,2,1,2,766.0,0.0002880299580283463,3
subspace,HEI,full,4,1,550.0,1,0,2,550.0,0.0001974291808437556,0
subspace,HEI,full,4,2,419.0,1,0,2,419.0,0.00020964458235539496,1
subspace,HEI,full,6,1,416.0,1,0,1,416.0,0.00021222364739514887,0
subspace,HEI,full,7,1,568.0,1,0,3,568.0,0.0003108109813183546,3
subspace,HEI,full,7,2,,1,0,3,unknown,0.0003680921799968928,1
subspace,HEI,full,7,3,411.0,2,1,3,411.0,0.0002496648230589926,3
subspace,HEI,full,8,1,319.0,1,0,3,319.0,0.0003018234856426716,1
subspace,HEI,full,8,2,325.0,1,0,3,325.0,0.00034097061143256724,4
subspace,HEI,full,8,3,344.0,2,1,3,344.0,0.000285030051600188,0
subspace,HEI,full,8,4,322.0,2,1,3,322.0,0.00045308604603633285,0
subspace,HEI,full,9,1,891.0,1,0,1,891.0,0.0003769984468817711,4
subspace,HEI,full,10,1,566.0,1,0,2,566.0,0.0002777612826321274,4
subspace,HEI,full,10,2,743.0,2,1,2,743.0,0.0003098590241279453,3
subspace,HEI,full,10,3,2928.0,1,0,2,2928.0,0.00016791257075965405,2
subspace,HEI,full,11,1,755.0,1,0,3,755.0,0.00038170412881299853,4
subspace,HEI,full,11,2,884.0,2,1,3,884.0,0.0008346517570316792,4
subspace,HEI,full,11,3,739.0,2,1,3,739.0,0.0004145581624470651,4
subspace,HEI,full,11,4,554.0,2,1,3,554.0,0.0003495268174447119,1
subspace,HEI,full,11,5,313.0,1,0,3,313.0,0.0002915533259510994,0
subspace,HEI,full,11,6,890.0,1,0,3,890.0,0.0005548702902160585,0
subspace,HEI,full,11,7,328.0,2,1,3,328.0,0.000840579392388463,4
subspace,HEI,full,11,8,373.0,1,0,3,373.0,0.0004945993423461914,3
subspace,HEI,full,12,1,879.0,1,0,2,879.0,0.0008518630638718605,2
subspace,HEI,full,12,2,826.0,2,1,2,826.0,0.0006600939668715,1
subspace,HEI,full,13,1,884.0,3,1,1,884.0,0.00031071851844899356,4
subspace,HEI,full,14,1,1450.0,2,1,3,1450.0,0.0004019211046397686,0
subspace,HEI,full,14,2,865.0,2,1,3,865.0,0.0006145296501927078,1
subspace,HEI,full,14,3,339.0,2,1,3,339.0,0.0006196029717102647,1
subspace,HEI,full,14,4,301.0,1,0,3,301.0,0.0004795303102582693,4
subspace,HEI,full,14,5,328.0,2,1,3,328.0,0.00040569965494796634,4
subspace,HEI,full,14,6,817.0,1,0,3,817.0,0.00030858925310894847,2
subspace,HEI,full,15,1,775.0,2,1,1,775.0,0.0002926675952039659,4
subspace,HEI,full,16,1,319.0,1,0,1,319.0,0.0002343236847082153,1
subspace,HEI,full,17,1,825.0,2,1,1,825.0,0.0002331302675884217,2
subspace,HEI,full,18,1,313.0,1,0,3,313.0,0.0005055670626461506,0
subspace,HEI,full,18,2,818.0,2,1,3,818.0,0.0003654073516372591,4
subspace,HEI,full,18,3,894.0,2,1,3,894.0,0.00020363660587463528,3
subspace,HEI,full,18,4,345.0,1,0,3,345.0,0.0007246625609695911,4
subspace,HEI,full,19,1,369.0,2,1,1,369.0,0.0003505389322526753,1
subspace,HEI,full,20,1,769.0,2,1,2,769.0,0.0005250213434919715,2
subspace,HEI,full,20,2,997.0,1,0,2,997.0,0.0002471869520377368,1
subspace,HEI,full,21,1,408.0,1,0,3,408.0,0.00030494009843096137,1
subspace,HEI,full,21,2,785.0,2,1,3,785.0,0.0011779547203332186,2
subspace,HEI,full,21,3,2892.0,1,0,3,2892.0,0.00021525315241888165,4
subspace,HEI,full,22,1,331.0,1,0,3,331.0,0.00022564438404515386,4
subspace,HEI,full,22,2,743.0,2,1,3,743.0,0.00036365730920806527,3
subspace,HEI,full,22,3,437.0,1,0,3,437.0,0.00028838164871558547,1
subspace,HEI,full,22,4,6003.0,1,0,3,6003.0,0.00018975313287228346,0
subspace,HEI,full,22,5,350.0,2,1,3,350.0,0.0002519918489269912,1
subspace,HEI,full,22,6,858.0,2,1,3,858.0,0.00020473537733778358,0
subspace,HEI,full,23,1,568.0,1,0,2,568.0,0.00029374859877862036,3
subspace,HEI,full,23,2,302.0,1,0,2,302.0,0.0010280110873281956,3
subspace,HEI,full,24,1,566.0,1,0,1,566.0,0.0002809469006024301,4
subspace,HEI,full,27,1,405.0,2,1,3,405.0,0.00040889292722567916,3
subspace,HEI,full,27,2,317.0,2,1,3,317.0,0.000194982931134291,3
subspace,HEI,full,27,3,8006.0,1,0,3,8006.0,0.0002615073462948203,2
subspace,HEI,full,27,4,2941.0,2,1,3,2941.0,0.0005444129928946495,0
subspace,HEI,full,27,5,774.0,2,1,3,774.0,0.0006811526836827397,0
subspace,HEI,full,27,6,327.0,2,1,3,327.0,0.00019722452270798385,0
subspace,HEI,full,27,7,584.0,2,1,3,584.0,0.00035274229594506323,1
subspace,HEI,full,27,8,550.0,1,0,3,550.0,0.00023019321088213474,0
subspace,HEI,full,27,9,779.0,1,0,3,779.0,0.00018989435920957476,4
subspace,HEI,full,28,1,313.0,1,0,3,313.0,0.0002135713875759393,0
subspace,HEI,full,28,2,826.0,2,1,3,826.0,0.00028180592926219106,1
subspace,HEI,full,28,3,817.0,1,0,3,817.0,0.0003272430330980569,2
subspace,HEI,full,29,1,2952.0,2,1,3,2952.0,0.00035493451287038624,2
subspace,HEI,full,29,2,781.0,2,1,3,781.0,0.0003961324109695852,3
subspace,HEI,full,29,3,369.0,1,0,3,369.0,0.0002575441321823746,1
subspace,HEI,full,34,1,858.0,2,1,2,858.0,0.0002555268001742661,0
subspace,HEI,full,34,2,2932.0,2,1,2,2932.0,0.00025492761051282287,1
subspace,HEI,full,35,1,586.0,1,0,3,586.0,0.00019196447101421654,0
subspace,HEI,full,35,2,317.0,2,1,3,317.0,0.0005130936042405665,3
subspace,HEI,full,35,3,405.0,1,0,3,405.0,0.00046577665489166975,3
subspace,HEI,full,35,4,2892.0,1,0,3,2892.0,0.00024134834529832006,4
subspace,HEI,full,35,5,351.0,1,0,3,351.0,0.00021495221881195903,3
subspace,HEI,full,36,1,582.0,2,1,1,582.0,0.0002695497823879123,2
subspace,HEI,full,37,1,739.0,1,0,1,739.0,0.00016067475371528417,4
subspace,HEI,full,39,1,882.0,2,1,2,882.0,0.00026971689658239484,1
subspace,HEI,full,39,2,794.0,2,1,2,794.0,0.00031754071824252605,0
subspace,HEI,full,40,1,876.0,2,1,3,876.0,0.0002869184536393732,3
subspace,HEI,full,40,2,331.0,1,0,3,331.0,0.00039451831253245473,4
subspace,HEI,full,40,3,805.0,2,1,3,805.0,0.00034918481833301485,0
subspace,HEI,full,40,4,786.0,2,1,3,786.0,0.0005935040535405278,1
subspace,HEI,full,40,5,402.0,1,0,3,402.0,0.00040038704173639417,3
subspace,HEI,full,40,6,742.0,1,0,3,742.0,0.00017066250438801944,0
subspace,HEI,full,41,1,401.0,2,1,3,401.0,0.00027242396026849747,4
subspace,HEI,full,41,2,367.0,1,0,3,367.0,0.0002580551372375339,1
