detector,modality,crop,recording,pass,cow_id,score_1_3,anomaly,max_concurrent,group,score,fold
subspace,HEI,leg,1,1,582.0,2,1,2,582.0,7.953225576784462e-05,2
subspace,HEI,leg,1,2,403.0,2,1,2,403.0,0.0001384381321258843,4
subspace,HEI,leg,2,1,578.0,1,0,2,578.0,0.000158297159941867,3
subspace,HEI,leg,2,2,603.0,1,0,2,603.0,0.00013241529813967645,3
subspace,HEI,leg,3,1,431.0,1,0,2,431.0,0.00012205581879243255,1
subspace,HEI,leg,3,2,555.0,2,1,2,555.0,0.00013530999422073364,0
subspace,HEI,leg,3,3,766.0,2,1,2,766.0,0.00018153435667045414,3
subspace,HEI,leg,4,1,550.0,1,0,2,550.0,0.00010236645175609738,0
subspace,HEI,leg,4,2,419.0,1,0,2,419.0,8.913801866583526e-05,1
subspace,HEI,leg,6,1,416.0,1,0,1,416.0,0.00010191976616624743,0
subspace,HEI,leg,7,1,568.0,1,0,3,568.0,0.00019801882444880903,3
subspace,HEI,leg,7,2,,1,0,3,unknown,0.00022089651611167938,1
subspace,HEI,leg,7,3,411.0,2,1,3,411.0,0.00020331516861915588,3
subspace,HEI,leg,8,1,319.0,1,0,3,319.0,0.0001868829713203013,1
subspace,HEI,leg,8,2,325.0,1,0,3,325.0,0.00020815193420276046,4
subspace,HEI,leg,8,3,344.0,2,1,3,344.0,0.00024230315466411412,0
subspace,HEI,leg,8,4,322.0,2,1,3,322.0,0.0001816157455323264,0
subspace,HEI,leg,9,1,891.0,1,0,1,891.0,0.0001827717205742374,4
subspace,HEI,leg,10,1,566.0,1,0,2,566.0,0.00010545239638304338,4
subspace,HEI,leg,10,2,743.0,2,1,2,743.0,0.00013853074051439762,3
subspace,HEI,leg,10,3,2928.0,1,0,2,2928.0,0.0001109601798816584,2
subspace,HEI,leg,11,1,755.0,1,0,3,755.0,0.00018945257761515677,4
subspace,HEI,leg,11,2,884.0,2,1,3,884.0,0.0004758849390782416,4
subspace,HEI,leg,11,3,739.0,2,1,3,739.0,0.00023829816200304776,4
subspace,HEI,leg,11,4,554.0,2,1,3,554.0,0.00014028212171979249,1
